	gisaid_epi_isl
2265	EPI_ISL_478681
7467	EPI_ISL_592518
7488	EPI_ISL_592869
12285	EPI_ISL_426905
16281	EPI_ISL_427091
18277	EPI_ISL_810966
18291	EPI_ISL_857466
20680	EPI_ISL_498804
20684	EPI_ISL_498806
22673	EPI_ISL_717609
22697	EPI_ISL_717615
24614	EPI_ISL_965479
26742	EPI_ISL_935231
26743	EPI_ISL_935232
26744	EPI_ISL_935233
26745	EPI_ISL_935234
26746	EPI_ISL_935235
26747	EPI_ISL_935236
27896	EPI_ISL_572338
28358	EPI_ISL_541366
32144	EPI_ISL_975096
32145	EPI_ISL_975097
34489	EPI_ISL_974568
35397	EPI_ISL_975447
35574	EPI_ISL_974924
36225	EPI_ISL_976302
36641	EPI_ISL_976027
47172	EPI_ISL_653754
47421	EPI_ISL_912353
47424	EPI_ISL_912356
47863	EPI_ISL_636493
48466	EPI_ISL_960413
48707	EPI_ISL_591084
48842	EPI_ISL_513604
49705	EPI_ISL_668818
49744	EPI_ISL_668589
49755	EPI_ISL_668754
49760	EPI_ISL_668819
49766	EPI_ISL_668820
49772	EPI_ISL_668821
49779	EPI_ISL_668822
49784	EPI_ISL_668836
49802	EPI_ISL_668823
49806	EPI_ISL_668590
49818	EPI_ISL_668824
49823	EPI_ISL_668755
49825	EPI_ISL_668756
49827	EPI_ISL_668591
49828	EPI_ISL_668577
49833	EPI_ISL_668624
49834	EPI_ISL_668825
49835	EPI_ISL_668578
49836	EPI_ISL_668826
49843	EPI_ISL_668827
49887	EPI_ISL_668742
49889	EPI_ISL_668828
49923	EPI_ISL_669785
49942	EPI_ISL_669786
49943	EPI_ISL_669548
49948	EPI_ISL_669787
49973	EPI_ISL_669495
49976	EPI_ISL_669773
49991	EPI_ISL_669525
49992	EPI_ISL_669521
49997	EPI_ISL_669774
50021	EPI_ISL_669788
50025	EPI_ISL_669789
50044	EPI_ISL_669790
50050	EPI_ISL_669791
50054	EPI_ISL_669792
50087	EPI_ISL_669758
50090	EPI_ISL_669793
50099	EPI_ISL_669794
50106	EPI_ISL_669795
50107	EPI_ISL_669796
50122	EPI_ISL_669797
50147	EPI_ISL_669526
50194	EPI_ISL_669527
50218	EPI_ISL_669577
50250	EPI_ISL_669775
50258	EPI_ISL_669766
50261	EPI_ISL_669767
50265	EPI_ISL_669547
50278	EPI_ISL_669776
50333	EPI_ISL_669777
50339	EPI_ISL_669798
50346	EPI_ISL_669506
50407	EPI_ISL_669799
50425	EPI_ISL_669522
50427	EPI_ISL_669778
50432	EPI_ISL_669493
50450	EPI_ISL_669812
50494	EPI_ISL_669524
50553	EPI_ISL_669800
50573	EPI_ISL_669768
50577	EPI_ISL_669769
50587	EPI_ISL_669779
50616	EPI_ISL_669519
50627	EPI_ISL_669571
50632	EPI_ISL_669770
50634	EPI_ISL_669771
50635	EPI_ISL_669780
50645	EPI_ISL_669813
50656	EPI_ISL_669561
50668	EPI_ISL_669781
50695	EPI_ISL_669782
50703	EPI_ISL_669590
50731	EPI_ISL_669783
50780	EPI_ISL_669528
50784	EPI_ISL_669784
50811	EPI_ISL_669496
50816	EPI_ISL_669801
50824	EPI_ISL_669772
50826	EPI_ISL_669815
50833	EPI_ISL_669802
50847	EPI_ISL_669803
50881	EPI_ISL_669529
50887	EPI_ISL_669530
50916	EPI_ISL_669804
50931	EPI_ISL_669805
50978	EPI_ISL_669765
50980	EPI_ISL_669531
50990	EPI_ISL_669523
51004	EPI_ISL_669534
51019	EPI_ISL_669520
51022	EPI_ISL_670686
51024	EPI_ISL_670503
51025	EPI_ISL_670731
51026	EPI_ISL_670504
51030	EPI_ISL_670497
51063	EPI_ISL_670702
51067	EPI_ISL_670703
51127	EPI_ISL_670704
51155	EPI_ISL_670505
51173	EPI_ISL_670705
51185	EPI_ISL_670499
51194	EPI_ISL_670706
51265	EPI_ISL_670492
51281	EPI_ISL_670506
51296	EPI_ISL_670707
51348	EPI_ISL_670708
51354	EPI_ISL_670709
51360	EPI_ISL_670507
51365	EPI_ISL_670710
51388	EPI_ISL_670711
51405	EPI_ISL_670508
51410	EPI_ISL_670712
51442	EPI_ISL_670713
51459	EPI_ISL_670687
51479	EPI_ISL_670509
51491	EPI_ISL_670714
51518	EPI_ISL_670715
51556	EPI_ISL_670716
51584	EPI_ISL_670500
51599	EPI_ISL_670510
51619	EPI_ISL_670675
51630	EPI_ISL_670717
51640	EPI_ISL_670718
51646	EPI_ISL_670683
51663	EPI_ISL_670719
51667	EPI_ISL_670511
51669	EPI_ISL_670688
51670	EPI_ISL_670720
51709	EPI_ISL_670721
51727	EPI_ISL_670493
51733	EPI_ISL_670494
51734	EPI_ISL_670722
51743	EPI_ISL_670495
51749	EPI_ISL_670696
51757	EPI_ISL_670743
51766	EPI_ISL_670512
51771	EPI_ISL_670723
51773	EPI_ISL_670744
51781	EPI_ISL_670513
51788	EPI_ISL_670496
51795	EPI_ISL_670514
51801	EPI_ISL_670501
51812	EPI_ISL_670771
51814	EPI_ISL_670724
51816	EPI_ISL_670697
51820	EPI_ISL_670725
51821	EPI_ISL_670502
51826	EPI_ISL_670515
51828	EPI_ISL_670458
51830	EPI_ISL_670726
51831	EPI_ISL_670698
51833	EPI_ISL_670727
51834	EPI_ISL_670699
51835	EPI_ISL_670516
51843	EPI_ISL_670700
51845	EPI_ISL_670767
51861	EPI_ISL_670745
51869	EPI_ISL_670728
51870	EPI_ISL_670701
51875	EPI_ISL_670729
51883	EPI_ISL_671246
51885	EPI_ISL_671247
51886	EPI_ISL_671248
51887	EPI_ISL_671249
51888	EPI_ISL_671250
51889	EPI_ISL_671251
51890	EPI_ISL_671252
51892	EPI_ISL_671254
51893	EPI_ISL_671255
51894	EPI_ISL_671256
51896	EPI_ISL_671257
51897	EPI_ISL_671258
51898	EPI_ISL_671259
51899	EPI_ISL_671260
51900	EPI_ISL_671261
51901	EPI_ISL_671262
51902	EPI_ISL_671263
51903	EPI_ISL_671264
51904	EPI_ISL_671265
51905	EPI_ISL_671266
51929	EPI_ISL_682356
51932	EPI_ISL_682359
51942	EPI_ISL_682368
51951	EPI_ISL_682376
51952	EPI_ISL_682377
51964	EPI_ISL_682388
51973	EPI_ISL_682396
51990	EPI_ISL_682411
51996	EPI_ISL_682417
52008	EPI_ISL_682428
52020	EPI_ISL_682439
52024	EPI_ISL_682442
52050	EPI_ISL_682466
52056	EPI_ISL_682471
52069	EPI_ISL_682483
52086	EPI_ISL_682499
52095	EPI_ISL_682507
52097	EPI_ISL_682509
52100	EPI_ISL_682511
52102	EPI_ISL_682513
52127	EPI_ISL_682536
52128	EPI_ISL_682537
52134	EPI_ISL_682542
52136	EPI_ISL_682544
52143	EPI_ISL_682551
52152	EPI_ISL_682560
52154	EPI_ISL_682561
52159	EPI_ISL_682566
52162	EPI_ISL_682569
52163	EPI_ISL_682570
52166	EPI_ISL_682572
52168	EPI_ISL_682574
52199	EPI_ISL_682603
52208	EPI_ISL_682611
52209	EPI_ISL_682612
52216	EPI_ISL_682619
52232	EPI_ISL_682633
52242	EPI_ISL_682642
52243	EPI_ISL_682643
52254	EPI_ISL_682653
52261	EPI_ISL_682660
52292	EPI_ISL_682688
52305	EPI_ISL_682700
