	strain	gisaid_epi_isl	originating_lab	submitting_lab	authors
23383	Belgium/rega-0721840/2020	EPI_ISL_734810	UZ Leuven, National Reference Laboratory for Coronaviruses, Laboratory Medicine, Leuven, Belgium	KU Leuven, Rega Institute, Clinical and Epidemiological Virology	Tony Wawina-Bokalanga et al
24466	Belgium/rega-1975/2021	EPI_ISL_913757	KU Leuven, Rega Institute, Clinical and Epidemiological Virology	KU Leuven, Rega Institute, Clinical and Epidemiological Virology	Tony Wawina-Bokalanga et al
285446	Netherlands/DR-EMC-10/2020	EPI_ISL_523121	Dutch COVID-19 response team	Erasmus Medical Center	Bas Oude Munnink et al
285447	Netherlands/DR-EMC-11/2020	EPI_ISL_574779	Dutch COVID-19 response team	Erasmus Medical Center	Bas Oude Munnink et al
285448	Netherlands/DR-EMC-12/2020	EPI_ISL_574780	Dutch COVID-19 response team	Erasmus Medical Center	Bas Oude Munnink et al
285449	Netherlands/DR-EMC-13/2020	EPI_ISL_574781	Dutch COVID-19 response team	Erasmus Medical Center	Bas Oude Munnink et al
285452	Netherlands/DR-EMC-51/2020	EPI_ISL_722502	Dutch COVID-19 response team	Erasmus Medical Center	Bas Oude Munnink et al
285453	Netherlands/DR-EMC-52/2020	EPI_ISL_722440	Dutch COVID-19 response team	Erasmus Medical Center	Bas Oude Munnink et al
285454	Netherlands/DR-EMC-53/2020	EPI_ISL_904440	Dutch COVID-19 response team	Erasmus Medical Center	Bas Oude Munnink et al
285455	Netherlands/DR-EMC-54/2020	EPI_ISL_904452	Dutch COVID-19 response team	Erasmus Medical Center	Bas Oude Munnink et al
285456	Netherlands/DR-EMC-55/2021	EPI_ISL_904610	Dutch COVID-19 response team	Erasmus Medical Center	Bas Oude Munnink et al
285457	Netherlands/DR-EMC-6/2020	EPI_ISL_523124	Dutch COVID-19 response team	Erasmus Medical Center	Bas Oude Munnink et al
285458	Netherlands/DR-EMC-7/2020	EPI_ISL_523125	Dutch COVID-19 response team	Erasmus Medical Center	Bas Oude Munnink et al
285459	Netherlands/DR-EMC-8/2020	EPI_ISL_523126	Dutch COVID-19 response team	Erasmus Medical Center	Bas Oude Munnink et al
285460	Netherlands/DR-EMC-9/2020	EPI_ISL_523127	Dutch COVID-19 response team	Erasmus Medical Center	Bas Oude Munnink et al
285461	Netherlands/DR-RIVM-10065/2021	EPI_ISL_905416	Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
285462	Netherlands/DR-RIVM-10296/2021	EPI_ISL_904987	Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
285463	Netherlands/DR-RIVM-10317/2021	EPI_ISL_905012	Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
285464	Netherlands/DR-RIVM-10318/2021	EPI_ISL_905013	Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
285465	Netherlands/DR-RIVM-10319/2021	EPI_ISL_905014	Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
