	first_seq	num_seqs	last_seq
USA	2020-11-07	1189	2021-04-28
India	2020-12-01	1193	2021-04-24
Switzerland	2020-12-30	35	2021-04-24
Nigeria	2021-01-03	2	2021-01-14
Angola	2021-01-12	5	2021-03-04
Belgium	2021-01-15	15	2021-04-22
France	2021-02-21	13	2021-05-04
United Kingdom	2021-02-22	759	2021-04-28
Singapore	2021-02-26	146	2021-04-28
Ireland	2021-02-26	15	2021-04-24
Germany	2021-03-01	58	2021-04-27
Denmark	2021-03-08	22	2021-04-26
New Zealand	2021-03-09	10	2021-04-18
Guadeloupe	2021-03-10	2	2021-03-10
Australia	2021-03-16	62	2021-04-28
Sint Maarten	2021-03-19	2	2021-04-03
Greece	2021-03-23	2	2021-04-06
Sweden	2021-03-26	7	2021-04-09
South Korea	2021-03-26	5	2021-04-06
Italy	2021-04-02	3	2021-04-20
Indonesia	2021-04-03	2	2021-04-22
Bahrain	2021-04-05	23	2021-04-10
Mexico	2021-04-05	1	2021-04-05
Cambodia	2021-04-05	1	2021-04-05
Portugal	2021-04-05	7	2021-04-13
Netherlands	2021-04-06	6	2021-04-15
Czech Republic	2021-04-09	2	2021-04-16
Malaysia	2021-04-10	1	2021-04-10
Hong Kong	2021-04-12	8	2021-04-22
Aruba	2021-04-16	1	2021-04-16
Austria	2021-04-17	1	2021-04-17
Russia	2021-04-21	4	2021-04-22
Jordan	2021-04-21	3	2021-04-25
Spain	2021-04-22	4	2021-04-29
Romania	2021-04-26	1	2021-04-26
Poland	2021-04-26	5	2021-04-26
