	first_seq	num_seqs	last_seq
India	2020-12-01	951	2021-04-18
France	2021-02-21	2	2021-05-04
United Kingdom	2021-02-22	235	2021-04-26
Singapore	2021-02-26	52	2021-04-27
Ireland	2021-02-26	4	2021-04-09
USA	2021-03-01	118	2021-04-24
Germany	2021-03-01	25	2021-04-23
Denmark	2021-03-08	12	2021-04-19
New Zealand	2021-03-09	3	2021-04-08
Guadeloupe	2021-03-10	2	2021-03-10
Australia	2021-03-16	19	2021-04-23
Sint Maarten	2021-03-19	2	2021-04-03
Belgium	2021-03-25	5	2021-04-04
South Korea	2021-03-26	5	2021-04-06
Sweden	2021-03-26	4	2021-04-06
Switzerland	2021-03-29	3	2021-04-14
Mexico	2021-04-05	1	2021-04-05
Portugal	2021-04-05	7	2021-04-13
Bahrain	2021-04-05	8	2021-04-10
Greece	2021-04-06	1	2021-04-06
Netherlands	2021-04-06	4	2021-04-15
Czech Republic	2021-04-09	2	2021-04-16
Malaysia	2021-04-10	1	2021-04-10
Hong Kong	2021-04-12	7	2021-04-18
Italy	2021-04-14	1	2021-04-14
Jordan	2021-04-21	3	2021-04-25
Spain	2021-04-22	1	2021-04-22
