	first_seq	num_seqs	last_seq
Canada	2020-03-10	49	2021-07-03
Switzerland	2021-01-16	94	2021-07-19
Rwanda	2021-01-20	1	2021-01-20
Belgium	2021-01-23	132	2021-07-09
Cameroon	2021-01-28	26	2021-03-03
France	2021-02-03	165	2021-07-13
Germany	2021-02-11	273	2021-08-04
USA	2021-02-12	22	2021-04-26
South Korea	2021-02-18	1440	2021-08-10
Central African Republic	2021-02-25	8	2021-03-17
Sweden	2021-02-26	1	2021-02-26
Luxembourg	2021-03-01	32	2021-05-28
United Kingdom	2021-03-03	7	2021-08-23
Angola	2021-03-04	2	2021-03-05
Turkey	2021-03-08	107	2021-08-05
Ireland	2021-03-09	2	2021-03-23
Finland	2021-03-14	2	2021-05-19
Gabon	2021-03-19	3	2021-04-20
Denmark	2021-03-22	7	2021-07-29
Croatia	2021-03-23	1	2021-03-23
Chile	2021-03-23	1	2021-03-23
Poland	2021-04-09	2	2021-06-03
Russia	2021-04-29	1	2021-04-29
Japan	2021-05-01	1	2021-05-01
South Africa	2021-05-17	4	2021-06-11
Republic of the Congo	2021-05-19	1	2021-05-19
Slovakia	2021-05-25	1	2021-05-25
Italy	2021-06-05	2	2021-06-05
Netherlands	2021-06-28	1	2021-06-28
Hong Kong	2021-07-01	1	2021-07-01
