	first_seq	num_seqs	last_seq
Mexico	2020-10-13	7489	2021-08-29
USA	2020-11-05	13738	2022-03-11
Argentina	2020-11-08	46	2021-05-19
Switzerland	2020-11-30	150	2021-05-15
Canada	2020-12-01	1410	2021-09-03
Japan	2020-12-06	3	2021-07-02
United Kingdom	2020-12-12	20	2021-04-17
Kosovo	2020-12-27	1	2020-12-27
Belize	2020-12-27	4	2021-03-09
Denmark	2020-12-28	187	2021-05-24
Costa Rica	2021-01-01	6	2021-04-15
Chile	2021-01-03	7	2021-04-08
Luxembourg	2021-01-07	3	2021-05-14
United Arab Emirates	2021-01-08	1	2021-01-08
Venezuela	2021-01-09	1	2021-01-09
Sweden	2021-01-09	3	2021-02-18
France	2021-01-09	43	2021-05-20
Israel	2021-01-10	6	2021-01-20
Brazil	2021-01-11	5	2021-02-10
Spain	2021-01-15	242	2021-05-27
Aruba	2021-01-20	27	2021-04-20
Germany	2021-01-20	202	2021-05-26
Netherlands	2021-01-21	41	2021-03-05
Finland	2021-01-25	8	2021-04-03
New Zealand	2021-01-28	1	2021-01-28
Curacao	2021-02-08	7	2021-03-01
Italy	2021-02-11	5	2021-06-09
South Korea	2021-02-13	2	2021-02-16
Peru	2021-02-14	2	2021-02-26
Poland	2021-02-20	1	2021-02-20
Lithuania	2021-03-18	3	2021-03-21
Guatemala	2021-03-19	7	2021-07-01
Colombia	2021-03-29	1	2021-03-29
Honduras	2021-03-30	1	2021-03-30
Philippines	2021-04-02	5	2021-04-11
Australia	2021-04-06	6	2021-05-01
Iceland	2021-04-20	1	2021-04-20
El Salvador	2021-04-29	2	2021-07-23
Slovenia	2021-05-25	1	2021-05-25
Belgium	2021-06-02	1	2021-06-02
Croatia	2021-07-15	2	2021-07-19
