	first_seq	num_seqs	last_seq
Nigeria	2021-01-07	90	2021-07-26
South Africa	2021-01-16	2	2021-04-16
USA	2021-01-19	971	2021-08-12
Germany	2021-01-21	162	2021-06-22
United Kingdom	2021-01-22	325	2021-08-30
Togo	2021-01-25	34	2021-06-30
Switzerland	2021-01-27	227	2021-08-13
Japan	2021-01-29	6	2021-06-20
Benin	2021-01-30	11	2021-03-03
Philippines	2021-01-31	2	2021-02-09
Norway	2021-01-31	32	2021-06-16
Finland	2021-02-01	29	2021-06-24
Cameroon	2021-02-03	2	2021-02-04
Ghana	2021-02-03	174	2021-07-30
Greece	2021-02-05	840	2021-07-27
Ireland	2021-02-08	278	2021-08-14
Denmark	2021-02-15	12	2021-08-11
Canada	2021-02-16	170	2021-08-09
France	2021-02-18	157	2021-08-19
Guinea	2021-02-22	8	2021-06-09
Belgium	2021-02-22	63	2021-08-26
Italy	2021-02-22	67	2021-08-12
Spain	2021-02-23	29	2021-07-25
Uganda	2021-02-23	4	2021-04-16
Bangladesh	2021-02-26	29	2021-06-29
India	2021-02-26	13	2021-05-28
Gabon	2021-03-03	39	2021-05-14
Argentina	2021-03-05	10	2021-05-28
Mauritius	2021-03-06	187	2021-08-11
Lithuania	2021-03-06	3	2021-05-17
Netherlands	2021-03-08	18	2021-07-14
Gambia	2021-03-10	5	2021-07-11
Turkey	2021-03-10	48	2021-08-05
Poland	2021-03-10	3	2021-04-18
Kenya	2021-03-12	1	2021-03-12
Chile	2021-03-12	1	2021-03-12
Portugal	2021-03-17	9	2021-07-22
Senegal	2021-03-17	6	2021-06-07
Luxembourg	2021-03-22	49	2021-07-13
Sweden	2021-03-23	33	2021-07-12
Singapore	2021-03-23	4	2021-04-28
Australia	2021-03-26	11	2021-06-12
Côte d'Ivoire	2021-03-26	8	2021-04-30
Angola	2021-03-29	2	2021-05-14
Slovenia	2021-03-30	18	2021-06-18
Brazil	2021-04-04	10	2021-08-20
Czech Republic	2021-04-07	10	2021-07-26
Austria	2021-04-13	35	2021-08-09
Latvia	2021-04-14	1	2021-04-14
Guatemala	2021-04-16	1	2021-04-16
Liechtenstein	2021-04-18	14	2021-05-18
Mexico	2021-04-20	11	2021-07-28
Burkina Faso	2021-04-21	1	2021-04-21
Rwanda	2021-05-02	1	2021-05-02
Croatia	2021-05-03	2	2021-07-08
Liberia	2021-05-17	3	2021-05-20
South Korea	2021-05-31	3	2021-07-21
Bosnia and Herzegovina	2021-06-04	3	2021-06-10
Ecuador	2021-06-04	2	2021-06-29
Bulgaria	2021-06-06	1	2021-06-06
Republic of the Congo	2021-06-19	1	2021-06-19
Israel	2021-06-28	2	2021-07-11
Romania	2021-07-02	1	2021-07-02
Slovakia	2021-07-08	2	2021-07-09
