	first_seq	num_seqs	last_seq
Qatar	2020-03-27	637	2021-06-07
USA	2020-05-07	2298	2021-06-28
Zimbabwe	2020-05-27	356	2021-02-26
South Africa	2020-08-17	6356	2021-06-25
Mozambique	2020-08-22	323	2021-04-22
Angola	2020-08-25	404	2021-04-22
Botswana	2020-09-09	341	2021-07-03
Bangladesh	2020-11-01	387	2021-06-16
Sweden	2020-11-08	2324	2021-07-01
Switzerland	2020-11-12	300	2021-06-26
Eswatini	2020-11-13	31	2021-03-23
Malawi	2020-11-25	313	2021-04-16
Zambia	2020-12-01	165	2021-04-28
Mauritius	2020-12-06	7	2021-06-17
United Kingdom	2020-12-10	898	2021-06-24
Australia	2020-12-10	87	2021-06-28
Kenya	2020-12-15	179	2021-05-31
Lesotho	2020-12-16	15	2021-01-18
Israel	2020-12-17	257	2021-05-28
Canada	2020-12-19	275	2021-05-16
Japan	2020-12-19	91	2021-06-27
Finland	2020-12-19	1137	2021-05-21
Belgium	2020-12-20	1103	2021-07-02
Germany	2020-12-21	2244	2021-06-26
Ireland	2020-12-22	72	2021-04-19
France	2020-12-22	4098	2021-07-01
Netherlands	2020-12-22	675	2021-05-27
Austria	2020-12-23	263	2021-06-08
Spain	2020-12-24	287	2021-06-18
South Korea	2020-12-26	31	2021-05-07
United Arab Emirates	2020-12-26	7	2021-04-27
Norway	2020-12-27	360	2021-06-11
Hong Kong	2020-12-27	80	2021-06-04
New Zealand	2020-12-29	25	2021-06-25
India	2020-12-30	217	2021-06-14
China	2020-12-31	2	2021-04-26
Portugal	2021-01-02	118	2021-06-26
Denmark	2021-01-04	128	2021-07-03
Rwanda	2021-01-04	39	2021-06-23
Cameroon	2021-01-05	9	2021-03-01
Union of the Comoros	2021-01-05	6	2021-01-10
Ghana	2021-01-06	18	2021-04-21
Panama	2021-01-11	2	2021-01-12
Equatorial Guinea	2021-01-12	47	2021-04-01
Greece	2021-01-14	44	2021-05-21
Luxembourg	2021-01-16	744	2021-05-22
Russia	2021-01-19	22	2021-06-12
Brunei	2021-01-20	1	2021-01-20
Turkey	2021-01-21	553	2021-05-24
Democratic Republic of the Congo	2021-01-22	6	2021-04-20
Indonesia	2021-01-25	12	2021-06-02
Italy	2021-01-29	75	2021-06-14
Malaysia	2021-02-01	153	2021-06-21
Guinea Bissau	2021-02-01	1	2021-02-01
Gabon	2021-02-01	4	2021-02-21
Thailand	2021-02-03	39	2021-05-25
Philippines	2021-02-03	1236	2021-05-16
Togo	2021-02-03	2	2021-02-05
Singapore	2021-02-07	202	2021-06-25
Slovakia	2021-02-08	28	2021-05-27
Poland	2021-02-08	45	2021-06-07
Slovenia	2021-02-09	31	2021-04-06
Madagascar	2021-02-09	17	2021-03-01
Croatia	2021-02-09	32	2021-04-24
Costa Rica	2021-02-10	12	2021-05-04
Uganda	2021-02-13	13	2021-04-02
Czech Republic	2021-02-16	65	2021-06-10
Estonia	2021-02-17	37	2021-04-23
Monaco	2021-02-22	1	2021-02-22
Guadeloupe	2021-02-23	4	2021-05-25
Aruba	2021-02-25	4	2021-04-10
Iraq	2021-02-26	1	2021-02-26
Somalia	2021-02-28	1	2021-02-28
Sri Lanka	2021-03-02	5	2021-03-26
Lithuania	2021-03-02	10	2021-04-09
Côte d'Ivoire	2021-03-06	1	2021-03-06
Brazil	2021-03-07	5	2021-04-05
Jordan	2021-03-07	4	2021-04-18
Latvia	2021-03-08	9	2021-05-13
North Macedonia	2021-03-10	1	2021-03-10
Djibouti	2021-03-18	34	2021-04-09
Suriname	2021-03-19	5	2021-03-31
Sint Maarten	2021-03-24	1	2021-03-24
Romania	2021-03-24	8	2021-05-26
Taiwan	2021-03-30	4	2021-04-26
Iran	2021-04-03	2	2021-04-03
Mexico	2021-04-03	19	2021-05-16
Bahrain	2021-04-04	10	2021-04-25
Chile	2021-04-06	4	2021-06-23
Pakistan	2021-04-09	34	2021-06-05
Malta	2021-04-09	3	2021-06-01
Saudi Arabia	2021-04-15	1	2021-04-15
Argentina	2021-04-24	1	2021-04-24
Tunisia	2021-04-24	4	2021-05-28
Georgia	2021-05-23	1	2021-05-23
Cambodia	2021-05-31	1	2021-05-31
Bulgaria	2021-06-09	1	2021-06-09
