	first_seq	num_seqs	last_seq
Spain	2020-02-07	16588	2021-06-23
Switzerland	2020-03-09	20834	2021-06-19
Italy	2020-03-16	20730	2021-06-16
USA	2020-04-01	181124	2021-06-18
Poland	2020-04-22	14284	2021-06-14
South Korea	2020-04-26	553	2021-05-20
Canada	2020-05-14	10552	2021-05-17
Germany	2020-05-19	99073	2021-06-16
United Kingdom	2020-09-20	251458	2021-06-17
Serbia	2020-09-28	23	2021-03-11
Sweden	2020-10-08	51587	2021-06-20
Kenya	2020-10-09	374	2021-06-03
India	2020-10-27	2869	2021-05-28
Ireland	2020-10-28	13545	2021-06-12
Denmark	2020-11-09	55091	2021-06-14
Portugal	2020-11-09	4479	2021-06-11
Netherlands	2020-11-12	25916	2021-06-15
Israel	2020-11-15	8285	2021-06-05
United Arab Emirates	2020-11-16	22	2021-01-14
Slovenia	2020-11-16	7102	2021-06-01
France	2020-11-17	29031	2021-06-14
Norway	2020-11-20	7258	2021-06-14
Austria	2020-11-23	3024	2021-06-09
Malawi	2020-11-25	2	2021-03-08
Belgium	2020-11-30	17056	2021-06-20
Australia	2020-11-30	445	2021-06-20
Slovakia	2020-11-30	3354	2021-06-01
Japan	2020-12-01	11537	2021-06-18
Iceland	2020-12-02	20	2021-01-05
Hong Kong	2020-12-06	39	2021-06-05
Singapore	2020-12-08	186	2021-06-07
Albania	2020-12-10	28	2021-03-11
Ghana	2020-12-10	287	2021-04-24
Philippines	2020-12-10	630	2021-05-15
Greece	2020-12-11	5359	2021-05-29
Barbados	2020-12-12	16	2021-05-04
Bulgaria	2020-12-13	2754	2021-05-17
Nigeria	2020-12-14	148	2021-03-19
New Zealand	2020-12-16	138	2021-05-23
Dominica	2020-12-16	5	2021-04-01
Saint Lucia	2020-12-17	24	2021-04-29
Finland	2020-12-18	5795	2021-05-25
Jordan	2020-12-20	72	2021-05-04
Senegal	2020-12-21	21	2021-04-30
Thailand	2020-12-21	651	2021-05-27
Brazil	2020-12-21	441	2021-05-31
Argentina	2020-12-21	124	2021-05-07
Jamaica	2020-12-21	17	2021-02-12
Oman	2020-12-22	1	2020-12-22
Qatar	2020-12-22	224	2021-05-23
Chile	2020-12-22	133	2021-05-31
Estonia	2020-12-23	2698	2021-05-06
Bermuda	2020-12-23	2	2021-01-05
Luxembourg	2020-12-24	3969	2021-05-25
Turkey	2020-12-24	565	2021-05-25
Bosnia and Herzegovina	2020-12-25	29	2021-05-05
