	first_seq	num_seqs	last_seq
USA	2020-04-07	16116	2021-06-14
Brazil	2020-10-01	10086	2021-06-09
United Kingdom	2020-10-29	162	2021-06-10
Peru	2020-12-17	25	2021-02-22
Japan	2021-01-02	96	2021-06-13
Colombia	2021-01-04	182	2021-05-25
Italy	2021-01-07	1292	2021-06-16
South Korea	2021-01-10	4	2021-04-03
Denmark	2021-01-12	38	2021-05-24
Chile	2021-01-17	847	2021-05-27
France	2021-01-22	466	2021-05-31
Argentina	2021-01-24	253	2021-05-12
Netherlands	2021-01-25	508	2021-06-03
Switzerland	2021-01-27	156	2021-06-08
Sweden	2021-01-27	91	2021-06-02
Taiwan	2021-01-28	4	2021-01-28
Turkey	2021-01-28	21	2021-03-29
Mexico	2021-01-28	497	2021-06-05
Spain	2021-01-29	593	2021-06-14
Belgium	2021-01-31	1441	2021-06-13
Ireland	2021-02-02	28	2021-05-27
Luxembourg	2021-02-02	80	2021-05-21
Germany	2021-02-04	427	2021-06-02
Canada	2021-02-08	2179	2021-05-23
Portugal	2021-02-10	133	2021-05-29
Paraguay	2021-02-13	49	2021-05-04
Aruba	2021-02-15	88	2021-06-06
Bangladesh	2021-02-18	1	2021-02-18
Philippines	2021-02-21	2	2021-03-11
Suriname	2021-02-22	116	2021-05-25
Uruguay	2021-02-23	96	2021-04-14
Norway	2021-02-24	5	2021-04-14
Romania	2021-02-25	8	2021-05-18
Slovenia	2021-02-27	6	2021-05-31
Australia	2021-03-01	8	2021-04-25
Costa Rica	2021-03-03	30	2021-05-21
New Zealand	2021-03-06	5	2021-05-13
Jordan	2021-03-09	5	2021-04-28
Dominican Republic	2021-03-11	3	2021-03-27
Bolivia	2021-03-19	12	2021-05-10
Angola	2021-03-22	1	2021-03-22
India	2021-03-24	2	2021-03-24
Ecuador	2021-03-31	23	2021-06-09
Singapore	2021-04-04	8	2021-06-11
Thailand	2021-04-05	1	2021-04-05
Poland	2021-04-09	13	2021-06-10
Israel	2021-04-11	7	2021-05-05
Lithuania	2021-04-13	5	2021-05-31
Austria	2021-04-15	13	2021-06-01
China	2021-04-17	2	2021-04-17
Malta	2021-04-18	28	2021-05-21
Czech Republic	2021-04-21	8	2021-05-09
Curacao	2021-04-24	5	2021-05-28
Greece	2021-05-14	1	2021-05-14
Haiti	2021-05-15	29	2021-05-20
