	first_seq	num_seqs	last_seq
USA	2020-10-20	620815	2021-10-19
India	2020-10-23	31821	2021-10-08
Spain	2020-11-03	21345	2021-10-19
United Kingdom	2020-11-04	599361	2021-10-19
Slovenia	2020-11-13	9821	2021-10-03
Sweden	2020-11-19	27938	2021-10-10
Burkina Faso	2020-12-03	19	2021-04-21
Denmark	2020-12-05	58471	2021-10-15
Rwanda	2020-12-21	220	2021-09-01
Switzerland	2020-12-30	27454	2021-10-19
Nigeria	2021-01-03	1182	2021-09-23
Oman	2021-01-06	75	2021-09-05
Belize	2021-01-07	22	2021-06-30
Indonesia	2021-01-07	3994	2021-10-06
Italy	2021-01-07	21299	2021-10-18
Timor-Leste	2021-01-08	32	2021-08-08
Slovakia	2021-01-09	3599	2021-10-09
Thailand	2021-01-09	1732	2021-10-07
Poland	2021-01-09	5215	2021-10-17
Chile	2021-01-10	1993	2021-10-16
Angola	2021-01-12	60	2021-08-12
France	2021-01-16	41714	2021-10-11
South Africa	2021-01-19	8006	2021-10-08
Colombia	2021-01-20	332	2021-09-23
Mexico	2021-01-21	12953	2021-10-13
Canada	2021-01-26	38431	2021-09-27
Czech Republic	2021-01-28	4443	2021-10-11
Singapore	2021-02-06	6345	2021-10-17
Germany	2021-02-07	85550	2021-10-19
Australia	2021-02-07	16247	2021-10-20
Kenya	2021-02-08	947	2021-09-16
Malaysia	2021-02-09	2276	2021-10-14
Ethiopia	2021-02-11	184	2021-08-16
Sri Lanka	2021-02-12	712	2021-10-05
Monaco	2021-02-22	70	2021-09-14
Ireland	2021-02-26	17007	2021-10-13
Netherlands	2021-03-07	22133	2021-10-11
Liberia	2021-03-09	56	2021-07-10
New Zealand	2021-03-09	1582	2021-10-16
Turkey	2021-03-09	43327	2021-10-11
Guadeloupe	2021-03-10	283	2021-09-28
Senegal	2021-03-11	42	2021-09-01
Malawi	2021-03-17	166	2021-08-05
Finland	2021-03-18	6395	2021-09-19
Sint Maarten	2021-03-19	1141	2021-10-01
Greece	2021-03-23	2019	2021-10-04
Belgium	2021-03-25	22864	2021-10-20
Hong Kong	2021-03-25	323	2021-10-10
Uganda	2021-03-26	236	2021-08-12
Russia	2021-03-26	3353	2021-10-13
South Korea	2021-03-26	4548	2021-09-26
Romania	2021-03-28	2930	2021-10-11
Japan	2021-03-28	41804	2021-10-16
Ghana	2021-03-30	382	2021-09-14
Luxembourg	2021-04-01	4009	2021-10-13
Portugal	2021-04-05	9455	2021-10-06
Bahrain	2021-04-05	642	2021-10-02
Bulgaria	2021-04-05	2238	2021-09-08
Cambodia	2021-04-05	402	2021-10-10
Israel	2021-04-08	2319	2021-08-26
Aruba	2021-04-10	1553	2021-10-03
Togo	2021-04-12	123	2021-07-31
Pakistan	2021-04-12	437	2021-10-10
Norway	2021-04-13	9218	2021-10-18
Fiji	2021-04-14	468	2021-07-09
Saudi Arabia	2021-04-14	1	2021-04-14
Philippines	2021-04-15	102	2021-07-14
Qatar	2021-04-17	107	2021-08-16
Austria	2021-04-17	4165	2021-09-30
Democratic Republic of the Congo	2021-04-20	37	2021-07-12
Seychelles	2021-04-20	201	2021-08-31
Jordan	2021-04-21	121	2021-10-15
China	2021-04-21	89	2021-07-20
Vietnam	2021-04-21	434	2021-09-24
Morocco	2021-04-22	66	2021-09-03
Curacao	2021-04-23	361	2021-10-03
Maldives	2021-04-23	263	2021-10-01
Argentina	2021-04-24	316	2021-10-12
Barbados	2021-04-25	20	2021-07-25
Croatia	2021-04-25	2826	2021-09-21
Iran	2021-04-26	12	2021-09-03
Namibia	2021-04-26	51	2021-07-13
Brazil	2021-04-26	9831	2021-10-13
Afghanistan	2021-04-26	17	2021-05-24
Bangladesh	2021-04-27	1070	2021-10-02
Iraq	2021-04-27	3	2021-06-13
South Sudan	2021-04-27	28	2021-07-24
Botswana	2021-04-28	506	2021-09-27
Panama	2021-04-29	1	2021-04-29
Kosovo	2021-04-30	629	2021-10-01
Nepal	2021-04-30	99	2021-09-22
Zambia	2021-05-02	326	2021-09-02
Latvia	2021-05-05	73	2021-07-07
Sierra Leone	2021-05-07	11	2021-09-08
Mozambique	2021-05-07	128	2021-08-07
Mauritius	2021-05-08	22	2021-09-23
Algeria	2021-05-10	23	2021-09-01
Georgia	2021-05-11	82	2021-09-21
Peru	2021-05-12	842	2021-09-25
Guinea	2021-05-17	3	2021-07-08
Iceland	2021-05-18	3559	2021-08-27
Malta	2021-05-19	48	2021-07-10
Gambia	2021-05-19	20	2021-07-10
Kuwait	2021-05-24	146	2021-08-21
Myanmar	2021-05-26	19	2021-08-26
Lithuania	2021-05-26	6850	2021-10-09
Burundi	2021-05-27	57	2021-07-28
Benin	2021-05-27	46	2021-07-23
Bosnia and Herzegovina	2021-06-08	52	2021-09-30
Estonia	2021-06-10	1677	2021-09-17
United Arab Emirates	2021-06-12	22	2021-06-23
Costa Rica	2021-06-13	378	2021-10-01
Taiwan	2021-06-14	13	2021-08-31
Albania	2021-06-16	12	2021-07-29
Moldova	2021-06-17	11	2021-07-06
Ukraine	2021-06-17	54	2021-07-13
Armenia	2021-06-17	37	2021-08-05
Montenegro	2021-06-18	164	2021-09-07
Liechtenstein	2021-06-18	31	2021-10-07
Ecuador	2021-06-22	173	2021-09-23
Eswatini	2021-06-23	59	2021-07-26
Zimbabwe	2021-06-23	96	2021-07-26
Guatemala	2021-06-24	129	2021-09-14
Lebanon	2021-06-25	48	2021-07-15
Uzbekistan	2021-06-25	47	2021-07-23
Serbia	2021-06-26	32	2021-10-05
Republic of the Congo	2021-06-26	41	2021-09-20
North Macedonia	2021-07-01	35	2021-07-31
Antigua and Barbuda	2021-07-02	36	2021-08-14
Paraguay	2021-07-04	85	2021-08-29
Venezuela	2021-07-07	1	2021-07-07
Papua New Guinea	2021-07-07	171	2021-09-12
Bahamas	2021-07-08	37	2021-08-08
Andorra	2021-07-08	19	2021-09-02
Bonaire	2021-07-08	308	2021-10-05
Suriname	2021-07-12	95	2021-09-17
Saint Lucia	2021-07-14	4	2021-07-26
Azerbaijan	2021-07-14	1	2021-07-14
Equatorial Guinea	2021-07-17	14	2021-08-30
Jamaica	2021-07-21	9	2021-07-23
Brunei	2021-07-21	28	2021-08-17
Saint Vincent and the Grenadines	2021-07-21	2	2021-08-08
Grenada	2021-07-26	3	2021-07-26
Dominican Republic	2021-07-27	5	2021-08-14
Trinidad and Tobago	2021-07-30	3	2021-08-13
