	first_seq	num_seqs	last_seq
Israel	2020-10-13	743	2022-05-29
USA	2021-03-31	68430	2022-05-31
United Kingdom	2021-03-31	2505	2022-05-28
India	2021-04-05	252	2022-05-27
Russia	2021-04-12	1	2021-04-12
Japan	2021-04-24	367	2022-05-26
Poland	2021-04-30	52	2022-05-23
Nepal	2021-04-30	20	2021-09-25
Portugal	2021-05-01	984	2022-05-18
Qatar	2021-05-06	11	2022-03-13
Switzerland	2021-05-08	183	2022-05-28
Germany	2021-05-12	1311	2022-05-24
Belgium	2021-05-14	384	2022-05-30
France	2021-05-29	802	2022-05-27
Romania	2021-06-07	2	2021-09-30
Slovakia	2021-06-09	12	2022-05-16
Czech Republic	2021-06-10	61	2022-05-17
Canada	2021-06-18	4016	2022-05-30
Netherlands	2021-06-19	263	2022-05-27
Spain	2021-06-20	288	2022-05-30
Denmark	2021-06-21	1432	2022-05-30
Mexico	2021-06-23	121	2022-05-26
Philippines	2021-06-23	275	2022-05-15
Ecuador	2021-06-30	25	2022-05-30
Italy	2021-07-05	138	2022-05-30
Georgia	2021-07-05	16	2021-09-28
Kenya	2021-07-07	23	2022-05-20
Lithuania	2021-07-07	7	2022-04-20
Kuwait	2021-07-07	1	2021-07-07
Australia	2021-07-08	411	2022-05-29
Albania	2021-07-09	1	2021-07-09
Aruba	2021-07-17	14	2022-05-17
Sweden	2021-07-20	58	2022-05-20
Iraq	2021-07-25	1	2021-07-25
South Korea	2021-07-26	54	2022-05-17
Nigeria	2021-07-27	1	2021-07-27
South Africa	2021-07-29	2764	2022-05-28
Kyrgyzstan	2021-08-09	1	2021-08-09
Costa Rica	2021-08-09	15	2022-05-18
Iceland	2021-08-12	6	2022-04-30
Croatia	2021-08-13	19	2022-05-12
Norway	2021-08-14	69	2022-05-26
New Zealand	2021-08-18	70	2022-05-16
Singapore	2021-08-18	137	2022-05-29
Paraguay	2021-08-19	1	2021-08-19
Latvia	2021-08-20	3	2021-10-28
Chile	2021-08-25	78	2022-05-19
Finland	2021-08-26	17	2021-12-16
Slovenia	2021-08-26	5	2022-05-17
Brazil	2021-08-30	43	2022-05-17
Turkey	2021-09-07	16	2021-12-28
Peru	2021-09-11	92	2022-05-16
Thailand	2021-09-18	15	2022-04-27
Ireland	2021-09-19	75	2022-05-17
Liechtenstein	2021-09-20	25	2022-05-28
Malaysia	2021-09-28	5	2022-05-17
Pakistan	2021-10-07	6	2022-04-29
Eswatini	2021-10-09	33	2022-04-22
Bahrain	2021-10-14	2	2021-10-26
Colombia	2021-11-05	12	2022-05-05
Estonia	2021-11-12	11	2022-05-09
Austria	2021-12-06	355	2022-05-26
Vietnam	2021-12-30	6	2022-01-01
Brunei	2022-01-01	4	2022-04-29
Indonesia	2022-01-05	6	2022-04-01
Luxembourg	2022-01-25	166	2022-05-20
Botswana	2022-02-25	22	2022-04-27
Mauritius	2022-03-08	24	2022-03-10
Hong Kong	2022-03-24	81	2022-05-19
Sint Maarten	2022-04-13	9	2022-05-04
Democratic Republic of the Congo	2022-04-13	8	2022-05-14
Argentina	2022-04-13	3	2022-05-08
Guatemala	2022-04-16	16	2022-05-23
Bonaire	2022-04-25	2	2022-04-30
Guadeloupe	2022-05-02	2	2022-05-02
Zambia	2022-05-14	2	2022-05-24
Saint Lucia	2022-05-19	1	2022-05-19
Jordan	2022-05-20	6	2022-05-20
Cambodia	2022-05-24	1	2022-05-24
Trinidad and Tobago	2022-05-25	2	2022-05-26
