	first_seq	num_seqs	last_seq
India	2021-01-06	13763	2022-02-16
USA	2021-01-11	50286	2022-02-10
Dominican Republic	2021-01-11	39	2021-12-27
Pakistan	2021-02-21	36	2021-09-29
Thailand	2021-03-06	2534	2022-02-14
Mongolia	2021-03-08	134	2021-12-24
Turkey	2021-03-09	16247	2021-12-31
Kenya	2021-03-15	920	2021-12-16
Italy	2021-03-16	508	2021-12-19
Germany	2021-03-18	2056	2022-02-28
Côte d'Ivoire	2021-03-18	1	2021-03-18
Australia	2021-03-18	122	2021-12-05
Indonesia	2021-03-19	35	2022-01-06
Canada	2021-03-21	1568	2022-01-28
United Kingdom	2021-03-23	4264	2021-12-13
Hong Kong	2021-03-25	30	2022-01-15
Romania	2021-03-28	49	2021-10-15
Japan	2021-03-28	268	2021-12-13
Denmark	2021-03-29	1183	2021-12-14
Sweden	2021-04-01	388	2021-11-27
Cameroon	2021-04-01	13	2021-09-22
Singapore	2021-04-03	152	2021-10-19
France	2021-04-03	3414	2021-12-06
Oman	2021-04-05	23	2021-09-05
Belgium	2021-04-06	847	2021-12-10
New Zealand	2021-04-07	11	2021-11-06
Russia	2021-04-07	76	2021-11-09
Ireland	2021-04-07	1470	2021-12-28
Switzerland	2021-04-07	444	2021-12-23
Sri Lanka	2021-04-07	14	2021-12-08
Bahrain	2021-04-09	28	2021-11-08
Israel	2021-04-11	112	2022-01-14
Netherlands	2021-04-13	388	2021-12-01
Luxembourg	2021-04-14	223	2021-09-01
Nepal	2021-04-15	86	2021-11-05
Norway	2021-04-15	179	2021-12-13
Brazil	2021-04-16	16	2021-12-07
Aruba	2021-04-16	14	2021-09-25
Finland	2021-04-17	76	2021-09-21
Qatar	2021-04-17	114	2021-12-14
Austria	2021-04-17	55	2021-11-16
Portugal	2021-04-18	112	2021-10-09
Angola	2021-04-18	35	2021-09-28
Uganda	2021-04-20	7	2021-06-24
Vietnam	2021-04-20	23	2022-01-22
Slovenia	2021-04-20	54	2021-12-13
Mexico	2021-04-21	198	2022-01-21
China	2021-04-21	41	2021-07-27
Timor-Leste	2021-04-22	1	2021-04-22
South Korea	2021-04-22	217	2022-01-18
Morocco	2021-04-22	11	2021-11-15
Spain	2021-04-23	1828	2021-11-25
Czech Republic	2021-04-23	193	2021-11-10
Greece	2021-04-24	30	2021-11-13
Argentina	2021-04-24	12	2021-09-06
Philippines	2021-04-24	343	2021-08-29
Jordan	2021-04-26	2	2021-05-10
Poland	2021-04-26	95	2022-02-02
Iran	2021-04-26	5	2021-04-28
Afghanistan	2021-04-26	16	2021-05-10
Togo	2021-04-26	28	2021-07-29
Maldives	2021-04-27	4	2021-06-18
Bangladesh	2021-04-27	670	2021-12-27
Malaysia	2021-04-28	68	2021-12-15
Malawi	2021-04-28	134	2021-08-19
Panama	2021-04-29	23	2021-10-25
Sint Maarten	2021-04-30	14	2021-08-18
Kosovo	2021-04-30	3	2021-07-13
South Africa	2021-05-01	282	2022-01-11
Ghana	2021-05-01	27	2021-10-14
Sierra Leone	2021-05-07	14	2021-07-21
Iceland	2021-05-07	67	2021-08-25
Botswana	2021-05-10	2	2021-09-18
Saudi Arabia	2021-05-12	3	2021-07-08
Mozambique	2021-05-20	18	2021-07-15
Liberia	2021-05-20	2	2021-05-20
South Sudan	2021-05-21	4	2021-08-25
Democratic Republic of the Congo	2021-05-21	24	2021-11-08
Cambodia	2021-05-25	729	2022-01-17
Ethiopia	2021-05-25	15	2021-08-10
Benin	2021-05-27	6	2021-08-09
Myanmar	2021-06-01	17	2021-08-25
Slovakia	2021-06-02	24	2021-11-10
Zambia	2021-06-05	1	2021-06-05
Senegal	2021-06-05	11	2021-08-23
Rwanda	2021-06-08	74	2021-08-25
Bulgaria	2021-06-11	9	2021-08-11
United Arab Emirates	2021-06-12	17	2021-06-23
Albania	2021-06-16	1	2021-06-16
Uzbekistan	2021-06-25	11	2021-07-23
Croatia	2021-06-25	22	2021-10-17
Republic of the Congo	2021-06-26	9	2021-09-27
Guinea	2021-06-28	7	2021-08-19
Bosnia and Herzegovina	2021-06-28	6	2021-11-05
Curacao	2021-06-29	2	2021-07-14
Lebanon	2021-06-29	4	2021-09-02
Chile	2021-06-30	15	2021-12-23
Ukraine	2021-07-01	4	2021-12-12
Nigeria	2021-07-02	17	2021-11-25
Lithuania	2021-07-03	19	2021-11-23
Eswatini	2021-07-04	5	2021-08-12
Guadeloupe	2021-07-06	20	2021-09-07
Latvia	2021-07-06	18	2021-12-15
Taiwan	2021-07-07	2	2021-08-03
Kyrgyzstan	2021-07-07	1	2021-07-07
Bonaire	2021-07-08	2	2021-07-13
Kuwait	2021-07-08	1	2021-07-08
Malta	2021-07-08	6	2021-12-19
Gambia	2021-07-09	4	2021-08-02
Zimbabwe	2021-07-11	3	2021-07-26
Colombia	2021-07-11	111	2021-12-17
Guatemala	2021-07-11	1	2021-07-11
Papua New Guinea	2021-07-13	6	2021-11-12
Ecuador	2021-07-13	13	2021-12-04
Estonia	2021-07-14	9	2021-08-25
North Macedonia	2021-07-17	2	2021-07-22
Belize	2021-07-21	2	2021-08-04
Jamaica	2021-07-21	9	2021-11-12
Chad	2021-07-23	1	2021-07-23
Burundi	2021-07-28	5	2021-07-28
El Salvador	2021-08-02	2	2021-11-04
Antigua and Barbuda	2021-08-04	1	2021-08-04
Peru	2021-08-04	26	2021-11-08
Dominica	2021-08-06	4	2021-08-07
Seychelles	2021-08-06	1	2021-08-06
Bahamas	2021-08-11	1	2021-08-11
Mauritius	2021-08-13	5	2021-10-04
Trinidad and Tobago	2021-08-14	3	2021-09-06
Kazakhstan	2021-08-17	4	2021-08-18
Moldova	2021-08-21	1	2021-08-21
Djibouti	2021-08-25	1	2021-08-25
Belarus	2021-08-26	1	2021-08-26
Gabon	2021-08-30	1	2021-08-30
Guyana	2021-09-06	16	2021-09-08
Venezuela	2021-09-06	1	2021-09-06
Honduras	2021-09-14	1	2021-09-14
Georgia	2021-10-04	9	2021-12-11
Costa Rica	2021-11-02	1	2021-11-02
Brunei	2022-01-03	1	2022-01-03
