	first_seq	num_seqs	last_seq
India	2020-12-01	3153	2022-05-06
Uganda	2020-12-02	2	2021-03-26
France	2021-02-21	9	2021-06-01
United Kingdom	2021-02-22	312	2021-09-14
USA	2021-02-25	232	2021-12-09
Singapore	2021-02-26	43	2021-05-13
Canada	2021-02-26	460	2021-05-22
Ireland	2021-02-26	203	2021-07-04
Germany	2021-03-01	61	2021-06-30
Denmark	2021-03-08	24	2021-05-31
New Zealand	2021-03-09	4	2021-04-08
Guadeloupe	2021-03-10	2	2021-03-10
Australia	2021-03-16	34	2021-05-30
Finland	2021-03-19	8	2021-05-08
Mexico	2021-03-20	5	2021-04-28
Angola	2021-03-21	6	2021-04-12
Belgium	2021-03-25	11	2021-05-13
Sweden	2021-03-26	4	2021-04-06
Japan	2021-03-29	18	2021-05-07
Switzerland	2021-03-30	5	2021-04-30
South Korea	2021-03-31	9	2021-04-26
Sint Maarten	2021-04-03	1	2021-04-03
Bahrain	2021-04-05	7	2021-04-12
Portugal	2021-04-05	7	2021-05-04
Greece	2021-04-06	1	2021-04-06
Jordan	2021-04-06	5	2021-04-25
Slovenia	2021-04-06	3	2021-04-06
Ghana	2021-04-08	6	2021-04-20
Luxembourg	2021-04-09	3	2021-06-11
Czech Republic	2021-04-09	4	2021-05-04
Qatar	2021-04-10	3	2021-04-19
Russia	2021-04-11	1	2021-04-11
Hong Kong	2021-04-11	12	2021-04-18
Norway	2021-04-13	4	2021-04-21
Gabon	2021-04-14	1	2021-04-14
Netherlands	2021-04-15	21	2021-06-29
Oman	2021-04-19	2	2021-05-16
Italy	2021-04-20	1	2021-04-20
Seychelles	2021-04-20	1	2021-04-20
Morocco	2021-04-22	1	2021-04-22
Spain	2021-04-22	2	2021-05-12
Curacao	2021-04-23	1	2021-04-23
Thailand	2021-04-26	1	2021-04-26
Kenya	2021-04-29	3	2021-04-29
Romania	2021-05-05	1	2021-05-05
Nepal	2021-05-09	1	2021-05-09
Myanmar	2021-05-26	4	2021-06-02
Malaysia	2021-06-01	3	2021-06-01
South Africa	2021-06-05	3	2021-06-09
Israel	2021-06-28	1	2021-06-28
Austria	2021-08-01	1	2021-08-01
