	first_seq	num_seqs	last_seq
USA	2020-08-11	60118	2021-09-17
Mexico	2020-09-17	488	2021-07-28
New Zealand	2020-12-03	4	2020-12-28
Canada	2020-12-05	669	2021-07-16
Australia	2020-12-08	22	2021-04-12
United Kingdom	2020-12-10	24	2021-05-10
Norway	2020-12-16	4	2021-04-12
South Korea	2020-12-17	114	2021-06-24
Japan	2020-12-19	19	2021-04-16
Singapore	2020-12-24	4	2021-03-27
Costa Rica	2020-12-25	12	2021-06-29
Chile	2020-12-27	37	2021-08-03
Israel	2020-12-28	10	2021-02-25
Taiwan	2021-01-01	8	2021-01-31
Denmark	2021-01-04	37	2021-03-22
Argentina	2021-01-04	39	2021-06-24
Colombia	2021-01-08	3	2021-04-04
Guatemala	2021-01-08	14	2021-07-09
Italy	2021-01-12	2	2021-02-11
Aruba	2021-01-13	57	2021-04-24
Germany	2021-01-14	9	2021-06-08
Sweden	2021-01-18	2	2021-01-28
Belgium	2021-01-18	1	2021-01-18
Guadeloupe	2021-01-20	3	2021-01-30
Finland	2021-01-20	2	2021-02-06
Cambodia	2021-01-20	2	2021-01-20
Switzerland	2021-01-26	3	2021-02-05
France	2021-01-26	8	2021-02-25
North Macedonia	2021-01-26	1	2021-01-26
Dominican Republic	2021-01-26	1	2021-01-26
Spain	2021-01-29	6	2021-06-03
Peru	2021-02-03	3	2021-03-03
Luxembourg	2021-02-04	1	2021-02-04
Cameroon	2021-02-05	3	2021-02-05
Turkey	2021-02-11	2	2021-02-11
Belize	2021-02-12	3	2021-03-15
Sint Maarten	2021-02-16	1	2021-02-16
India	2021-03-02	1	2021-03-02
Netherlands	2021-03-03	4	2021-03-10
Panama	2021-03-19	1	2021-03-19
Curacao	2021-03-19	1	2021-03-19
Bahamas	2021-03-24	1	2021-03-24
Ireland	2021-03-26	7	2021-04-28
Barbados	2021-04-12	1	2021-04-12
Antigua and Barbuda	2021-04-24	1	2021-04-24
El Salvador	2021-04-29	17	2021-04-30
