	first_seq	num_seqs	last_seq
Angola	2020-12-11	10	2021-04-16
Canada	2020-12-14	1752	2021-10-27
United Kingdom	2020-12-15	427	2021-07-26
Italy	2020-12-16	361	2021-07-29
Burkina Faso	2020-12-16	14	2021-04-23
Nigeria	2020-12-20	392	2021-08-05
USA	2020-12-30	1207	2021-07-18
United Arab Emirates	2021-01-02	4	2021-02-06
France	2021-01-06	715	2021-10-22
Australia	2021-01-06	7	2021-05-07
Ghana	2021-01-06	67	2021-06-18
Jordan	2021-01-07	2	2021-01-07
Israel	2021-01-10	15	2021-07-04
Senegal	2021-01-10	10	2021-06-10
Finland	2021-01-13	7	2021-07-30
Japan	2021-01-15	13	2021-06-02
Denmark	2021-01-18	10	2021-04-19
Belgium	2021-01-19	51	2021-06-22
Slovenia	2021-01-19	53	2021-04-08
Indonesia	2021-01-20	3	2021-05-13
Norway	2021-01-22	101	2021-05-09
Switzerland	2021-01-22	52	2021-07-20
Rwanda	2021-01-22	4	2021-01-27
Philippines	2021-01-23	4	2021-06-03
South Sudan	2021-01-23	23	2021-05-26
Spain	2021-01-25	213	2021-07-25
Togo	2021-01-25	64	2021-06-25
Germany	2021-01-26	676	2021-09-10
Cameroon	2021-01-27	13	2021-08-20
Netherlands	2021-01-27	34	2021-06-28
Austria	2021-01-28	15	2021-07-03
Benin	2021-01-30	204	2021-05-29
Singapore	2021-01-31	9	2021-04-27
South Korea	2021-02-02	2	2021-02-04
Ireland	2021-02-02	14	2021-03-14
Côte d'Ivoire	2021-02-08	44	2021-05-11
Kenya	2021-02-11	10	2021-07-02
India	2021-02-12	113	2021-05-30
Central African Republic	2021-02-12	2	2021-03-09
Brazil	2021-02-15	1	2021-02-15
Libya	2021-02-18	11	2021-06-07
Turkey	2021-02-20	95	2021-08-08
Luxembourg	2021-02-20	57	2021-07-03
Guinea	2021-02-23	9	2021-07-07
Poland	2021-02-24	10	2021-03-14
Sweden	2021-02-28	14	2021-06-21
Thailand	2021-03-01	1	2021-03-01
Morocco	2021-03-02	1	2021-03-02
Costa Rica	2021-03-03	4	2021-04-21
Guadeloupe	2021-03-03	2	2021-03-11
Sudan	2021-03-04	20	2021-03-28
Tunisia	2021-03-05	1	2021-03-05
Uganda	2021-03-05	22	2021-06-01
Greece	2021-03-08	2	2021-04-09
Gabon	2021-03-08	3	2021-03-29
South Africa	2021-03-10	11	2021-05-26
Liberia	2021-03-10	6	2021-05-29
Bangladesh	2021-03-11	16	2021-05-23
Portugal	2021-03-17	25	2021-07-17
Iceland	2021-03-17	1	2021-03-17
Mali	2021-03-20	32	2021-08-30
Gambia	2021-03-25	1	2021-03-25
Malta	2021-04-01	9	2021-06-21
Niger	2021-04-01	6	2021-04-01
Latvia	2021-04-26	1	2021-04-26
Moldova	2021-05-04	1	2021-05-04
Argentina	2021-05-04	1	2021-05-04
Democratic Republic of the Congo	2021-05-12	6	2021-06-21
Djibouti	2021-05-20	1	2021-05-20
Kuwait	2021-05-30	2	2021-06-05
Saudi Arabia	2021-06-16	2	2021-09-06
Pakistan	2021-06-22	1	2021-06-22
Algeria	2021-07-11	1	2021-07-11
