	first_seq	num_seqs	last_seq
Argentina	2020-11-08	113	2021-07-01
Peru	2020-12-22	1244	2021-07-16
USA	2021-01-20	869	2021-08-06
Chile	2021-01-20	1419	2021-07-27
Germany	2021-02-01	101	2021-07-13
Canada	2021-02-15	18	2021-06-21
Brazil	2021-02-23	5	2021-06-21
United Kingdom	2021-02-23	8	2021-07-10
Colombia	2021-03-13	44	2021-07-03
Spain	2021-03-16	141	2021-07-18
Ecuador	2021-03-23	191	2021-07-30
Australia	2021-04-03	1	2021-04-03
Venezuela	2021-04-05	1	2021-04-05
France	2021-04-06	55	2021-07-26
Portugal	2021-04-06	2	2021-06-10
Mexico	2021-04-09	180	2021-07-21
Denmark	2021-04-12	7	2021-07-28
Uruguay	2021-04-15	1	2021-04-15
Aruba	2021-04-24	2	2021-06-02
El Salvador	2021-04-29	3	2021-04-30
Israel	2021-05-02	25	2021-05-09
Switzerland	2021-05-04	27	2021-07-31
Dominican Republic	2021-05-12	4	2021-05-21
Italy	2021-05-18	10	2021-07-27
Netherlands	2021-05-24	12	2021-07-11
Saint Kitts and Nevis	2021-05-31	10	2021-06-06
Bolivia	2021-06-02	1	2021-06-02
Costa Rica	2021-06-20	4	2021-07-20
Belgium	2021-06-20	9	2021-07-30
Poland	2021-06-27	1	2021-06-27
Sweden	2021-07-04	3	2021-07-15
Ireland	2021-07-06	4	2021-07-21
Norway	2021-07-07	1	2021-07-07
Japan	2021-07-20	1	2021-07-20
