	first_seq	num_seqs	last_seq
Colombia	2021-01-08	4051	2021-11-05
Venezuela	2021-01-21	9	2021-08-16
Bolivia	2021-02-06	2	2021-06-02
Spain	2021-03-06	667	2021-11-02
USA	2021-03-11	6003	2021-11-16
Panama	2021-03-26	16	2021-04-30
Curacao	2021-03-26	22	2021-08-04
Italy	2021-04-03	82	2021-07-28
Denmark	2021-04-05	10	2021-08-05
Liechtenstein	2021-04-08	1	2021-04-08
Netherlands	2021-04-08	75	2021-07-30
Mexico	2021-04-19	438	2021-11-11
Germany	2021-04-20	17	2021-07-22
Aruba	2021-04-21	95	2021-08-27
Chile	2021-04-27	956	2021-11-11
France	2021-04-28	24	2021-08-31
Argentina	2021-04-30	19	2021-09-25
Dominican Republic	2021-05-03	125	2021-08-04
Switzerland	2021-05-05	47	2021-08-07
Ecuador	2021-05-06	477	2021-11-17
Bonaire	2021-05-07	10	2021-09-24
Haiti	2021-05-07	6	2021-07-27
Sint Maarten	2021-05-10	3	2021-08-03
Peru	2021-05-12	216	2021-11-12
Austria	2021-05-13	49	2021-06-05
Brazil	2021-05-18	22	2021-09-10
Sweden	2021-05-19	4	2021-07-21
Slovakia	2021-05-19	4	2021-07-14
Belgium	2021-05-22	54	2021-10-11
United Kingdom	2021-05-23	111	2021-11-23
Canada	2021-05-26	49	2021-08-31
Jamaica	2021-05-27	28	2021-07-24
Malta	2021-05-27	1	2021-05-27
Costa Rica	2021-05-30	64	2021-09-30
Portugal	2021-05-31	25	2021-10-25
Luxembourg	2021-06-01	3	2021-08-06
Poland	2021-06-01	8	2021-08-08
Finland	2021-06-02	5	2021-06-28
Hong Kong	2021-06-06	2	2021-06-06
Australia	2021-06-08	1	2021-06-08
Czech Republic	2021-06-08	1	2021-06-08
Ireland	2021-06-10	4	2021-07-05
Guatemala	2021-06-10	4	2021-07-19
Turkey	2021-06-23	2	2021-06-23
Japan	2021-06-29	3	2021-08-04
Barbados	2021-07-03	1	2021-07-03
Morocco	2021-07-04	1	2021-07-04
Israel	2021-07-04	2	2021-08-23
South Korea	2021-07-04	1	2021-07-04
Romania	2021-07-20	1	2021-07-20
Saint Vincent and the Grenadines	2021-08-09	4	2021-10-19
