	first_seq	num_seqs	last_seq
Colombia	2021-01-11	720	2021-08-04
Venezuela	2021-01-21	5	2021-07-03
Spain	2021-03-06	392	2021-08-04
USA	2021-03-14	1573	2021-08-12
Curacao	2021-03-26	20	2021-07-24
Italy	2021-04-03	79	2021-07-28
Denmark	2021-04-05	7	2021-08-05
Netherlands	2021-04-08	72	2021-07-27
Mexico	2021-04-19	308	2021-07-29
Germany	2021-04-20	15	2021-06-15
Aruba	2021-04-21	80	2021-07-22
Chile	2021-04-27	51	2021-08-11
France	2021-04-28	11	2021-07-29
Dominican Republic	2021-05-03	48	2021-06-29
Switzerland	2021-05-05	42	2021-08-07
Ecuador	2021-05-06	181	2021-08-12
Bonaire	2021-05-07	6	2021-07-01
Sint Maarten	2021-05-10	2	2021-06-16
Austria	2021-05-13	49	2021-06-05
Brazil	2021-05-18	8	2021-07-17
Sweden	2021-05-19	3	2021-07-16
Slovakia	2021-05-19	3	2021-05-29
Belgium	2021-05-22	34	2021-07-24
Malta	2021-05-27	1	2021-05-27
United Kingdom	2021-05-28	49	2021-08-06
Costa Rica	2021-05-30	40	2021-07-27
Portugal	2021-05-31	24	2021-07-31
Luxembourg	2021-06-01	1	2021-06-01
Finland	2021-06-02	3	2021-06-12
Hong Kong	2021-06-06	2	2021-06-06
Ireland	2021-06-10	4	2021-07-05
Turkey	2021-06-23	2	2021-06-23
Japan	2021-06-29	2	2021-07-05
Poland	2021-07-18	4	2021-07-26
Romania	2021-07-20	1	2021-07-20
