	first_seq	num_seqs	last_seq
India	2020-12-10	8323	2022-03-20
Netherlands	2021-01-07	9273	2022-02-16
Malaysia	2021-01-08	2536	2022-05-09
Côte d'Ivoire	2021-02-10	90	2021-12-06
Indonesia	2021-02-12	1752	2022-04-01
Sri Lanka	2021-02-16	676	2022-01-07
Belize	2021-03-07	78	2021-11-06
Slovakia	2021-03-09	1642	2022-02-02
Turkey	2021-03-09	574	2022-02-08
Liberia	2021-03-09	53	2021-07-10
New Zealand	2021-03-15	40	2021-12-29
USA	2021-03-16	111569	2022-04-19
Italy	2021-03-16	4012	2022-01-30
Malawi	2021-03-17	153	2021-09-24
Germany	2021-03-24	10739	2022-02-02
United Kingdom	2021-03-27	21112	2022-02-08
Singapore	2021-04-01	284	2022-01-08
Canada	2021-04-02	28288	2022-04-28
Luxembourg	2021-04-02	352	2021-12-27
Australia	2021-04-04	155	2021-12-22
Bahrain	2021-04-05	606	2021-11-13
Denmark	2021-04-05	6333	2022-01-13
Japan	2021-04-06	1002	2022-04-07
Belgium	2021-04-07	4954	2022-02-03
Gambia	2021-04-08	128	2021-09-08
Kenya	2021-04-08	110	2021-12-06
Sweden	2021-04-09	7472	2022-01-12
Israel	2021-04-10	585	2022-02-07
Pakistan	2021-04-10	104	2022-01-06
Ireland	2021-04-14	1107	2022-01-19
Nepal	2021-04-15	312	2022-01-04
Democratic Republic of the Congo	2021-04-15	16	2021-11-09
Hong Kong	2021-04-20	99	2021-12-11
Ghana	2021-04-20	80	2022-02-25
France	2021-04-20	6203	2022-03-08
Oman	2021-04-20	11	2021-07-06
Vietnam	2021-04-21	2340	2022-06-20
Poland	2021-04-22	805	2022-01-20
Qatar	2021-04-22	95	2021-12-08
Spain	2021-04-24	2324	2022-05-26
Switzerland	2021-04-27	2661	2022-01-20
South Sudan	2021-04-27	1	2021-04-27
Bangladesh	2021-04-29	80	2021-12-14
Lesotho	2021-04-30	4	2021-07-28
Finland	2021-05-02	288	2021-12-19
Taiwan	2021-05-03	6	2022-01-15
Angola	2021-05-03	7	2021-09-11
Barbados	2021-05-04	4	2021-07-14
South Africa	2021-05-04	1568	2022-02-16
Mexico	2021-05-05	5716	2022-01-23
Portugal	2021-05-06	434	2022-01-09
Mauritius	2021-05-08	5	2021-11-25
Philippines	2021-05-08	2075	2022-04-24
Czech Republic	2021-05-09	1733	2022-01-04
Georgia	2021-05-11	5	2021-12-09
Rwanda	2021-05-13	93	2021-10-29
South Korea	2021-05-14	10644	2022-01-31
China	2021-05-14	198	2022-02-11
Russia	2021-05-16	28	2022-01-13
Seychelles	2021-05-18	25	2021-10-04
Malta	2021-05-19	23	2021-12-22
Jordan	2021-05-20	10	2021-12-03
Afghanistan	2021-05-21	2	2021-05-24
Brazil	2021-05-22	434	2022-01-14
Austria	2021-05-24	343	2022-01-07
Kuwait	2021-05-24	103	2021-08-20
Slovenia	2021-05-24	1365	2022-01-07
Lithuania	2021-05-26	94	2022-01-04
Tunisia	2021-05-28	3	2021-11-09
Myanmar	2021-05-28	10	2021-12-27
Norway	2021-05-30	3178	2022-01-08
Senegal	2021-06-01	60	2021-12-13
Cameroon	2021-06-01	10	2021-09-25
Iceland	2021-06-04	1874	2021-08-30
Argentina	2021-06-04	333	2022-01-07
Uganda	2021-06-06	3	2021-11-29
Latvia	2021-06-06	132	2021-12-28
Romania	2021-06-08	321	2022-01-14
Eswatini	2021-06-10	27	2021-10-10
Chile	2021-06-13	104	2021-12-25
United Arab Emirates	2021-06-14	4	2021-06-20
Togo	2021-06-14	12	2021-12-18
Albania	2021-06-16	2	2021-07-09
Peru	2021-06-17	246	2021-12-24
Benin	2021-06-20	17	2021-08-16
Croatia	2021-06-21	625	2022-02-02
Cabo Verde	2021-06-22	10	2021-12-21
Panama	2021-06-24	69	2021-12-03
Costa Rica	2021-06-27	38	2022-01-05
Zimbabwe	2021-06-28	22	2021-08-18
Nicaragua	2021-06-30	10	2021-08-25
Nigeria	2021-06-30	13	2021-12-22
Lebanon	2021-07-01	40	2022-01-20
Niger	2021-07-01	8	2021-11-01
Curacao	2021-07-01	304	2022-01-12
Bulgaria	2021-07-02	1551	2022-02-07
Greece	2021-07-02	760	2021-12-18
Colombia	2021-07-03	177	2022-01-18
Iraq	2021-07-04	19	2021-09-23
Ukraine	2021-07-05	27	2021-10-25
Saudi Arabia	2021-07-05	3	2021-09-09
Sint Maarten	2021-07-05	653	2021-12-16
Zambia	2021-07-05	1	2021-07-05
Sierra Leone	2021-07-06	3	2021-09-08
Guinea	2021-07-07	24	2021-09-03
Papua New Guinea	2021-07-07	747	2022-01-16
Andorra	2021-07-08	4	2021-09-11
Mozambique	2021-07-09	4	2021-09-13
Timor-Leste	2021-07-10	1	2021-07-10
Kosovo	2021-07-12	52	2021-11-12
Suriname	2021-07-12	17	2021-11-03
Morocco	2021-07-12	12	2022-01-12
Aruba	2021-07-12	272	2021-12-11
Bonaire	2021-07-12	198	2022-01-06
Kyrgyzstan	2021-07-13	1	2021-07-13
Montenegro	2021-07-13	6	2021-10-06
Jamaica	2021-07-14	31	2021-12-14
Mongolia	2021-07-15	3	2021-08-24
Thailand	2021-07-16	199	2022-02-09
Bahamas	2021-07-17	47	2021-11-18
Ecuador	2021-07-18	8	2021-09-27
Antigua and Barbuda	2021-07-18	1	2021-07-18
Guadeloupe	2021-07-20	16	2021-11-16
Brunei	2021-07-21	525	2022-02-03
North Macedonia	2021-07-22	5	2021-11-08
Estonia	2021-07-22	223	2021-12-28
