	first_seq	num_seqs	last_seq
India	2020-10-31	28602	2021-12-03
United Kingdom	2020-11-13	917891	2021-12-03
Denmark	2020-12-31	116621	2021-12-02
Israel	2021-01-05	16817	2021-12-01
Slovenia	2021-01-09	15536	2021-11-20
Nigeria	2021-01-27	2067	2021-11-25
Japan	2021-01-28	84749	2021-11-28
Sri Lanka	2021-02-12	547	2021-12-01
Italy	2021-02-26	26959	2021-12-06
Russia	2021-03-01	5492	2021-11-22
USA	2021-03-03	936992	2021-12-03
Oman	2021-03-05	83	2021-06-27
Czech Republic	2021-03-07	9000	2021-11-30
Netherlands	2021-03-07	22375	2021-11-29
Timor-Leste	2021-03-08	22	2021-08-08
Turkey	2021-03-09	20774	2021-11-22
Germany	2021-03-09	129316	2021-12-02
Slovakia	2021-03-09	8590	2021-11-24
Malaysia	2021-03-09	2806	2021-11-22
South Africa	2021-03-10	9485	2021-11-26
Senegal	2021-03-11	123	2021-11-25
Ethiopia	2021-03-15	401	2021-08-16
Burkina Faso	2021-03-18	5	2021-04-21
Indonesia	2021-03-20	4334	2021-11-25
Rwanda	2021-03-22	71	2021-10-29
Brazil	2021-03-23	26395	2021-11-24
Greece	2021-03-23	2055	2021-11-18
Zambia	2021-03-26	367	2021-09-08
Mexico	2021-03-27	14472	2021-12-01
Romania	2021-03-29	4287	2021-11-11
Colombia	2021-03-29	1617	2021-11-19
New Zealand	2021-03-30	3051	2021-11-23
Canada	2021-03-30	49516	2021-12-01
Spain	2021-03-30	26984	2021-12-05
Luxembourg	2021-04-01	5887	2021-11-21
Ireland	2021-04-03	20935	2021-11-28
Australia	2021-04-03	24467	2021-12-03
Kenya	2021-04-05	876	2021-11-16
Bulgaria	2021-04-05	5482	2021-11-26
Sweden	2021-04-06	37492	2021-11-29
Gambia	2021-04-08	172	2021-08-23
Paraguay	2021-04-09	251	2021-10-28
Bahrain	2021-04-09	1287	2021-11-14
Belgium	2021-04-10	30583	2021-12-04
Aruba	2021-04-10	1338	2021-11-07
Singapore	2021-04-10	7437	2021-11-28
Pakistan	2021-04-12	626	2021-11-16
Nepal	2021-04-12	170	2021-11-26
Togo	2021-04-12	89	2021-07-31
France	2021-04-13	68776	2021-12-01
Malawi	2021-04-13	65	2021-10-26
Fiji	2021-04-14	511	2021-07-09
Philippines	2021-04-15	842	2021-08-31
Switzerland	2021-04-17	43853	2021-12-01
Qatar	2021-04-17	1267	2021-11-05
Angola	2021-04-18	119	2021-10-01
South Korea	2021-04-19	1578	2021-11-01
Democratic Republic of the Congo	2021-04-20	19	2021-07-12
Vietnam	2021-04-21	15	2021-11-27
Austria	2021-04-21	5902	2021-11-28
Portugal	2021-04-21	12559	2021-11-28
China	2021-04-22	7	2021-07-20
Norway	2021-04-23	11313	2021-11-30
Maldives	2021-04-23	666	2021-11-28
Botswana	2021-04-24	1167	2021-11-27
Finland	2021-04-24	8915	2021-11-27
Guatemala	2021-04-24	302	2021-10-09
Barbados	2021-04-25	19	2021-07-25
Croatia	2021-04-25	5965	2021-12-01
Namibia	2021-04-26	67	2021-07-13
Jordan	2021-04-26	367	2021-12-05
Iran	2021-04-26	16	2021-09-03
Iraq	2021-04-27	11	2021-07-28
Hong Kong	2021-04-28	278	2021-11-29
Poland	2021-04-30	14312	2021-11-30
Mozambique	2021-05-04	309	2021-10-18
Latvia	2021-05-05	73	2021-07-07
Mauritius	2021-05-08	60	2021-10-24
Thailand	2021-05-09	2417	2021-11-19
Algeria	2021-05-10	25	2021-09-01
Georgia	2021-05-12	333	2021-11-04
Ghana	2021-05-12	549	2021-11-25
Seychelles	2021-05-15	462	2021-10-29
Peru	2021-05-15	3116	2021-11-29
Guinea	2021-05-17	8	2021-07-13
Bangladesh	2021-05-17	753	2021-11-02
Iceland	2021-05-18	1786	2021-08-27
Dominican Republic	2021-05-20	117	2021-10-20
Republic of the Congo	2021-05-20	105	2021-11-18
Uganda	2021-05-20	333	2021-08-12
Tunisia	2021-05-21	1	2021-05-21
Monaco	2021-05-21	71	2021-11-08
Guadeloupe	2021-05-25	276	2021-11-01
Burundi	2021-05-27	35	2021-07-28
Lithuania	2021-05-27	10029	2021-11-26
Ukraine	2021-05-29	199	2021-10-31
South Sudan	2021-06-02	25	2021-07-24
Bosnia and Herzegovina	2021-06-08	358	2021-10-29
Estonia	2021-06-10	2824	2021-11-10
Costa Rica	2021-06-13	802	2021-11-21
North Macedonia	2021-06-14	77	2021-11-10
Taiwan	2021-06-14	9	2021-09-09
Benin	2021-06-14	180	2021-08-27
Kuwait	2021-06-15	79	2021-11-25
Armenia	2021-06-17	50	2021-08-05
Chile	2021-06-17	6529	2021-11-28
Moldova	2021-06-17	11	2021-07-06
Montenegro	2021-06-18	191	2021-12-01
Liechtenstein	2021-06-18	112	2021-11-15
Morocco	2021-06-20	120	2021-10-23
United Arab Emirates	2021-06-21	1	2021-06-21
Malta	2021-06-21	95	2021-07-26
Ecuador	2021-06-22	1015	2021-11-17
Zimbabwe	2021-06-23	103	2021-10-25
Cambodia	2021-06-23	237	2021-11-27
Eswatini	2021-06-23	69	2021-07-26
Argentina	2021-06-24	556	2021-11-16
Uzbekistan	2021-06-25	26	2021-07-23
Lebanon	2021-06-25	67	2021-07-16
Serbia	2021-06-26	52	2021-10-04
Belize	2021-06-27	21	2021-08-10
Curacao	2021-06-28	202	2021-11-06
Djibouti	2021-06-30	56	2021-10-19
Saudi Arabia	2021-07-01	3	2021-09-06
Antigua and Barbuda	2021-07-02	58	2021-10-15
Sint Maarten	2021-07-05	597	2021-10-29
Albania	2021-07-06	16	2021-11-10
Andorra	2021-07-08	21	2021-10-09
Kosovo	2021-07-08	839	2021-11-12
Bahamas	2021-07-08	24	2021-08-08
Bonaire	2021-07-08	319	2021-11-09
Papua New Guinea	2021-07-09	495	2021-10-12
Venezuela	2021-07-11	3	2021-08-12
Jamaica	2021-07-13	43	2021-07-24
Saint Lucia	2021-07-14	13	2021-10-06
Gabon	2021-07-15	27	2021-09-30
Egypt	2021-07-15	94	2021-10-23
Equatorial Guinea	2021-07-17	14	2021-08-30
Brunei	2021-07-21	13	2021-07-21
Saint Vincent and the Grenadines	2021-07-21	2	2021-08-08
Grenada	2021-07-26	3	2021-07-26
Haiti	2021-07-27	1	2021-07-27
Cameroon	2021-07-28	292	2021-09-28
French Polynesia	2021-07-29	30	2021-10-27
Suriname	2021-07-29	137	2021-10-07
Honduras	2021-07-30	2	2021-07-31
El Salvador	2021-08-02	1	2021-08-02
Trinidad and Tobago	2021-08-03	284	2021-11-20
Mali	2021-08-10	2	2021-08-11
Kazakhstan	2021-08-17	88	2021-08-19
Lesotho	2021-08-18	5	2021-08-26
Palau	2021-08-20	2	2021-08-20
Cyprus	2021-08-28	1	2021-08-28
Guyana	2021-09-06	18	2021-09-08
Saint Barthélemy	2021-09-21	6	2021-10-29
Bermuda	2021-10-05	7	2021-10-05
Union of the Comoros	2021-10-05	11	2021-10-26
Belarus	2021-10-27	1	2021-10-27
Saint Kitts and Nevis	2021-11-01	1	2021-11-01
Myanmar	2021-11-03	9	2021-12-03
