	first_seq	num_seqs	last_seq
Denmark	2021-01-11	31820	2022-01-16
Nigeria	2021-10-17	161	2021-12-24
South Africa	2021-10-24	3617	2022-01-12
USA	2021-10-28	165775	2022-01-18
United Kingdom	2021-11-03	224626	2022-01-18
Ghana	2021-11-05	86	2021-12-23
Canada	2021-11-09	13180	2022-01-09
Senegal	2021-11-09	97	2022-01-18
India	2021-11-10	1922	2022-01-17
Czech Republic	2021-11-11	947	2022-01-11
Botswana	2021-11-11	981	2022-01-10
France	2021-11-12	9598	2022-01-18
Hong Kong	2021-11-13	117	2022-01-17
Mexico	2021-11-16	2323	2022-01-21
Netherlands	2021-11-18	2631	2022-01-17
Malaysia	2021-11-19	464	2022-01-11
Sweden	2021-11-19	2393	2022-01-13
Portugal	2021-11-19	1059	2022-01-04
Belgium	2021-11-20	3747	2022-01-17
Israel	2021-11-20	4976	2022-01-10
Germany	2021-11-21	10835	2022-01-15
Switzerland	2021-11-21	5939	2022-01-17
Colombia	2021-11-22	602	2022-01-12
Italy	2021-11-22	4131	2022-01-18
Finland	2021-11-23	314	2021-12-20
Mauritius	2021-11-23	21	2022-01-09
Thailand	2021-11-24	546	2022-01-07
Sri Lanka	2021-11-24	209	2022-01-10
South Korea	2021-11-24	325	2022-01-06
Sierra Leone	2021-11-24	1	2021-11-24
Chile	2021-11-25	346	2021-12-31
Brazil	2021-11-25	1726	2022-01-10
Spain	2021-11-25	4321	2022-01-16
Austria	2021-11-25	44	2021-12-28
Nepal	2021-11-25	47	2022-01-18
Ireland	2021-11-25	1689	2022-01-07
Zimbabwe	2021-11-26	195	2021-12-15
Mozambique	2021-11-26	23	2021-12-12
Australia	2021-11-26	7912	2022-01-19
Norway	2021-11-26	1782	2022-01-16
Japan	2021-11-27	1567	2022-01-15
Maldives	2021-11-27	74	2022-01-09
Indonesia	2021-11-29	1254	2022-01-16
Greece	2021-11-29	324	2021-12-29
Uganda	2021-11-29	30	2021-12-18
Myanmar	2021-11-30	5	2022-01-04
Slovenia	2021-11-30	1619	2022-01-09
Zambia	2021-11-30	47	2021-12-24
Algeria	2021-11-30	2	2021-12-10
Croatia	2021-12-01	153	2021-12-30
Kuwait	2021-12-01	1	2021-12-01
Romania	2021-12-01	387	2022-01-14
Oman	2021-12-01	9	2021-12-18
Slovakia	2021-12-01	198	2022-01-14
Argentina	2021-12-02	210	2022-01-10
Malawi	2021-12-02	91	2021-12-30
Turkey	2021-12-02	1904	2022-01-13
Singapore	2021-12-02	1169	2022-01-16
Liechtenstein	2021-12-02	68	2022-01-01
Philippines	2021-12-03	43	2021-12-31
Russia	2021-12-03	162	2021-12-29
Pakistan	2021-12-03	56	2022-01-09
Lebanon	2021-12-03	4	2021-12-06
Montenegro	2021-12-04	16	2021-12-20
Kenya	2021-12-04	12	2021-12-15
Sint Maarten	2021-12-04	60	2021-12-17
Luxembourg	2021-12-06	1167	2022-01-07
Bangladesh	2021-12-06	64	2022-01-09
New Zealand	2021-12-07	376	2022-01-16
Jordan	2021-12-07	30	2022-01-10
Ecuador	2021-12-07	167	2022-01-10
Lithuania	2021-12-08	192	2022-01-07
China	2021-12-09	10	2021-12-29
Egypt	2021-12-09	1	2021-12-09
Poland	2021-12-09	1977	2022-01-20
Trinidad and Tobago	2021-12-10	22	2022-01-06
Morocco	2021-12-10	34	2021-12-24
Costa Rica	2021-12-10	140	2021-12-31
Peru	2021-12-11	212	2022-01-06
Cambodia	2021-12-12	159	2022-01-14
Serbia	2021-12-12	3	2021-12-21
Barbados	2021-12-13	6	2021-12-16
Venezuela	2021-12-13	2	2021-12-14
Bulgaria	2021-12-13	62	2022-01-03
Malta	2021-12-13	104	2022-01-05
Panama	2021-12-13	1	2021-12-13
Saint Martin	2021-12-14	37	2021-12-25
Republic of the Congo	2021-12-14	27	2021-12-30
Georgia	2021-12-14	206	2022-01-10
Estonia	2021-12-15	23	2021-12-22
Aruba	2021-12-16	17	2021-12-18
Curacao	2021-12-16	25	2021-12-24
Antigua and Barbuda	2021-12-16	18	2021-12-26
Brunei	2021-12-16	12	2021-12-27
Guadeloupe	2021-12-17	30	2021-12-23
Tanzania	2021-12-18	2	2021-12-18
Saint Vincent and the Grenadines	2021-12-18	33	2022-01-03
Ukraine	2021-12-19	1	2021-12-19
Iran	2021-12-19	2	2021-12-19
Bonaire	2021-12-19	35	2021-12-28
Saint Kitts and Nevis	2021-12-19	16	2022-01-04
Kazakhstan	2021-12-21	6	2021-12-28
Vietnam	2021-12-21	13	2021-12-31
Gambia	2021-12-22	40	2021-12-29
Bosnia and Herzegovina	2021-12-23	14	2021-12-27
North Macedonia	2021-12-23	1	2021-12-23
Mali	2021-12-23	1	2021-12-23
Suriname	2021-12-24	14	2021-12-29
Iraq	2022-01-02	10	2022-01-02
Moldova	2022-01-03	16	2022-01-06
Azerbaijan	2022-01-10	12	2022-01-10
