	first_seq	num_seqs	last_seq
Nigeria	2021-10-17	827	2022-01-03
USA	2021-10-20	497002	2022-02-19
South Africa	2021-10-24	6060	2022-02-04
Chile	2021-10-26	2673	2022-02-10
United Kingdom	2021-11-03	486029	2022-02-19
Canada	2021-11-04	37702	2022-02-13
Ghana	2021-11-05	97	2021-12-23
Egypt	2021-11-08	36	2022-01-03
Senegal	2021-11-09	145	2022-02-17
India	2021-11-10	5314	2022-02-08
Czech Republic	2021-11-11	5342	2022-02-14
Botswana	2021-11-11	1148	2022-01-22
Bermuda	2021-11-12	20	2021-12-14
France	2021-11-12	40323	2022-02-21
Netherlands	2021-11-13	10198	2022-02-15
Hong Kong	2021-11-13	263	2022-02-02
Mexico	2021-11-16	8312	2022-02-13
Germany	2021-11-17	59714	2022-02-14
Rwanda	2021-11-18	84	2022-01-29
Belgium	2021-11-19	11482	2022-02-19
Democratic Republic of the Congo	2021-11-19	91	2021-12-18
Malaysia	2021-11-19	953	2022-02-06
Sweden	2021-11-19	4775	2022-02-11
Portugal	2021-11-19	3435	2022-02-08
Israel	2021-11-20	14517	2022-02-08
Switzerland	2021-11-21	16576	2022-02-15
Philippines	2021-11-22	253	2022-01-05
Denmark	2021-11-22	35862	2022-02-18
Italy	2021-11-22	11191	2022-02-16
Finland	2021-11-23	1989	2022-02-01
Eswatini	2021-11-23	141	2021-12-20
Mauritius	2021-11-23	146	2022-01-31
Norway	2021-11-24	5616	2022-02-17
Sri Lanka	2021-11-24	403	2022-02-15
Sierra Leone	2021-11-24	1	2021-11-24
South Korea	2021-11-24	2141	2022-01-26
Thailand	2021-11-24	2847	2022-02-09
Austria	2021-11-25	2416	2022-02-11
Nepal	2021-11-25	50	2022-01-21
Spain	2021-11-25	12560	2022-02-16
Brazil	2021-11-25	12767	2022-02-11
Angola	2021-11-25	1	2021-11-25
Ireland	2021-11-25	7166	2022-02-08
Zimbabwe	2021-11-26	220	2021-12-21
Mozambique	2021-11-26	77	2022-01-14
Australia	2021-11-26	17133	2022-02-19
Maldives	2021-11-27	149	2022-01-28
Japan	2021-11-27	12690	2022-02-15
Kenya	2021-11-27	642	2022-01-15
Qatar	2021-11-27	65	2022-01-22
Peru	2021-11-28	1595	2022-02-15
Greece	2021-11-29	779	2022-02-05
Indonesia	2021-11-29	6227	2022-02-14
Uganda	2021-11-29	38	2022-01-07
Myanmar	2021-11-30	3	2022-01-04
Slovenia	2021-11-30	7023	2022-02-02
Zambia	2021-11-30	214	2022-02-02
Algeria	2021-11-30	2	2021-12-10
Oman	2021-12-01	39	2022-01-04
Croatia	2021-12-01	5281	2022-02-04
Kuwait	2021-12-01	1	2021-12-01
Slovakia	2021-12-01	1640	2022-02-16
Romania	2021-12-01	1826	2022-02-03
Tunisia	2021-12-02	1	2021-12-02
