	first_seq	num_seqs	last_seq
Slovakia	2021-11-09	8854	2022-06-17
Brazil	2021-11-17	7906	2022-06-19
South Africa	2021-11-17	3741	2022-06-29
France	2021-11-24	62206	2022-06-27
India	2021-11-25	38996	2022-06-30
Canada	2021-11-29	51570	2022-06-28
Australia	2021-12-01	36656	2022-07-05
Philippines	2021-12-01	5994	2022-06-27
Denmark	2021-12-05	197672	2022-07-03
United Kingdom	2021-12-06	458218	2022-07-02
Mozambique	2021-12-07	24	2022-03-30
Maldives	2021-12-09	160	2022-04-27
Sweden	2021-12-09	30130	2022-06-26
Norway	2021-12-12	14598	2022-07-02
Belgium	2021-12-13	20359	2022-07-04
Germany	2021-12-13	189110	2022-06-30
USA	2021-12-14	214470	2022-07-06
Zambia	2021-12-14	50	2022-04-26
Kenya	2021-12-14	79	2022-06-16
Rwanda	2021-12-17	2	2022-01-07
Switzerland	2021-12-19	11931	2022-06-26
Qatar	2021-12-19	192	2022-05-16
Singapore	2021-12-19	5062	2022-06-29
Luxembourg	2021-12-20	8802	2022-06-26
Czech Republic	2021-12-20	9300	2022-06-29
Namibia	2021-12-23	1	2021-12-23
Netherlands	2021-12-23	17508	2022-06-27
Spain	2021-12-23	15407	2022-07-04
Malaysia	2021-12-23	8065	2022-06-27
Japan	2021-12-23	42666	2022-07-05
Sri Lanka	2021-12-25	424	2022-05-25
Algeria	2021-12-26	79	2022-06-16
Thailand	2021-12-26	5592	2022-06-25
Bangladesh	2021-12-27	678	2022-06-16
Nepal	2021-12-27	373	2022-06-28
Lithuania	2021-12-27	5212	2022-05-01
China	2021-12-27	87	2022-05-09
Hong Kong	2021-12-27	3869	2022-07-03
Bosnia and Herzegovina	2021-12-27	23	2022-03-15
Botswana	2021-12-28	175	2022-06-15
Georgia	2021-12-28	487	2022-06-08
Malawi	2021-12-29	10	2022-02-10
Indonesia	2021-12-29	3056	2022-06-27
South Korea	2021-12-29	12513	2022-06-22
Vietnam	2021-12-29	1710	2022-05-26
Iran	2021-12-30	393	2022-06-20
Guinea	2021-12-30	2	2022-03-08
Eswatini	2021-12-30	52	2022-04-30
Jordan	2021-12-31	58	2022-05-23
Seychelles	2021-12-31	71	2022-04-29
Poland	2022-01-01	7667	2022-07-05
Austria	2022-01-01	7227	2022-06-28
Pakistan	2022-01-01	295	2022-06-28
Croatia	2022-01-01	4641	2022-06-11
Colombia	2022-01-01	822	2022-06-22
New Zealand	2022-01-01	6165	2022-06-19
Mexico	2022-01-02	2537	2022-06-29
Portugal	2022-01-02	6023	2022-06-21
Israel	2022-01-02	25329	2022-06-26
Nigeria	2022-01-02	16	2022-05-07
Papua New Guinea	2022-01-03	293	2022-03-07
Slovenia	2022-01-03	5217	2022-06-26
Brunei	2022-01-03	1621	2022-06-18
Finland	2022-01-03	2993	2022-06-13
Oman	2022-01-03	13	2022-01-24
Latvia	2022-01-03	2881	2022-06-13
Lesotho	2022-01-04	4	2022-01-10
Myanmar	2022-01-04	25	2022-03-14
Italy	2022-01-04	13332	2022-07-05
Ireland	2022-01-04	12527	2022-07-04
Russia	2022-01-07	1054	2022-06-28
Moldova	2022-01-08	52	2022-05-10
Egypt	2022-01-09	39	2022-03-17
Romania	2022-01-09	2035	2022-05-30
Mauritius	2022-01-10	978	2022-05-28
Cambodia	2022-01-10	674	2022-07-02
Bulgaria	2022-01-10	982	2022-03-24
Taiwan	2022-01-10	50	2022-06-23
Iraq	2022-01-14	5	2022-01-26
Curacao	2022-01-17	366	2022-06-11
Montenegro	2022-01-18	60	2022-04-19
Argentina	2022-01-18	353	2022-06-13
Ukraine	2022-01-19	43	2022-06-03
Belarus	2022-01-20	9	2022-02-15
Lebanon	2022-01-20	13	2022-02-18
Turkey	2022-01-21	4108	2022-06-30
Kosovo	2022-01-21	114	2022-05-20
Paraguay	2022-01-21	119	2022-06-06
Kuwait	2022-01-22	137	2022-06-21
Greece	2022-01-24	1168	2022-05-27
Saint Martin	2022-01-24	70	2022-06-19
Costa Rica	2022-01-25	1146	2022-06-17
Chile	2022-01-26	2278	2022-07-05
Liechtenstein	2022-01-27	193	2022-05-28
North Macedonia	2022-01-28	45	2022-04-13
Trinidad and Tobago	2022-01-30	305	2022-06-24
Serbia	2022-01-30	350	2022-06-04
Peru	2022-01-31	1460	2022-06-22
Democratic Republic of the Congo	2022-02-01	20	2022-05-23
Senegal	2022-02-01	24	2022-05-30
Cameroon	2022-02-01	1	2022-02-01
Panama	2022-02-01	302	2022-06-11
Djibouti	2022-02-02	25	2022-04-30
Estonia	2022-02-03	2540	2022-05-31
Ecuador	2022-02-03	161	2022-06-29
Ethiopia	2022-02-04	1	2022-02-04
Mongolia	2022-02-06	3	2022-02-28
Guadeloupe	2022-02-07	120	2022-06-07
Tunisia	2022-02-07	26	2022-03-16
