	first_seq	num_seqs	last_seq
South Africa	2021-11-17	24	2021-12-31
Canada	2021-11-29	8	2021-12-03
Australia	2021-12-01	1	2021-12-01
Sweden	2021-12-03	82	2021-12-25
Denmark	2021-12-05	1291	2022-01-02
United Kingdom	2021-12-06	13	2022-01-02
Germany	2021-12-13	7	2021-12-30
India	2021-12-15	70	2022-01-03
Philippines	2021-12-19	19	2021-12-31
Switzerland	2021-12-19	2	2021-12-30
Singapore	2021-12-19	7	2022-01-01
Czech Republic	2021-12-20	1	2021-12-20
Luxembourg	2021-12-20	1	2021-12-20
USA	2021-12-21	4	2022-01-03
France	2021-12-21	1	2021-12-21
Netherlands	2021-12-23	4	2022-01-03
Sri Lanka	2021-12-25	1	2021-12-25
Belgium	2021-12-26	3	2022-01-02
China	2021-12-27	1	2021-12-27
Hong Kong	2021-12-27	10	2022-01-04
