	first_seq	num_seqs	last_seq
South Africa	2021-11-18	116	2022-06-29
Germany	2021-12-02	130	2022-09-20
United Kingdom	2021-12-03	52	2022-04-30
USA	2021-12-03	34	2022-05-12
Eswatini	2021-12-04	1	2021-12-04
Mozambique	2021-12-04	2	2021-12-08
Botswana	2021-12-06	7	2022-01-10
Poland	2021-12-10	412	2022-03-31
Netherlands	2021-12-10	5	2022-04-23
Namibia	2021-12-15	1	2021-12-15
Ireland	2021-12-17	9	2022-04-18
Australia	2021-12-25	3	2022-03-29
Switzerland	2021-12-26	1	2021-12-26
Spain	2021-12-28	15	2022-07-15
Norway	2022-01-03	10	2022-03-23
Ukraine	2022-01-05	2	2022-01-20
Austria	2022-01-05	28	2022-08-09
France	2022-01-11	18	2022-04-11
India	2022-01-13	3	2022-02-25
Belgium	2022-01-15	14	2022-04-20
Denmark	2022-01-23	17	2022-03-06
Sri Lanka	2022-01-27	1	2022-01-27
Czech Republic	2022-01-27	3	2022-04-11
Sweden	2022-02-01	2	2022-02-09
Italy	2022-02-16	8	2022-05-04
Portugal	2022-03-07	2	2022-03-14
Turkey	2022-03-12	1	2022-03-12
Israel	2022-03-15	2	2022-03-23
Slovenia	2022-03-16	2	2022-03-19
New Zealand	2022-04-04	1	2022-04-04
Canada	2022-04-07	1	2022-04-07
