	first_seq	num_seqs	last_seq
France	2022-02-03	82659	2022-12-12
India	2022-02-07	4887	2022-11-30
Gambia	2022-02-08	122	2022-09-08
Mexico	2022-02-08	11707	2022-12-02
United Kingdom	2022-02-08	126415	2022-12-13
Belgium	2022-02-09	23031	2022-12-13
Indonesia	2022-02-10	14253	2022-11-29
Malaysia	2022-02-10	6265	2022-11-30
Spain	2022-02-11	22203	2022-12-11
Italy	2022-02-11	19370	2022-12-13
Senegal	2022-02-16	36	2022-08-23
Saudi Arabia	2022-02-16	118	2022-09-17
Slovakia	2022-02-17	6255	2022-11-19
Russia	2022-02-19	24134	2022-12-08
Germany	2022-02-24	144042	2022-12-09
USA	2022-02-26	487349	2022-12-13
Brazil	2022-03-01	16982	2022-12-01
Pakistan	2022-03-02	960	2022-11-11
South Africa	2022-03-02	3499	2022-12-02
Slovenia	2022-03-03	7099	2022-12-05
Mauritius	2022-03-09	1028	2022-10-31
Eswatini	2022-03-14	140	2022-07-07
Chile	2022-03-17	3144	2022-12-05
Romania	2022-03-23	2749	2022-11-16
Portugal	2022-03-29	8137	2022-11-29
Austria	2022-03-30	9016	2022-11-30
Australia	2022-04-06	33509	2022-12-09
Turkey	2022-04-07	5555	2022-11-14
Kenya	2022-04-07	696	2022-11-30
Hong Kong	2022-04-08	1938	2022-12-06
Philippines	2022-04-10	3324	2022-11-03
Netherlands	2022-04-11	21833	2022-12-06
Switzerland	2022-04-11	11915	2022-12-09
Thailand	2022-04-12	2766	2022-11-26
Norway	2022-04-12	5760	2022-11-28
Poland	2022-04-13	4667	2022-12-15
Israel	2022-04-14	39725	2022-11-28
Canada	2022-04-15	69858	2022-12-08
Denmark	2022-04-15	80803	2022-12-11
Sint Maarten	2022-04-19	93	2022-11-05
Botswana	2022-04-19	119	2022-12-01
Zambia	2022-04-23	3	2022-05-24
Ireland	2022-04-23	15790	2022-12-10
Estonia	2022-04-25	2117	2022-10-12
Iceland	2022-04-28	2212	2022-12-13
Greece	2022-04-29	3756	2022-12-02
Japan	2022-04-29	135316	2022-12-13
Democratic Republic of the Congo	2022-04-30	17	2022-10-07
Bahrain	2022-05-02	840	2022-08-23
Brunei	2022-05-02	1416	2022-11-22
New Zealand	2022-05-02	9986	2022-11-29
Luxembourg	2022-05-02	13174	2022-12-04
Croatia	2022-05-04	6507	2022-11-23
Sweden	2022-05-04	28164	2022-12-05
Czech Republic	2022-05-04	10297	2022-12-08
Finland	2022-05-06	5232	2022-11-30
Morocco	2022-05-09	506	2022-11-28
South Korea	2022-05-09	24785	2022-12-04
Liechtenstein	2022-05-09	334	2022-12-10
Singapore	2022-05-10	4981	2022-12-07
Namibia	2022-05-11	2	2022-05-11
Latvia	2022-05-13	59	2022-06-13
Jordan	2022-05-14	9	2022-05-20
Peru	2022-05-14	10266	2022-12-01
Colombia	2022-05-15	1092	2022-12-01
Bulgaria	2022-05-16	870	2022-10-21
Panama	2022-05-16	703	2022-11-25
Lesotho	2022-05-17	8	2022-10-21
Venezuela	2022-05-18	29	2022-09-06
Costa Rica	2022-05-18	1929	2022-11-15
Togo	2022-05-20	1	2022-05-20
Jamaica	2022-05-20	55	2022-07-22
Djibouti	2022-05-20	107	2022-08-11
Aruba	2022-05-21	484	2022-11-15
Cabo Verde	2022-05-21	131	2022-11-16
Argentina	2022-05-21	750	2022-11-30
Libya	2022-05-22	14	2022-07-12
Ghana	2022-05-23	24	2022-06-28
Paraguay	2022-05-24	676	2022-09-08
Bangladesh	2022-05-24	308	2022-10-04
Montenegro	2022-05-26	114	2022-08-12
Kazakhstan	2022-05-26	218	2022-10-22
Vietnam	2022-05-26	1310	2022-11-01
Kuwait	2022-05-26	122	2022-11-06
Bermuda	2022-05-29	45	2022-09-29
Tunisia	2022-05-30	98	2022-08-01
Micronesia	2022-05-30	45	2022-10-02
Qatar	2022-05-30	636	2022-10-23
