	first_seq	num_seqs	last_seq
Israel	2020-10-20	1378	2022-06-08
USA	2021-05-20	109326	2022-06-14
Australia	2022-01-24	266	2022-06-10
Canada	2022-01-27	1465	2022-06-09
Colombia	2022-03-02	36	2022-05-23
Qatar	2022-03-13	1	2022-03-13
Argentina	2022-03-16	8	2022-05-26
Chile	2022-03-20	186	2022-06-03
United Kingdom	2022-03-23	1541	2022-06-11
Spain	2022-03-30	83	2022-06-08
India	2022-04-01	117	2022-06-06
Japan	2022-04-02	455	2022-06-02
Brazil	2022-04-05	33	2022-05-30
Austria	2022-04-05	322	2022-06-07
Mexico	2022-04-05	380	2022-06-02
Denmark	2022-04-07	1223	2022-06-12
Netherlands	2022-04-07	230	2022-06-12
Germany	2022-04-08	789	2022-06-13
France	2022-04-08	194	2022-06-06
New Zealand	2022-04-11	27	2022-05-14
Switzerland	2022-04-11	83	2022-06-06
Ireland	2022-04-11	318	2022-06-14
Hong Kong	2022-04-12	107	2022-06-05
Turkey	2022-04-12	6	2022-05-25
Belgium	2022-04-12	146	2022-06-12
Panama	2022-04-13	8	2022-05-19
Sint Maarten	2022-04-13	12	2022-05-27
Singapore	2022-04-14	88	2022-06-08
Philippines	2022-04-15	36	2022-05-30
Guatemala	2022-04-16	14	2022-05-21
Peru	2022-04-16	221	2022-05-28
South Korea	2022-04-17	64	2022-05-29
Costa Rica	2022-04-18	29	2022-05-31
Czech Republic	2022-04-19	13	2022-05-27
Luxembourg	2022-04-19	100	2022-06-03
Pakistan	2022-04-20	1	2022-04-20
Croatia	2022-04-20	9	2022-05-10
Portugal	2022-04-25	21	2022-05-30
Bonaire	2022-04-25	6	2022-05-26
Sweden	2022-04-26	105	2022-06-15
Norway	2022-04-28	61	2022-06-08
Poland	2022-04-28	11	2022-06-10
Iceland	2022-04-29	1	2022-04-29
Slovenia	2022-04-30	15	2022-06-01
Estonia	2022-04-30	5	2022-05-16
Thailand	2022-05-02	17	2022-05-31
Paraguay	2022-05-02	1	2022-05-02
Aruba	2022-05-03	30	2022-05-31
Italy	2022-05-03	68	2022-06-12
Ecuador	2022-05-03	44	2022-06-12
South Africa	2022-05-04	4	2022-05-30
Kenya	2022-05-06	21	2022-05-22
Slovakia	2022-05-09	7	2022-05-22
Malaysia	2022-05-11	4	2022-05-18
Saint Martin	2022-05-12	3	2022-05-27
Trinidad and Tobago	2022-05-17	4	2022-05-26
Curacao	2022-05-17	3	2022-05-27
Democratic Republic of the Congo	2022-05-19	2	2022-05-23
Saint Lucia	2022-05-19	1	2022-05-19
Finland	2022-05-20	4	2022-05-21
Serbia	2022-05-22	6	2022-06-04
Cambodia	2022-05-24	1	2022-05-24
Liechtenstein	2022-05-26	5	2022-05-28
Indonesia	2022-05-31	2	2022-06-06
