	first_seq	num_seqs	last_seq
India	2022-01-07	182	2022-07-04
Canada	2022-06-01	4	2022-06-21
Germany	2022-06-03	2	2022-06-06
Australia	2022-06-04	2	2022-06-28
Japan	2022-06-13	5	2022-07-12
USA	2022-06-14	11	2022-07-04
New Zealand	2022-06-15	6	2022-07-06
United Kingdom	2022-06-20	14	2022-07-04
France	2022-06-20	1	2022-06-20
Indonesia	2022-06-21	4	2022-06-21
Nepal	2022-06-22	2	2022-06-27
Luxembourg	2022-06-24	1	2022-06-24
Netherlands	2022-06-26	1	2022-06-26
Turkey	2022-06-30	1	2022-06-30
Denmark	2022-07-08	1	2022-07-08
