	first_seq	num_seqs	last_seq
Cameroon	2022-07-01	38	2023-02-07
Nigeria	2022-07-10	123	2023-08-22
Brazil	2022-07-11	10193	2023-06-03
Spain	2022-07-11	11529	2024-02-14
Côte d'Ivoire	2022-07-17	20	2023-02-21
Austria	2022-07-25	6078	2023-05-15
Paraguay	2022-08-04	204	2023-01-18
USA	2022-08-07	156219	2023-12-19
Kazakhstan	2022-08-10	67	2023-03-13
Sweden	2022-08-10	10279	2024-01-09
Germany	2022-08-13	22768	2024-02-12
Japan	2022-08-14	18016	2023-10-03
Canada	2022-08-16	35642	2023-12-15
Egypt	2022-08-17	32	2022-12-14
Algeria	2022-08-20	54	2023-04-25
Belgium	2022-08-20	4434	2023-09-11
France	2022-08-21	33224	2023-12-19
Serbia	2022-08-22	57	2023-02-01
Kosovo	2022-08-22	16	2023-02-27
Ireland	2022-08-22	4323	2023-05-20
Luxembourg	2022-08-22	3137	2023-08-30
United Kingdom	2022-08-22	41448	2023-11-01
Togo	2022-08-23	53	2022-11-07
Colombia	2022-08-23	1030	2023-03-04
Burkina Faso	2022-08-24	1	2022-08-24
South Korea	2022-08-24	3958	2023-07-04
Netherlands	2022-08-24	7133	2023-07-31
Israel	2022-08-25	4847	2023-04-02
Australia	2022-08-26	5690	2023-06-25
Denmark	2022-08-26	18492	2023-10-30
Kenya	2022-08-28	345	2023-05-10
New Zealand	2022-08-28	1366	2023-11-01
Switzerland	2022-08-29	3434	2023-08-09
Greece	2022-08-30	2514	2023-06-13
Slovakia	2022-08-31	327	2023-05-10
Mali	2022-09-01	38	2022-10-10
Qatar	2022-09-01	6	2022-10-23
Ghana	2022-09-02	404	2023-01-02
Central African Republic	2022-09-02	16	2023-08-04
Mauritius	2022-09-05	94	2023-02-09
Dominican Republic	2022-09-05	108	2023-02-20
South Africa	2022-09-05	1076	2023-04-24
Slovenia	2022-09-05	2117	2023-07-11
China	2022-09-05	265	2023-10-25
Czech Republic	2022-09-06	412	2023-04-11
Italy	2022-09-06	8642	2023-07-29
Portugal	2022-09-07	1986	2023-05-19
Indonesia	2022-09-08	1787	2023-06-10
Costa Rica	2022-09-09	626	2023-04-05
Hong Kong	2022-09-11	390	2023-04-26
Malaysia	2022-09-11	422	2023-11-02
Latvia	2022-09-12	340	2022-12-20
Uganda	2022-09-12	63	2023-05-24
Estonia	2022-09-13	120	2023-04-14
Russia	2022-09-13	400	2023-05-01
Norway	2022-09-13	1667	2023-05-02
Romania	2022-09-13	523	2023-05-22
Guinea	2022-09-14	13	2022-11-02
Cyprus	2022-09-14	176	2023-03-24
Republic of the Congo	2022-09-15	6	2022-10-04
Angola	2022-09-15	6	2022-10-24
Djibouti	2022-09-15	102	2023-01-23
Brunei	2022-09-15	105	2023-05-02
Finland	2022-09-15	1718	2023-09-08
Seychelles	2022-09-16	2	2022-09-29
Jamaica	2022-09-16	130	2023-02-19
Chile	2022-09-19	1857	2023-04-26
Croatia	2022-09-19	915	2023-06-07
Turkey	2022-09-19	1001	2023-08-03
Senegal	2022-09-20	36	2023-03-24
Mexico	2022-09-20	3032	2023-07-25
Pakistan	2022-09-21	17	2023-02-04
Sint Maarten	2022-09-21	37	2023-02-24
Botswana	2022-09-24	40	2023-05-12
Trinidad and Tobago	2022-09-25	129	2023-02-23
Liechtenstein	2022-09-26	61	2022-12-30
Mongolia	2022-09-26	78	2023-01-09
Singapore	2022-09-27	1122	2023-04-17
Democratic Republic of the Congo	2022-09-28	5	2023-01-30
Iceland	2022-09-30	795	2023-03-13
Cabo Verde	2022-10-02	72	2023-02-10
Thailand	2022-10-03	77	2023-05-15
Poland	2022-10-03	659	2023-10-30
Bulgaria	2022-10-04	59	2023-05-02
India	2022-10-05	183	2023-03-27
Ecuador	2022-10-06	1007	2023-05-18
Saudi Arabia	2022-10-10	7	2022-11-27
Guadeloupe	2022-10-10	59	2023-03-06
Hungary	2022-10-10	37	2023-04-03
Peru	2022-10-10	2073	2023-04-30
Curacao	2022-10-11	56	2023-01-31
Bonaire	2022-10-15	85	2023-01-17
Bermuda	2022-10-16	28	2022-12-28
Kuwait	2022-10-16	13	2023-05-25
Saint Vincent and the Grenadines	2022-10-17	16	2023-01-08
Aruba	2022-10-18	191	2023-02-01
Uruguay	2022-10-19	58	2023-05-15
Andorra	2022-10-20	21	2022-12-27
Tunisia	2022-10-20	24	2023-02-24
Argentina	2022-10-21	2217	2023-04-12
Papua New Guinea	2022-10-22	2	2022-10-31
Moldova	2022-10-25	39	2023-02-04
Guatemala	2022-10-25	250	2023-03-29
Barbados	2022-10-26	33	2023-05-02
Morocco	2022-10-26	159	2023-12-01
Bosnia and Herzegovina	2022-10-27	25	2023-03-13
Vietnam	2022-10-28	2	2023-03-13
Lebanon	2022-10-28	16	2023-05-24
Montenegro	2022-10-31	23	2023-03-18
Tanzania	2022-11-02	8	2022-12-16
Georgia	2022-11-02	41	2023-05-08
Philippines	2022-11-03	8	2023-02-01
Lithuania	2022-11-03	462	2023-03-20
Palau	2022-11-04	8	2022-12-14
Venezuela	2022-11-04	99	2023-02-10
Ukraine	2022-11-04	143	2023-07-31
Panama	2022-11-07	214	2023-02-06
North Macedonia	2022-11-07	45	2023-03-22
Laos	2022-11-08	3	2022-12-26
Saint Lucia	2022-11-08	13	2023-02-02
Bolivia	2022-11-11	11	2023-01-05
Sri Lanka	2022-11-12	2	2023-01-07
El Salvador	2022-11-14	8	2023-01-03
Bahrain	2022-11-15	59	2023-02-07
Micronesia	2022-11-17	23	2023-03-20
Mozambique	2022-11-17	24	2023-03-30
Nicaragua	2022-11-22	2	2022-12-02
Honduras	2022-11-22	10	2023-01-16
Iran	2022-11-22	51	2023-03-11
Malawi	2022-11-24	4	2023-01-19
Belize	2022-11-25	31	2023-02-07
Bahamas	2022-11-27	6	2023-01-09
Taiwan	2022-11-27	90	2023-08-20
Eswatini	2022-11-29	13	2023-04-13
Cambodia	2022-12-02	1	2022-12-02
Tonga	2022-12-11	3	2023-02-13
Antigua and Barbuda	2022-12-14	14	2023-02-02
Zambia	2022-12-20	9	2023-01-17
Saint Kitts and Nevis	2022-12-29	1	2022-12-29
Palestine	2023-01-01	10	2023-01-24
New Caledonia	2023-01-02	5	2023-01-25
Zimbabwe	2023-01-05	13	2023-01-26
Oman	2023-01-05	4	2023-02-12
