	first_seq	num_seqs	last_seq
India	2022-08-19	516	2022-10-30
Canada	2022-08-28	58	2022-11-04
Israel	2022-09-01	77	2022-10-29
USA	2022-09-02	280	2022-11-02
New Zealand	2022-09-05	4	2022-09-30
Singapore	2022-09-06	1156	2022-11-06
Germany	2022-09-07	40	2022-11-07
Japan	2022-09-09	48	2022-11-02
United Kingdom	2022-09-10	185	2022-11-04
Bangladesh	2022-09-11	90	2022-10-15
Australia	2022-09-13	326	2022-11-04
Philippines	2022-09-15	16	2022-09-29
Malaysia	2022-09-15	53	2022-11-03
Ireland	2022-09-17	8	2022-10-21
Luxembourg	2022-09-19	5	2022-10-18
France	2022-09-19	24	2022-10-24
Denmark	2022-09-19	202	2022-11-07
Brunei	2022-09-20	74	2022-10-26
Switzerland	2022-09-20	19	2022-11-05
South Korea	2022-09-21	44	2022-10-24
Austria	2022-09-21	121	2022-11-02
Italy	2022-09-21	23	2022-11-02
Belgium	2022-09-21	28	2022-11-06
Netherlands	2022-09-22	24	2022-10-31
Indonesia	2022-09-25	101	2022-11-02
Hong Kong	2022-09-27	14	2022-10-12
Norway	2022-09-29	8	2022-10-28
Uganda	2022-09-30	2	2022-10-12
Kuwait	2022-10-02	4	2022-10-16
South Africa	2022-10-03	2	2022-10-25
Sweden	2022-10-03	19	2022-11-02
Iceland	2022-10-03	7	2022-11-08
Cambodia	2022-10-07	1	2022-10-07
Portugal	2022-10-08	4	2022-10-24
Nepal	2022-10-09	1	2022-10-09
Argentina	2022-10-12	1	2022-10-12
Spain	2022-10-12	5	2022-10-24
Bonaire	2022-10-14	1	2022-10-14
Algeria	2022-10-15	1	2022-10-15
Chile	2022-10-16	3	2022-10-16
Marshall Islands	2022-10-16	1	2022-10-16
Slovenia	2022-10-19	1	2022-10-19
Turkey	2022-10-24	7	2022-11-01
Dominican Republic	2022-10-25	3	2022-10-31
Pakistan	2022-10-27	2	2022-10-30
