	first_seq	num_seqs	last_seq
United Kingdom	2022-10-17	10852	2024-01-31
Indonesia	2022-10-18	2936	2023-12-22
Spain	2022-10-18	4866	2024-04-29
South Korea	2022-10-19	10967	2023-12-28
Israel	2022-10-23	1540	2023-12-27
USA	2022-10-25	28584	2024-04-12
Denmark	2022-10-28	2060	2024-01-08
Pakistan	2022-10-30	224	2023-10-16
Singapore	2022-10-31	2000	2023-12-26
Netherlands	2022-10-31	1658	2024-04-29
Malaysia	2022-11-03	1184	2023-12-25
Switzerland	2022-11-04	830	2024-02-04
Croatia	2022-11-09	530	2024-02-13
South Africa	2022-11-09	243	2024-02-14
Georgia	2022-11-11	321	2023-11-17
Canada	2022-11-13	8575	2024-03-19
Turkey	2022-11-14	231	2024-02-13
Japan	2022-11-14	8692	2024-03-08
Belgium	2022-11-15	1370	2023-12-26
Russia	2022-11-15	3766	2024-04-17
Germany	2022-11-16	3937	2024-02-19
Tunisia	2022-11-19	64	2023-11-10
Mauritius	2022-11-19	95	2023-12-09
Australia	2022-11-19	5376	2024-03-06
India	2022-11-24	236	2023-11-21
Egypt	2022-11-27	261	2023-05-24
Sweden	2022-12-01	3079	2024-01-29
France	2022-12-01	7754	2024-04-22
Czech Republic	2022-12-02	136	2024-01-26
Bahrain	2022-12-04	361	2023-12-10
Brazil	2022-12-06	578	2023-12-13
Norway	2022-12-06	427	2023-12-27
Algeria	2022-12-07	31	2023-05-06
Ireland	2022-12-08	923	2023-12-21
Mexico	2022-12-08	338	2024-02-29
Austria	2022-12-12	3103	2024-01-29
Greece	2022-12-12	1138	2024-01-30
Brunei	2022-12-13	411	2023-11-15
Latvia	2022-12-16	1	2022-12-16
Finland	2022-12-30	954	2024-03-11
Slovenia	2023-01-02	841	2024-03-06
Aruba	2023-01-04	12	2023-08-16
Thailand	2023-01-04	747	2024-01-16
New Zealand	2023-01-04	1006	2024-02-07
Kuwait	2023-01-05	128	2023-11-19
Taiwan	2023-01-06	346	2023-12-11
Bangladesh	2023-01-07	11	2023-06-19
Honduras	2023-01-09	7	2023-12-02
Portugal	2023-01-09	568	2024-01-20
Jordan	2023-01-10	16	2023-09-18
Italy	2023-01-11	2460	2024-04-02
Mozambique	2023-01-12	2	2023-02-15
Estonia	2023-01-14	4	2023-01-21
Luxembourg	2023-01-16	953	2023-12-05
Argentina	2023-01-18	79	2024-02-06
Palestine	2023-01-23	17	2023-08-27
Slovakia	2023-01-24	86	2024-01-16
Philippines	2023-01-25	601	2023-12-20
Poland	2023-01-25	305	2024-02-23
Lithuania	2023-01-26	249	2023-12-27
Oman	2023-01-29	129	2023-10-23
Hungary	2023-01-30	14	2023-12-15
Romania	2023-02-03	330	2024-01-11
Uganda	2023-02-05	32	2023-12-06
Moldova	2023-02-06	6	2023-04-14
Ukraine	2023-02-06	834	2024-02-13
Iceland	2023-02-08	133	2023-12-19
Barbados	2023-02-09	6	2023-06-07
North Macedonia	2023-02-09	12	2023-11-22
Iran	2023-02-10	170	2023-09-23
Colombia	2023-02-13	183	2024-01-03
Bosnia and Herzegovina	2023-02-14	2	2023-02-21
Kosovo	2023-02-14	8	2023-03-22
Lebanon	2023-02-15	23	2023-09-29
Chile	2023-02-15	172	2024-01-20
Kenya	2023-02-16	12	2023-06-19
Montenegro	2023-02-17	19	2023-12-16
China	2023-02-19	7519	2023-12-29
Albania	2023-02-20	64	2023-08-20
Iraq	2023-02-20	16	2023-09-03
Nigeria	2023-02-23	2	2023-03-01
Morocco	2023-02-23	39	2023-11-03
Bulgaria	2023-02-24	134	2024-01-08
Ecuador	2023-02-24	64	2024-01-18
Hong Kong	2023-02-25	538	2024-01-02
Micronesia	2023-02-28	4	2023-07-03
Kazakhstan	2023-03-02	81	2023-09-23
Vietnam	2023-03-04	217	2023-11-28
Paraguay	2023-03-08	56	2024-01-04
Azerbaijan	2023-03-13	1	2023-03-13
Sint Maarten	2023-03-15	5	2023-11-16
Guatemala	2023-03-15	11	2023-12-18
Saint Lucia	2023-03-20	2	2023-05-20
Myanmar	2023-03-22	11	2023-04-28
Peru	2023-03-27	142	2024-01-05
Mongolia	2023-03-28	30	2023-06-15
Saint Martin	2023-04-03	2	2023-04-24
Costa Rica	2023-04-07	93	2024-01-08
Panama	2023-04-10	10	2023-12-01
Botswana	2023-04-12	2	2023-04-25
Eswatini	2023-04-12	8	2023-05-02
Guadeloupe	2023-04-14	8	2023-06-01
Democratic Republic of the Congo	2023-04-17	1	2023-04-17
Cambodia	2023-04-20	14	2023-11-05
Laos	2023-04-21	48	2023-09-21
Cabo Verde	2023-04-25	7	2023-09-20
Sri Lanka	2023-04-29	4	2023-05-05
Curacao	2023-05-01	9	2023-11-08
Belize	2023-05-09	1	2023-05-09
Namibia	2023-05-15	2	2023-06-08
Bermuda	2023-05-16	6	2023-08-28
Somalia	2023-05-17	1	2023-05-17
Dominican Republic	2023-05-18	228	2023-10-12
Cook Islands	2023-05-23	2	2023-05-26
Trinidad and Tobago	2023-06-19	12	2023-11-17
Guinea	2023-06-26	1	2023-06-26
Venezuela	2023-06-29	1	2023-06-29
El Salvador	2023-07-04	11	2023-11-15
Jamaica	2023-07-06	1	2023-07-06
Palau	2023-07-15	2	2023-07-17
Antigua and Barbuda	2023-07-19	1	2023-07-19
Qatar	2023-08-05	88	2023-12-02
Saint Vincent and the Grenadines	2023-08-30	2	2023-10-10
Haiti	2023-09-11	26	2023-10-27
Uruguay	2023-09-16	3	2023-11-08
Afghanistan	2023-09-26	5	2024-01-25
