	first_seq	num_seqs	last_seq
India	2022-12-21	1827	2024-01-04
USA	2022-12-21	13421	2024-06-10
Slovenia	2023-01-02	148	2024-03-06
Aruba	2023-01-04	2	2023-01-06
Thailand	2023-01-06	271	2024-01-08
France	2023-01-08	3722	2024-03-04
Australia	2023-01-08	1354	2024-03-07
Indonesia	2023-01-10	85	2023-12-18
Germany	2023-01-13	382	2024-01-25
Netherlands	2023-01-19	462	2024-02-05
United Kingdom	2023-01-20	3465	2024-04-26
Bahrain	2023-01-26	103	2023-12-10
Romania	2023-01-30	198	2024-01-15
Spain	2023-01-30	1621	2024-03-12
Chile	2023-01-31	28	2024-01-16
Canada	2023-02-01	2490	2024-02-08
Brazil	2023-02-02	240	2024-05-15
Singapore	2023-02-03	2123	2024-01-03
New Zealand	2023-02-06	300	2023-12-26
Sweden	2023-02-06	526	2024-01-09
Portugal	2023-02-06	105	2024-01-19
Switzerland	2023-02-09	174	2023-12-13
Israel	2023-02-10	245	2024-01-14
Luxembourg	2023-02-13	176	2023-11-14
Italy	2023-02-13	568	2024-03-23
Brunei	2023-02-14	74	2023-11-20
Ireland	2023-02-15	294	2024-01-24
Hong Kong	2023-02-17	135	2024-02-04
South Africa	2023-02-21	24	2024-02-19
Belgium	2023-02-22	399	2024-01-07
Oman	2023-02-27	44	2023-11-08
Norway	2023-02-27	63	2023-12-03
Austria	2023-02-27	360	2024-02-05
Japan	2023-02-27	3524	2024-02-29
Argentina	2023-02-28	49	2024-01-09
China	2023-03-02	641	2023-12-17
Croatia	2023-03-03	222	2024-01-02
South Korea	2023-03-05	3597	2023-12-16
Malaysia	2023-03-06	343	2023-12-15
Czech Republic	2023-03-06	84	2024-01-01
Albania	2023-03-07	9	2023-08-06
Taiwan	2023-03-10	89	2023-12-02
Iceland	2023-03-11	60	2023-12-21
Bhutan	2023-03-12	2	2023-06-10
Pakistan	2023-03-13	6	2023-07-03
Denmark	2023-03-15	391	2024-01-08
Russia	2023-03-15	749	2024-03-27
Finland	2023-03-17	213	2023-12-11
Colombia	2023-03-22	28	2023-11-20
Myanmar	2023-03-24	9	2024-01-02
Poland	2023-03-28	250	2024-02-28
Vietnam	2023-04-04	25	2023-11-07
Mexico	2023-04-04	82	2023-12-18
Trinidad and Tobago	2023-04-10	6	2023-08-21
Mauritius	2023-04-10	99	2023-11-29
Ukraine	2023-04-13	551	2024-06-27
Bangladesh	2023-04-16	137	2023-12-14
Philippines	2023-04-17	187	2023-12-22
Greece	2023-04-19	512	2023-12-20
Estonia	2023-04-22	40	2023-12-19
Saint Martin	2023-04-24	1	2023-04-24
Lithuania	2023-04-24	95	2023-12-24
Mongolia	2023-04-25	11	2023-06-08
Costa Rica	2023-04-25	153	2023-12-08
Iran	2023-04-26	2	2023-09-13
Uganda	2023-05-05	10	2024-04-26
Bulgaria	2023-05-09	57	2024-01-15
Laos	2023-05-13	12	2023-09-07
Bermuda	2023-05-16	5	2023-06-26
Kenya	2023-05-16	182	2024-03-19
Guatemala	2023-05-18	15	2024-01-08
Cambodia	2023-05-22	7	2023-10-30
Peru	2023-05-22	36	2023-11-17
Slovakia	2023-05-22	121	2024-01-11
Georgia	2023-05-29	32	2023-12-04
Paraguay	2023-05-30	1	2023-05-30
Honduras	2023-05-31	16	2024-01-17
Curacao	2023-06-03	13	2023-11-28
Barbados	2023-06-06	1	2023-06-06
Dominican Republic	2023-06-07	5	2023-07-08
Cyprus	2023-06-10	100	2024-01-02
Montenegro	2023-06-16	25	2024-01-07
Syria	2023-06-19	1	2023-06-19
El Salvador	2023-06-20	45	2023-08-30
Nigeria	2023-06-22	1	2023-06-22
Jamaica	2023-07-05	3	2023-09-03
Palau	2023-07-09	3	2023-07-17
Saint Lucia	2023-07-11	1	2023-07-11
Sint Maarten	2023-07-13	2	2023-10-19
Cabo Verde	2023-07-20	3	2023-08-03
Guadeloupe	2023-07-25	4	2023-09-13
Tunisia	2023-08-03	34	2023-11-30
Ecuador	2023-08-05	2	2024-01-02
Lebanon	2023-08-07	3	2023-09-18
Qatar	2023-08-08	18	2023-11-21
North Macedonia	2023-08-09	28	2024-01-16
Central African Republic	2023-08-10	1	2023-08-10
Kuwait	2023-08-10	25	2023-11-19
Palestine	2023-08-15	5	2023-09-05
Jordan	2023-08-19	2	2023-08-29
Turkey	2023-08-22	99	2024-02-13
Grenada	2023-08-25	1	2023-08-25
Morocco	2023-08-31	8	2024-01-07
Monaco	2023-09-11	1	2023-09-11
Algeria	2023-09-14	2	2023-09-16
Kazakhstan	2023-09-19	1	2023-09-19
Nepal	2023-09-29	1	2023-09-29
Madagascar	2023-10-17	2	2023-11-20
Hungary	2023-10-31	15	2024-01-02
Namibia	2023-11-07	1	2023-11-07
Afghanistan	2023-11-14	1	2023-11-14
