	first_seq	num_seqs	last_seq
Brazil	2023-03-24	2100	2023-11-29
Chile	2023-04-09	189	2023-10-25
USA	2023-04-10	3205	2023-12-11
Spain	2023-04-12	542	2023-12-04
Germany	2023-04-20	78	2023-11-28
South Korea	2023-04-22	77	2023-11-14
Finland	2023-04-27	50	2023-12-03
Peru	2023-05-05	27	2023-11-13
Guatemala	2023-05-09	3	2023-09-04
France	2023-05-09	651	2023-12-04
China	2023-05-12	16	2023-10-29
Japan	2023-05-15	1434	2023-12-01
Canada	2023-05-17	1281	2023-12-12
Italy	2023-05-20	276	2023-12-07
Sweden	2023-05-21	121	2023-11-28
Denmark	2023-05-23	130	2023-12-04
United Kingdom	2023-05-26	480	2023-12-10
Switzerland	2023-05-30	66	2023-11-27
Austria	2023-05-30	53	2023-12-01
Australia	2023-05-30	111	2023-12-06
Iceland	2023-06-06	20	2023-11-12
Portugal	2023-06-06	37	2023-11-29
Israel	2023-06-21	52	2023-11-27
Luxembourg	2023-06-22	56	2023-11-07
Colombia	2023-06-26	37	2023-11-02
Norway	2023-06-26	23	2023-12-08
Dominican Republic	2023-06-27	3	2023-08-09
Netherlands	2023-06-28	158	2023-12-10
Cabo Verde	2023-07-10	1	2023-07-10
Belgium	2023-07-11	91	2023-11-23
Paraguay	2023-07-13	9	2023-11-09
Ireland	2023-07-17	71	2023-11-15
Argentina	2023-07-20	21	2023-09-22
Greece	2023-07-24	84	2023-10-20
Singapore	2023-07-24	31	2023-12-02
Mexico	2023-08-01	6	2023-09-21
Guadeloupe	2023-08-02	1	2023-08-02
New Zealand	2023-08-04	31	2023-11-17
Kuwait	2023-08-10	1	2023-08-10
Trinidad and Tobago	2023-08-10	3	2023-08-25
Ecuador	2023-08-14	8	2023-11-21
Albania	2023-08-16	1	2023-08-16
Bermuda	2023-08-16	5	2023-08-18
Lebanon	2023-08-19	1	2023-08-19
Uruguay	2023-08-21	5	2023-09-14
Slovenia	2023-08-21	7	2023-11-17
Croatia	2023-08-22	13	2023-10-24
Taiwan	2023-08-25	9	2023-11-06
Ukraine	2023-09-02	3	2023-09-23
Georgia	2023-09-05	1	2023-09-05
Morocco	2023-09-07	1	2023-09-07
Poland	2023-09-07	11	2023-11-17
Malaysia	2023-09-12	2	2023-09-18
Bulgaria	2023-09-15	2	2023-09-30
Turkey	2023-09-20	4	2023-09-28
Russia	2023-09-20	3	2023-10-05
Thailand	2023-09-23	1	2023-09-23
Czech Republic	2023-09-27	3	2023-10-30
Curacao	2023-10-01	1	2023-10-01
South Africa	2023-10-03	1	2023-10-03
Costa Rica	2023-10-04	1	2023-10-04
Philippines	2023-10-06	1	2023-10-06
Slovakia	2023-10-25	2	2023-11-04
Sint Maarten	2023-11-12	1	2023-11-12
