	first_seq	num_seqs	last_seq
Ireland	2024-07-18	8	2024-11-15
India	2024-07-20	18	2024-10-04
USA	2024-07-29	278	2025-03-17
Canada	2024-08-04	57	2025-02-19
Portugal	2024-08-07	1	2024-08-07
Spain	2024-08-12	12	2025-02-25
United Kingdom	2024-08-14	33	2025-03-12
Australia	2024-08-14	71	2025-04-06
China	2024-08-21	4	2024-12-16
Singapore	2024-08-21	671	2025-04-07
Malaysia	2024-08-22	12	2025-01-21
Oman	2024-08-25	10	2024-12-02
Netherlands	2024-08-25	12	2025-01-31
Japan	2024-08-26	28	2025-02-03
Thailand	2024-08-30	9	2025-01-15
Mauritius	2024-09-03	12	2025-01-23
Qatar	2024-09-11	15	2025-01-08
Bahrain	2024-09-11	7	2025-01-21
France	2024-09-21	7	2025-03-10
New Zealand	2024-09-23	17	2025-03-03
Italy	2024-09-24	2	2024-09-25
Poland	2024-09-25	3	2024-11-08
Russia	2024-10-03	7	2024-12-20
Israel	2024-10-08	4	2024-12-26
Slovenia	2024-10-13	1	2024-10-13
South Africa	2024-10-14	2	2024-12-30
Denmark	2024-10-14	5	2025-01-13
Germany	2024-10-22	2	2024-12-25
Hong Kong	2024-10-22	11	2025-01-28
Indonesia	2024-10-23	8	2024-12-19
Taiwan	2024-10-23	12	2025-02-24
Philippines	2024-10-31	3	2024-11-30
Sweden	2024-11-04	4	2024-12-13
Finland	2024-11-06	2	2024-11-24
Mozambique	2024-11-25	1	2024-11-25
Brazil	2024-12-02	5	2025-01-08
Ecuador	2024-12-04	9	2025-03-02
Greece	2024-12-05	2	2024-12-13
Laos	2024-12-10	1	2024-12-10
Luxembourg	2024-12-18	4	2025-02-25
Norway	2024-12-20	1	2024-12-20
Bolivia	2024-12-25	1	2024-12-25
