	first_seq	num_seqs	last_seq
USA	2024-01-10	979	2025-01-31
South Korea	2024-08-01	38	2025-01-08
Germany	2024-08-21	6	2025-01-20
Singapore	2024-09-19	155	2025-01-21
Canada	2024-09-19	784	2025-01-29
Japan	2024-10-02	146	2025-01-20
Australia	2024-10-13	119	2025-01-24
United Kingdom	2024-10-14	76	2025-01-26
Taiwan	2024-10-14	17	2025-02-03
Ireland	2024-10-20	11	2025-01-17
Netherlands	2024-10-22	18	2025-01-20
Brazil	2024-10-22	252	2025-01-20
Spain	2024-10-22	19	2025-01-27
Philippines	2024-10-23	13	2024-12-17
New Zealand	2024-10-24	24	2025-01-10
Croatia	2024-10-28	1	2024-10-28
Denmark	2024-10-28	20	2025-01-06
Italy	2024-10-28	13	2025-01-20
Hong Kong	2024-10-29	43	2025-01-20
Chile	2024-10-31	6	2024-12-24
Qatar	2024-11-08	3	2024-12-05
France	2024-11-15	25	2025-01-25
Thailand	2024-12-05	5	2025-01-09
Norway	2024-12-07	1	2024-12-07
Slovenia	2024-12-07	3	2024-12-30
Sweden	2024-12-11	3	2025-01-22
South Africa	2024-12-14	10	2025-01-18
Israel	2024-12-14	12	2025-01-19
Finland	2024-12-16	3	2024-12-30
Luxembourg	2024-12-24	2	2024-12-28
