	first_seq	num_seqs	last_seq
USA	2022-08-15	144	2022-10-10
Australia	2022-08-16	69	2022-10-07
Singapore	2022-08-16	56	2022-10-11
South Korea	2022-08-22	50	2022-09-28
New Zealand	2022-08-27	10	2022-10-04
Luxembourg	2022-09-01	1	2022-09-01
Switzerland	2022-09-01	6	2022-10-07
Japan	2022-09-05	26	2022-09-30
Germany	2022-09-05	6	2022-10-04
Austria	2022-09-05	112	2022-10-06
Canada	2022-09-05	40	2022-10-06
Israel	2022-09-06	20	2022-10-02
Denmark	2022-09-06	55	2022-10-12
France	2022-09-10	7	2022-09-28
Netherlands	2022-09-12	6	2022-10-07
Brunei	2022-09-14	2	2022-09-20
United Kingdom	2022-09-15	11	2022-10-10
Iceland	2022-09-20	6	2022-10-10
Croatia	2022-09-26	1	2022-09-26
Turkey	2022-09-26	1	2022-09-26
Belgium	2022-09-26	5	2022-10-05
Slovenia	2022-09-30	1	2022-09-30
India	2022-10-01	1	2022-10-01
Sweden	2022-10-01	2	2022-10-06
Costa Rica	2022-10-02	1	2022-10-02
Italy	2022-10-04	3	2022-10-06
