	first_seq	num_seqs	last_seq
China	2019-10-22	3	2020-07-28
New Zealand	2020-03-03	1	2020-03-03
Curacao	2020-03-10	1	2020-03-10
United Kingdom	2020-03-12	356	2021-08-24
Australia	2020-03-23	11	2021-08-15
Spain	2020-03-25	66	2021-08-17
United Arab Emirates	2020-03-30	3	2020-05-19
USA	2020-04-14	1025	2021-08-22
Brazil	2020-04-20	25	2021-07-30
Mexico	2020-04-24	26	2021-08-02
Democratic Republic of the Congo	2020-04-30	3	2020-06-01
Denmark	2020-06-08	1655	2021-08-22
South Korea	2020-06-22	3	2021-05-30
India	2020-06-26	30	2021-07-03
Italy	2020-07-07	87	2021-08-10
Japan	2020-07-09	1136	2021-06-09
Nigeria	2020-07-09	2	2020-12-19
Bangladesh	2020-07-12	7	2021-07-15
Zambia	2020-07-17	2	2020-07-26
South Africa	2020-08-04	10	2021-06-21
Colombia	2020-09-02	4	2021-05-03
Germany	2020-09-22	156	2021-08-16
Finland	2020-10-09	10	2021-08-06
France	2020-10-09	46	2021-07-17
Switzerland	2020-10-14	62	2021-07-30
Slovenia	2020-10-17	8	2021-06-11
Belgium	2020-10-20	22	2021-08-17
Canada	2020-10-22	282	2021-06-21
Netherlands	2020-11-13	37	2021-07-23
Portugal	2020-11-13	6	2021-06-11
Singapore	2020-11-27	3	2021-03-23
Indonesia	2020-12-03	3	2021-07-03
Republic of the Congo	2020-12-05	2	2020-12-09
Luxembourg	2020-12-10	12	2021-05-05
Pakistan	2020-12-10	1	2020-12-10
Turkey	2020-12-12	46	2021-08-08
Chile	2020-12-21	7	2021-07-12
Burkina Faso	2020-12-30	2	2021-01-11
Israel	2021-01-07	110	2021-07-15
Ghana	2021-01-07	2	2021-01-10
Czech Republic	2021-01-08	3	2021-03-11
Zimbabwe	2021-01-11	1	2021-01-11
Norway	2021-01-12	10	2021-07-22
Sweden	2021-01-17	25	2021-08-20
Mozambique	2021-01-19	1	2021-01-19
Cameroon	2021-01-27	1	2021-01-27
Angola	2021-02-13	3	2021-02-13
Ireland	2021-02-16	35	2021-06-24
Greece	2021-02-24	1	2021-02-24
Croatia	2021-03-09	2	2021-06-28
Poland	2021-03-15	24	2021-06-08
Russia	2021-03-17	3	2021-03-26
Estonia	2021-03-18	4	2021-05-06
Kenya	2021-03-31	13	2021-07-01
Jamaica	2021-03-31	1	2021-03-31
Slovakia	2021-04-01	1	2021-04-01
Qatar	2021-04-14	1	2021-04-14
Lithuania	2021-04-23	2	2021-06-15
Ecuador	2021-05-04	5	2021-07-14
Latvia	2021-05-07	4	2021-05-16
Dominican Republic	2021-05-21	1	2021-05-21
Peru	2021-05-22	6	2021-06-26
Argentina	2021-06-24	2	2021-07-26
Kuwait	2021-07-01	2	2021-07-01
Georgia	2021-07-11	1	2021-07-11
Suriname	2021-07-12	1	2021-07-12
Botswana	2021-07-23	1	2021-07-23
Armenia	2021-07-31	1	2021-07-31
