	first_seq	num_seqs	last_seq
Turkey	2021-03-09	367	2021-11-26
Italy	2021-03-16	208	2021-11-29
Slovakia	2021-04-09	8	2021-10-18
Israel	2021-05-06	65	2021-11-11
Sweden	2021-06-02	1659	2021-12-02
Switzerland	2021-06-07	265	2021-11-28
Belgium	2021-06-09	1421	2021-12-05
Japan	2021-06-11	7	2021-11-21
USA	2021-06-11	826	2021-11-30
Iraq	2021-06-13	6	2021-11-11
Jordan	2021-06-16	4	2021-10-30
Netherlands	2021-06-17	759	2021-12-03
Sri Lanka	2021-06-19	3	2021-11-18
Germany	2021-06-20	2762	2021-12-02
Morocco	2021-06-20	52	2021-10-23
Denmark	2021-06-21	3078	2021-12-05
France	2021-06-21	1440	2021-11-29
United Kingdom	2021-06-22	740	2021-12-04
Ghana	2021-06-23	3	2021-08-09
Norway	2021-06-25	242	2021-12-02
Lebanon	2021-06-25	12	2021-07-14
Finland	2021-07-04	164	2021-11-21
Canada	2021-07-04	153	2021-10-20
South Korea	2021-07-06	41	2021-10-21
Austria	2021-07-08	41	2021-11-01
Spain	2021-07-14	371	2021-11-22
India	2021-07-14	4	2021-09-09
Australia	2021-07-14	3	2021-08-22
Benin	2021-07-18	1	2021-07-18
Luxembourg	2021-07-19	77	2021-11-27
Bulgaria	2021-07-22	4	2021-09-09
Croatia	2021-07-22	4	2021-11-09
Bahrain	2021-07-23	195	2021-11-13
Lithuania	2021-07-26	35	2021-11-05
Iceland	2021-07-27	5	2021-08-12
Ireland	2021-07-27	48	2021-11-21
Argentina	2021-08-03	2	2021-08-24
Czech Republic	2021-08-03	10	2021-09-25
Romania	2021-08-04	5	2021-11-13
Poland	2021-08-04	286	2021-11-27
Latvia	2021-08-10	1	2021-08-10
Slovenia	2021-08-11	8	2021-11-05
Qatar	2021-08-12	38	2021-11-02
Estonia	2021-08-12	53	2021-11-09
Portugal	2021-08-16	20	2021-11-27
Curacao	2021-08-18	5	2021-11-06
Singapore	2021-08-18	1	2021-08-18
Kuwait	2021-08-19	2	2021-08-19
Chile	2021-08-23	2	2021-10-15
Hong Kong	2021-08-26	1	2021-08-26
Iran	2021-08-29	1	2021-08-29
Montenegro	2021-08-30	1	2021-08-30
Mexico	2021-09-13	3	2021-09-23
Indonesia	2021-09-21	2	2021-09-25
Russia	2021-09-21	1	2021-09-21
Georgia	2021-10-01	2	2021-10-15
Kosovo	2021-10-12	2	2021-10-16
New Zealand	2021-10-15	1	2021-10-15
North Macedonia	2021-11-05	2	2021-11-05
Malaysia	2021-11-13	1	2021-11-13
