	first_seq	num_seqs	last_seq
Netherlands	2021-01-11	418	2022-01-16
Senegal	2021-04-02	563	2021-10-25
Gambia	2021-04-08	247	2021-10-20
Belgium	2021-06-04	869	2022-01-14
Italy	2021-06-23	323	2022-01-10
Austria	2021-06-23	185	2021-12-31
USA	2021-06-28	1912	2022-01-11
Germany	2021-06-28	1813	2022-01-26
France	2021-06-29	3619	2022-01-22
Togo	2021-06-29	4	2021-07-31
United Kingdom	2021-07-04	3762	2022-01-23
Lebanon	2021-07-06	3	2021-07-08
Japan	2021-07-06	27	2021-10-14
Croatia	2021-07-09	19	2022-01-10
Switzerland	2021-07-09	448	2022-01-05
Brazil	2021-07-12	1729	2022-01-07
Cabo Verde	2021-07-12	32	2021-09-02
Ireland	2021-07-12	174	2021-12-14
Australia	2021-07-12	2	2021-11-30
India	2021-07-13	4	2021-11-25
Spain	2021-07-14	568	2022-01-31
Bulgaria	2021-07-16	1	2021-07-16
Denmark	2021-07-16	326	2022-01-06
Canada	2021-07-16	72	2021-12-29
Lithuania	2021-07-18	29	2021-12-04
Benin	2021-07-18	4	2021-08-13
Ghana	2021-07-19	6	2021-09-27
Estonia	2021-07-21	1	2021-07-21
Czech Republic	2021-07-22	32	2021-12-03
Bosnia and Herzegovina	2021-07-22	1	2021-07-22
Slovakia	2021-07-23	15	2021-12-29
Iceland	2021-07-23	8	2021-08-15
Israel	2021-07-23	9	2021-12-21
Sweden	2021-07-24	380	2021-12-05
Portugal	2021-07-26	90	2022-01-03
South Korea	2021-07-26	5	2021-11-24
Guadeloupe	2021-07-27	5	2021-11-09
Republic of the Congo	2021-07-27	6	2021-10-25
Kosovo	2021-07-28	6	2021-11-20
Finland	2021-07-31	166	2021-12-27
Norway	2021-07-31	8	2021-12-31
Luxembourg	2021-08-02	12	2021-10-22
Romania	2021-08-04	23	2021-12-24
Egypt	2021-08-04	1	2021-08-04
Democratic Republic of the Congo	2021-08-04	3	2021-11-02
Colombia	2021-08-04	8	2021-12-01
Latvia	2021-08-05	1	2021-08-05
Mali	2021-08-11	2	2021-08-11
Slovenia	2021-08-13	38	2022-01-03
Saint Lucia	2021-08-14	7	2021-09-14
Turkey	2021-08-20	11	2021-12-13
Cameroon	2021-08-21	30	2021-11-29
Poland	2021-08-24	22	2022-01-18
Gabon	2021-08-26	55	2021-09-30
Chile	2021-08-30	195	2022-01-11
Greece	2021-09-06	9	2021-11-30
Peru	2021-09-08	138	2022-01-06
Jordan	2021-09-11	1	2021-09-11
Saint Vincent and the Grenadines	2021-09-13	1	2021-09-13
Tunisia	2021-09-14	1	2021-09-14
Suriname	2021-09-29	1	2021-09-29
Mauritius	2021-10-01	1	2021-10-01
Dominican Republic	2021-10-14	2	2021-10-16
Côte d'Ivoire	2021-10-21	1	2021-10-21
Indonesia	2021-10-24	1	2021-10-24
Ukraine	2021-10-25	1	2021-10-25
Paraguay	2021-10-25	1	2021-10-25
Costa Rica	2021-10-25	1	2021-10-25
Liechtenstein	2021-11-06	2	2021-11-20
Montenegro	2021-11-06	6	2021-12-10
Morocco	2021-11-18	1	2021-11-18
Qatar	2021-11-18	1	2021-11-18
Nigeria	2021-11-25	1	2021-11-25
Mexico	2021-11-25	2	2021-12-23
Curacao	2021-11-27	1	2021-11-27
Ecuador	2021-11-29	1	2021-11-29
Saint Martin	2021-12-02	1	2021-12-02
Singapore	2021-12-05	2	2021-12-05
Malta	2021-12-19	1	2021-12-19
Thailand	2021-12-20	2	2021-12-20
Argentina	2021-12-20	3	2021-12-22
