	first_seq	num_seqs	last_seq
Canada	2020-03-10	303591	2023-02-07
Germany	2020-03-15	609444	2023-02-06
United Kingdom	2020-03-26	1560589	2023-02-04
United Arab Emirates	2020-04-20	1058	2022-07-10
USA	2020-05-02	2274170	2023-02-07
Senegal	2020-05-08	1055	2022-09-14
Spain	2020-05-12	114216	2023-02-05
Pakistan	2020-05-24	2672	2023-01-18
Democratic Republic of the Congo	2020-06-02	214	2022-10-07
Colombia	2020-06-03	9448	2023-01-25
India	2020-06-10	51758	2023-01-29
Brazil	2020-06-15	135840	2023-01-20
Madagascar	2020-07-13	357	2022-02-25
Australia	2020-07-29	114997	2023-02-05
Indonesia	2020-08-06	31429	2023-01-31
Zambia	2020-08-14	543	2022-08-03
South Africa	2020-08-19	26439	2023-01-31
Mozambique	2020-08-26	483	2022-08-18
Peru	2020-09-04	34481	2023-01-17
Nigeria	2020-09-21	1808	2022-10-24
Kenya	2020-09-21	4906	2022-12-20
Angola	2020-09-24	362	2022-10-24
Sweden	2020-10-08	134333	2023-01-30
Romania	2020-10-11	10191	2023-01-23
Iran	2020-10-14	1468	2023-01-07
France	2020-10-27	339336	2023-02-02
Luxembourg	2020-11-06	38989	2023-01-29
Argentina	2020-11-08	9953	2023-01-24
Russia	2020-11-09	33960	2023-01-08
Portugal	2020-11-09	25589	2023-01-24
Switzerland	2020-11-09	68304	2023-01-29
Denmark	2020-11-09	400429	2023-02-03
Ireland	2020-11-09	48978	2023-02-06
Taiwan	2020-11-10	2493	2023-01-26
Ghana	2020-11-11	1980	2023-01-02
Netherlands	2020-11-12	98428	2023-02-04
Zimbabwe	2020-11-15	491	2022-11-02
Mexico	2020-11-20	41894	2023-01-24
Botswana	2020-11-21	178	2022-11-24
Eswatini	2020-11-23	598	2022-08-17
Austria	2020-11-23	46625	2023-02-01
Malawi	2020-11-25	615	2022-07-30
Lesotho	2020-11-26	114	2023-01-06
Slovenia	2020-11-27	34029	2023-01-28
Slovakia	2020-11-30	26606	2023-01-10
Belgium	2020-11-30	109820	2023-02-06
