	first_seq	num_seqs	last_seq
South Africa	2021-07-28	82	2021-11-25
Botswana	2021-11-11	21	2021-11-26
Hong Kong	2021-11-13	7	2021-11-21
Belgium	2021-11-20	6	2021-11-30
Israel	2021-11-20	2	2021-11-28
India	2021-11-20	1	2021-11-20
Ghana	2021-11-21	33	2021-11-26
USA	2021-11-22	9	2021-11-30
Canada	2021-11-23	8	2021-11-29
Denmark	2021-11-23	2	2021-11-26
Sri Lanka	2021-11-24	1	2021-11-24
Luxembourg	2021-11-24	1	2021-11-24
South Korea	2021-11-24	3	2021-11-29
Brazil	2021-11-25	2	2021-11-25
Ireland	2021-11-25	1	2021-11-25
Netherlands	2021-11-26	12	2021-12-01
France	2021-11-26	3	2021-11-28
Austria	2021-11-26	10	2021-11-30
Switzerland	2021-11-26	1	2021-11-26
Japan	2021-11-27	2	2021-11-28
Norway	2021-11-27	2	2021-11-29
Portugal	2021-11-27	13	2021-11-27
Australia	2021-11-27	8	2021-12-01
Italy	2021-11-28	3	2021-11-28
Germany	2021-11-29	3	2021-12-02
Mexico	2021-11-29	1	2021-11-29
Singapore	2021-12-02	2	2021-12-02
