	first_seq	num_seqs	last_seq
South Africa	2021-10-20	23901	2023-12-20
USA	2021-10-23	2389572	2024-02-09
India	2021-10-25	87233	2024-01-04
Kenya	2021-10-26	4462	2024-01-08
Cameroon	2021-10-29	1068	2023-02-07
Brazil	2021-10-31	108787	2024-01-29
Argentina	2021-11-01	8164	2024-01-08
United Kingdom	2021-11-02	1413332	2024-02-05
Austria	2021-11-04	58453	2024-01-29
France	2021-11-05	342803	2024-01-29
Malaysia	2021-11-08	30237	2024-01-07
United Arab Emirates	2021-11-10	635	2022-07-10
Ghana	2021-11-10	1442	2023-08-18
Botswana	2021-11-11	1940	2023-08-24
Lesotho	2021-11-12	93	2023-01-06
Hong Kong	2021-11-13	13469	2023-12-20
Netherlands	2021-11-13	79240	2024-01-31
Czech Republic	2021-11-16	32129	2023-12-28
Mexico	2021-11-16	43197	2024-01-05
Italy	2021-11-16	80786	2024-02-03
Germany	2021-11-17	552785	2024-01-30
Macao	2021-11-18	1	2021-11-18
Nigeria	2021-11-18	1550	2024-01-08
Democratic Republic of the Congo	2021-11-19	161	2023-05-06
Belgium	2021-11-19	94322	2024-01-10
Portugal	2021-11-19	23620	2024-01-20
Sweden	2021-11-19	114392	2024-02-13
Philippines	2021-11-20	13685	2023-12-06
Israel	2021-11-20	96977	2024-02-03
Switzerland	2021-11-21	52980	2024-01-15
Canada	2021-11-21	334493	2024-02-07
Denmark	2021-11-22	361437	2024-01-29
Eswatini	2021-11-23	576	2023-01-11
Uganda	2021-11-23	567	2023-07-14
Finland	2021-11-23	24454	2024-01-29
Sierra Leone	2021-11-24	1	2021-11-24
Sri Lanka	2021-11-24	902	2023-05-08
Mauritius	2021-11-24	4526	2023-11-29
Norway	2021-11-24	35363	2024-01-04
South Korea	2021-11-24	111496	2024-01-24
Thailand	2021-11-24	23438	2024-01-24
Angola	2021-11-25	113	2022-10-24
Nepal	2021-11-25	764	2023-09-29
Senegal	2021-11-25	735	2023-11-07
Ireland	2021-11-25	55941	2024-01-28
Chile	2021-11-25	19929	2024-01-29
Spain	2021-11-25	114046	2024-02-08
Zimbabwe	2021-11-26	284	2023-01-26
Iran	2021-11-26	1804	2023-09-23
Mozambique	2021-11-26	457	2023-12-07
Australia	2021-11-26	140696	2024-02-02
Iraq	2021-11-27	285	2023-09-12
Qatar	2021-11-27	1559	2023-12-02
Japan	2021-11-27	445727	2024-02-01
Peru	2021-11-28	36626	2024-01-08
Seychelles	2021-11-29	471	2022-09-30
Republic of the Congo	2021-11-29	84	2022-10-04
Greece	2021-11-29	23425	2024-01-05
Indonesia	2021-11-29	36311	2024-01-20
Zambia	2021-11-30	391	2023-01-30
Algeria	2021-11-30	576	2023-05-23
Myanmar	2021-11-30	127	2023-12-19
Egypt	2021-12-01	1648	2023-06-05
Oman	2021-12-01	394	2023-12-04
Romania	2021-12-01	10449	2023-12-11
Iceland	2021-12-01	10521	2023-12-21
Slovakia	2021-12-01	24930	2024-01-16
Maldives	2021-12-02	314	2022-04-27
