	first_seq	num_seqs	last_seq
Cambodia	2010-12-06	2	2010-12-06
China	2019-06-25	1	2019-06-25
United Kingdom	2020-04-16	137	2021-02-01
Canada	2020-04-18	3	2021-01-20
Germany	2020-04-19	13	2021-01-15
Israel	2020-04-21	8	2021-01-15
USA	2020-05-20	82	2021-02-01
Brazil	2020-06-26	82	2021-02-03
Mozambique	2020-08-24	43	2021-01-22
Georgia	2020-09-02	1	2020-09-02
South Africa	2020-10-08	661	2021-01-19
Slovenia	2020-10-26	1	2020-10-26
Denmark	2020-11-02	10	2021-02-01
Russia	2020-11-06	1	2020-11-06
Norway	2020-11-19	3	2020-12-27
Zambia	2020-12-01	31	2021-01-18
Switzerland	2020-12-14	53	2021-02-04
Botswana	2020-12-17	28	2021-01-22
Finland	2020-12-19	2	2020-12-28
Belgium	2020-12-20	72	2021-02-06
Ireland	2020-12-22	10	2021-01-14
France	2020-12-22	59	2021-02-02
Netherlands	2020-12-22	33	2021-01-25
Sweden	2020-12-24	1	2020-12-24
Spain	2020-12-24	2	2021-01-19
South Korea	2020-12-26	2	2021-01-10
United Arab Emirates	2020-12-26	6	2021-01-12
Australia	2020-12-26	12	2021-01-27
Japan	2021-01-02	4	2021-01-02
Colombia	2021-01-04	6	2021-01-22
Ghana	2021-01-06	1	2021-01-06
Zimbabwe	2021-01-06	2	2021-01-09
Portugal	2021-01-06	1	2021-01-06
New Zealand	2021-01-06	2	2021-01-08
Panama	2021-01-11	1	2021-01-11
Austria	2021-01-15	1	2021-01-15
Luxembourg	2021-01-16	2	2021-01-18
Italy	2021-01-18	3	2021-01-18
Democratic Republic of the Congo	2021-01-22	1	2021-01-22
Turkey	2021-01-22	3	2021-01-30
Kenya	2021-01-22	2	2021-01-28
Bangladesh	2021-01-24	1	2021-01-24
Peru	2021-01-28	1	2021-01-28
Thailand	2021-02-03	1	2021-02-03
Singapore	2021-02-07	1	2021-02-07
