	first_seq	num_seqs	last_seq
Switzerland	2020-07-16	76	2020-12-23
Austria	2020-07-22	1	2020-07-22
United Kingdom	2020-07-22	284	2021-09-13
France	2020-07-24	209	2021-09-17
Denmark	2020-08-03	63	2020-09-28
Norway	2020-08-04	111	2020-11-02
Slovenia	2020-08-05	6	2020-08-28
Germany	2020-08-12	45	2021-02-15
Ireland	2020-08-12	13	2020-10-18
Belgium	2020-08-18	8	2020-09-20
Italy	2020-08-21	62	2021-02-10
Netherlands	2020-08-24	26	2020-12-11
Iceland	2020-08-25	1	2020-08-25
Canada	2020-08-31	1	2020-08-31
Greece	2020-09-12	1	2020-09-12
Singapore	2020-10-10	1	2020-10-10
Taiwan	2020-11-01	1	2020-11-01
Spain	2020-11-06	3	2021-02-15
Portugal	2020-11-10	9	2021-02-09
Egypt	2020-11-17	1	2020-11-17
India	2021-09-14	1	2021-09-14
