	first_seq	num_seqs	last_seq
China	2019-10-22	15	2021-07-12
Sierra Leone	2020-01-14	23	2021-03-30
Japan	2020-02-01	8194	2022-01-14
India	2020-03-01	8982	2022-02-01
Denmark	2020-03-09	2903	2022-02-15
Canada	2020-03-10	17700	2022-01-04
USA	2020-03-15	74661	2022-02-09
Switzerland	2020-03-21	1667	2022-02-12
Spain	2020-03-31	4353	2022-02-08
Madagascar	2020-04-01	222	2021-07-18
Chile	2020-04-05	5334	2021-12-26
Senegal	2020-04-08	488	2021-12-13
Guinea	2020-04-10	46	2022-01-07
France	2020-04-13	9848	2022-02-07
Brazil	2020-04-13	49485	2022-02-08
United Kingdom	2020-04-30	4868	2022-02-19
Sweden	2020-05-19	3768	2022-02-14
Colombia	2020-06-03	5530	2022-01-11
Italy	2020-06-15	3619	2022-02-05
Australia	2020-06-26	265	2022-01-14
South Africa	2020-06-29	6606	2021-12-20
Laos	2020-07-10	1	2020-07-10
Côte d'Ivoire	2020-07-15	240	2021-12-06
Germany	2020-07-16	5829	2022-02-12
Nigeria	2020-07-17	658	2021-12-21
Belarus	2020-07-28	2	2021-03-22
Russia	2020-08-11	746	2022-01-06
Zambia	2020-08-14	243	2021-06-04
Mexico	2020-08-18	3333	2022-01-14
Argentina	2020-08-22	2895	2021-12-28
Mozambique	2020-08-22	383	2021-10-07
Angola	2020-08-25	494	2021-07-29
United Arab Emirates	2020-08-28	54	2021-04-27
Peru	2020-08-28	2541	2022-02-14
Zimbabwe	2020-09-01	245	2021-08-17
Bolivia	2020-09-03	83	2021-09-22
Dominican Republic	2020-09-14	281	2021-12-27
Gambia	2020-09-22	21	2021-11-11
Latvia	2020-09-28	36	2022-01-06
Ghana	2020-09-30	469	2021-12-09
Kenya	2020-09-30	266	2021-12-01
Guatemala	2020-10-01	68	2021-10-06
Bahrain	2020-10-14	52	2021-11-11
Bangladesh	2020-11-04	507	2022-02-08
Indonesia	2020-11-04	158	2022-02-03
Netherlands	2020-11-07	1735	2022-01-10
Uganda	2020-11-09	76	2021-11-29
Belgium	2020-11-10	3721	2022-01-26
Eswatini	2020-11-13	68	2021-11-28
Botswana	2020-11-21	242	2021-10-26
Romania	2020-11-21	48	2021-12-06
Malawi	2020-11-25	304	2021-06-21
Pakistan	2020-11-26	98	2022-01-09
Ireland	2020-11-28	759	2021-12-14
Malaysia	2020-12-01	317	2021-12-29
Mauritius	2020-12-06	389	2021-11-09
Suriname	2020-12-13	472	2021-09-14
Singapore	2020-12-14	305	2022-01-05
Norway	2020-12-14	749	2022-01-05
Portugal	2020-12-15	487	2022-01-04
Burkina Faso	2020-12-16	41	2021-11-08
Lesotho	2020-12-16	15	2021-01-18
Israel	2020-12-17	324	2021-12-31
Philippines	2020-12-17	3295	2021-08-30
Finland	2020-12-19	1331	2022-01-23
Austria	2020-12-23	739	2022-01-04
Kuwait	2020-12-26	9	2021-06-05
South Korea	2020-12-26	2041	2022-01-21
Hong Kong	2020-12-27	114	2021-12-08
New Zealand	2020-12-29	39	2021-06-30
Qatar	2020-12-29	199	2021-11-25
Venezuela	2021-01-01	103	2022-01-06
Egypt	2021-01-03	22	2021-12-13
Ecuador	2021-01-04	984	2021-11-17
Cameroon	2021-01-05	123	2021-11-26
Ukraine	2021-01-05	12	2022-01-22
Uruguay	2021-01-05	148	2021-04-14
Jordan	2021-01-07	26	2021-12-31
Luxembourg	2021-01-08	2191	2022-01-19
South Sudan	2021-01-08	48	2021-05-26
Rwanda	2021-01-11	56	2021-07-07
Panama	2021-01-11	59	2021-04-30
Lebanon	2021-01-12	2	2021-07-15
Equatorial Guinea	2021-01-12	44	2021-08-27
Greece	2021-01-14	941	2021-12-11
Guyana	2021-01-18	7	2021-09-07
Slovenia	2021-01-19	128	2022-01-12
Georgia	2021-01-21	7	2022-01-12
Turkey	2021-01-22	2235	2021-12-30
Democratic Republic of the Congo	2021-01-22	25	2021-11-10
Costa Rica	2021-01-24	313	2022-01-03
Togo	2021-01-25	113	2021-06-30
Cabo Verde	2021-01-25	74	2021-08-28
Poland	2021-01-25	189	2022-01-27
Antigua and Barbuda	2021-01-26	7	2021-07-22
Oman	2021-01-27	12	2021-07-06
Aruba	2021-01-28	322	2021-08-27
Taiwan	2021-01-28	10	2021-07-07
Mali	2021-01-29	33	2021-08-30
Benin	2021-01-30	458	2021-08-25
Paraguay	2021-01-30	369	2021-12-21
Gabon	2021-02-01	135	2021-07-22
Croatia	2021-02-03	83	2021-12-30
Tunisia	2021-02-03	15	2021-06-29
Thailand	2021-02-03	173	2022-02-09
Seychelles	2021-02-05	25	2021-05-25
Slovakia	2021-02-08	100	2022-01-21
Czech Republic	2021-02-11	202	2021-12-31
Central African Republic	2021-02-12	32	2021-04-26
Sint Maarten	2021-02-16	25	2021-08-03
Sri Lanka	2021-02-16	25	2021-12-01
Trinidad and Tobago	2021-02-17	1224	2021-11-24
Estonia	2021-02-17	66	2022-01-11
Libya	2021-02-18	39	2021-06-07
