	first_seq	num_seqs	last_seq
France	2020-01-23	1489	2021-08-30
China	2020-01-26	9	2021-06-15
South Korea	2020-02-21	22	2021-07-26
USA	2020-03-01	26923	2021-09-04
United Kingdom	2020-03-13	2064	2021-09-03
Brazil	2020-03-17	23311	2021-09-01
Taiwan	2020-03-19	5	2021-01-28
Israel	2020-03-24	62	2021-07-06
Portugal	2020-04-02	224	2021-08-17
Romania	2020-04-09	22	2021-06-16
Belize	2020-04-09	1	2020-04-09
Sweden	2020-04-13	579	2021-08-19
Denmark	2020-04-13	168	2021-08-29
Guinea	2020-04-17	3	2020-10-20
Indonesia	2020-04-17	19	2021-07-06
Senegal	2020-04-20	5	2020-12-19
Turkey	2020-04-26	234	2021-08-24
Japan	2020-05-01	196	2021-08-20
Netherlands	2020-05-07	649	2021-08-24
India	2020-05-11	77	2021-08-11
Canada	2020-05-15	11786	2021-08-23
United Arab Emirates	2020-05-15	5	2020-12-27
Russia	2020-05-24	125	2021-07-06
Qatar	2020-05-26	7	2021-06-06
Iran	2020-06-01	2	2020-06-15
South Africa	2020-06-11	193	2021-08-17
Egypt	2020-06-29	23	2021-07-08
Panama	2020-07-02	16	2021-02-28
Peru	2020-07-09	691	2021-07-27
Bangladesh	2020-07-12	3	2021-02-18
Mexico	2020-07-20	2761	2021-09-03
Italy	2020-07-21	2410	2021-08-26
Australia	2020-07-31	25	2021-09-01
Argentina	2020-08-01	1198	2021-08-20
Nigeria	2020-08-06	7	2021-01-13
Gambia	2020-08-21	6	2021-01-12
Armenia	2020-09-03	1	2020-09-03
Estonia	2020-09-23	7	2021-03-23
Rwanda	2020-10-17	3	2020-12-17
Czech Republic	2020-11-04	28	2021-08-02
Ghana	2020-11-06	4	2021-03-24
Spain	2020-11-07	1171	2021-08-30
Switzerland	2020-11-10	343	2021-08-16
Kenya	2020-11-17	4	2021-07-26
Malawi	2020-11-25	1	2020-11-25
Lithuania	2020-12-03	13	2021-08-06
Philippines	2020-12-05	14	2021-03-11
Germany	2020-12-07	1234	2021-09-02
Ecuador	2020-12-10	181	2021-08-15
Poland	2020-12-15	49	2021-08-04
Colombia	2020-12-18	545	2021-08-04
Togo	2020-12-21	23	2021-03-09
Burkina Faso	2020-12-22	14	2021-02-09
Niger	2020-12-24	1	2020-12-24
Venezuela	2021-01-01	17	2021-05-26
Jordan	2021-01-02	18	2021-04-28
Cameroon	2021-01-04	2	2021-01-21
Oman	2021-01-04	3	2021-03-01
Malaysia	2021-01-05	1	2021-01-05
Ireland	2021-01-07	48	2021-08-12
Chile	2021-01-08	3781	2021-09-03
Belgium	2021-01-11	2029	2021-08-30
Côte d'Ivoire	2021-01-19	25	2021-04-20
Angola	2021-01-20	5	2021-03-22
Costa Rica	2021-01-22	136	2021-08-16
Norway	2021-01-22	34	2021-08-02
Slovenia	2021-01-25	56	2021-07-06
Benin	2021-01-31	1	2021-01-31
Luxembourg	2021-02-01	1049	2021-07-31
Tunisia	2021-02-02	7	2021-03-03
Saudi Arabia	2021-02-08	5	2021-04-16
Paraguay	2021-02-13	65	2021-05-04
Bahrain	2021-02-14	4	2021-07-24
Aruba	2021-02-15	123	2021-08-17
Suriname	2021-02-22	358	2021-08-17
Uruguay	2021-02-23	174	2021-04-15
Austria	2021-02-25	43	2021-08-07
Croatia	2021-02-26	11	2021-06-29
Finland	2021-03-02	34	2021-08-10
New Zealand	2021-03-06	8	2021-06-30
Gabon	2021-03-08	1	2021-03-08
Dominican Republic	2021-03-09	65	2021-06-11
Greece	2021-03-12	15	2021-06-17
Latvia	2021-03-15	12	2021-05-25
Bolivia	2021-03-19	18	2021-06-02
Iceland	2021-03-20	19	2021-08-03
Slovakia	2021-04-01	4	2021-07-14
Singapore	2021-04-04	13	2021-06-22
Thailand	2021-04-05	2	2021-05-23
Mali	2021-04-05	1	2021-04-05
Palestine	2021-04-09	1	2021-04-09
Guatemala	2021-04-11	25	2021-08-03
Malta	2021-04-18	32	2021-06-22
Curacao	2021-04-24	14	2021-06-28
Trinidad and Tobago	2021-05-03	150	2021-08-12
Bulgaria	2021-05-12	1	2021-05-12
Haiti	2021-05-15	56	2021-08-07
Pakistan	2021-05-17	1	2021-05-17
Honduras	2021-05-19	2	2021-05-19
Algeria	2021-06-14	1	2021-06-14
Sri Lanka	2021-06-16	5	2021-08-20
Guyana	2021-06-18	3	2021-06-21
Barbados	2021-06-18	4	2021-07-22
Mauritius	2021-06-24	1	2021-06-24
Bosnia and Herzegovina	2021-06-28	2	2021-06-28
Bonaire	2021-07-07	1	2021-07-07
Sint Maarten	2021-07-22	1	2021-07-22
Antigua and Barbuda	2021-07-22	3	2021-07-22
Zimbabwe	2021-07-26	1	2021-07-26
Montenegro	2021-07-27	3	2021-08-01
Botswana	2021-07-30	1	2021-07-30
