	first_seq	num_seqs	last_seq
Thailand	2020-01-05	11125	2023-05-15
Malaysia	2020-01-24	9906	2023-05-16
Germany	2020-02-15	406588	2023-05-27
South Korea	2020-03-02	42926	2023-06-01
Slovenia	2020-03-07	36872	2023-05-09
Italy	2020-03-15	73697	2023-06-09
Turkey	2020-03-17	14016	2023-01-30
Taiwan	2020-03-18	523	2023-05-12
France	2020-03-23	222968	2023-05-30
Sweden	2020-03-29	127304	2023-06-09
USA	2020-04-17	1762435	2023-06-06
Russia	2020-04-19	31517	2023-05-02
United Kingdom	2020-04-20	1063784	2023-05-16
Saudi Arabia	2020-04-21	406	2023-01-03
Denmark	2020-04-28	199732	2023-05-25
Senegal	2020-05-10	998	2022-10-02
Australia	2020-05-12	62053	2023-05-27
Brazil	2020-05-18	78228	2023-05-26
India	2020-05-20	10243	2023-04-22
Togo	2020-05-23	221	2022-11-07
Gabon	2020-05-27	180	2022-06-29
Colombia	2020-06-03	6340	2023-02-25
Côte d'Ivoire	2020-06-10	365	2023-02-21
South Africa	2020-07-02	16551	2023-05-02
Mexico	2020-07-20	31510	2023-03-29
Switzerland	2020-08-01	55330	2023-06-01
Guinea	2020-08-09	240	2022-10-13
Slovakia	2020-08-11	16100	2023-03-23
Burkina Faso	2020-08-12	15	2022-08-21
Czech Republic	2020-08-14	24808	2023-04-12
Iceland	2020-08-15	3313	2023-03-29
Japan	2020-08-20	359351	2023-05-26
Kenya	2020-08-24	4570	2023-02-17
Croatia	2020-08-24	21469	2023-05-12
New Zealand	2020-08-24	13843	2023-05-16
Nigeria	2020-08-26	1996	2023-01-27
Uganda	2020-08-26	400	2023-02-10
Austria	2020-08-29	33874	2023-05-15
Canada	2020-09-01	226263	2023-06-08
Hungary	2020-09-02	331	2023-02-07
Norway	2020-09-09	32637	2023-05-05
Estonia	2020-09-13	6355	2022-10-12
Spain	2020-09-19	92134	2023-05-31
Cyprus	2020-09-21	1605	2022-03-31
Greece	2020-09-25	17741	2023-04-07
United Arab Emirates	2020-10-01	1032	2022-07-10
Netherlands	2020-10-01	77881	2023-06-03
Bangladesh	2020-10-07	834	2023-01-10
Poland	2020-10-08	44531	2023-05-11
Romania	2020-10-11	7189	2023-04-14
Serbia	2020-10-13	1185	2023-02-02
Iran	2020-10-14	789	2023-03-08
Luxembourg	2020-10-19	27072	2023-05-12
Azerbaijan	2020-10-20	21	2022-02-21
Liechtenstein	2020-10-23	583	2022-12-30
Belgium	2020-10-27	73628	2023-05-08
Lithuania	2020-10-30	14418	2023-03-20
Argentina	2020-11-04	6574	2023-03-23
Mauritius	2020-11-06	1656	2023-03-10
Portugal	2020-11-09	19050	2023-05-19
Georgia	2020-11-14	1384	2023-02-23
Ghana	2020-11-20	1695	2023-01-02
Bosnia and Herzegovina	2020-11-20	234	2023-02-26
Malawi	2020-11-25	220	2023-01-19
Finland	2020-11-30	19845	2023-05-16
Belarus	2020-12-01	13	2021-09-17
Zambia	2020-12-01	251	2023-01-17
Hong Kong	2020-12-07	4332	2023-04-26
Philippines	2020-12-08	6664	2023-02-01
Singapore	2020-12-08	8445	2023-06-14
Albania	2020-12-10	725	2022-07-15
Angola	2020-12-11	222	2022-10-24
Bulgaria	2020-12-13	8264	2023-04-05
Gibraltar	2020-12-15	329	2021-12-19
Cayman Islands	2020-12-15	222	2023-01-18
Israel	2020-12-16	69624	2023-05-31
Saint Lucia	2020-12-17	130	2023-02-04
Ireland	2020-12-17	36326	2023-05-20
Jordan	2020-12-20	243	2023-01-08
Jamaica	2020-12-21	1935	2023-02-19
Oman	2020-12-22	194	2023-02-12
Chile	2020-12-22	13662	2023-05-05
Bermuda	2020-12-23	121	2022-12-28
Egypt	2020-12-25	595	2022-12-14
Pakistan	2020-12-25	2001	2023-05-14
Qatar	2020-12-27	941	2022-10-23
Iraq	2020-12-27	347	2022-11-11
Dominican Republic	2020-12-27	839	2023-02-20
Fiji	2020-12-28	4	2021-04-19
Rwanda	2020-12-28	83	2022-01-29
Lebanon	2020-12-29	1063	2022-11-28
Ukraine	2020-12-29	1220	2023-05-16
Barbados	2020-12-30	121	2023-02-27
Palestine	2020-12-31	15	2023-01-24
Peru	2020-12-31	21758	2023-04-30
Sri Lanka	2021-01-02	742	2023-01-08
Vietnam	2021-01-02	2152	2023-04-03
Guinea-Bissau	2021-01-04	29	2022-01-01
Kosovo	2021-01-04	508	2023-02-27
Tunisia	2021-01-05	706	2023-03-02
Ecuador	2021-01-05	4150	2023-03-27
Indonesia	2021-01-05	24668	2023-05-02
Gambia	2021-01-06	244	2022-09-08
Morocco	2021-01-08	911	2023-02-13
Niger	2021-01-09	56	2022-02-10
North Macedonia	2021-01-09	467	2023-01-16
Latvia	2021-01-12	14545	2022-12-20
Sierra Leone	2021-01-13	2	2021-11-24
Montenegro	2021-01-17	338	2023-02-25
China	2021-01-17	24720	2023-06-06
Cabo Verde	2021-01-18	336	2022-12-22
British Virgin Islands	2021-01-19	25	2022-05-15
Libya	2021-01-19	86	2022-07-12
Central African Republic	2021-01-20	71	2022-11-08
Aruba	2021-01-20	1396	2023-02-01
Bahrain	2021-01-21	1942	2023-02-07
Kuwait	2021-01-21	185	2023-02-08
Guadeloupe	2021-01-22	383	2023-03-06
South Sudan	2021-01-23	73	2021-12-19
Curacao	2021-01-23	1040	2023-01-31
Cameroon	2021-01-26	617	2022-09-29
Moldova	2021-01-27	361	2023-02-04
Democratic Republic of the Congo	2021-01-28	114	2023-01-30
Dominica	2021-01-29	7	2022-03-22
Belize	2021-01-29	335	2022-12-02
Benin	2021-01-30	318	2022-02-10
Cambodia	2021-02-03	1433	2022-12-30
Monaco	2021-02-04	6	2022-05-22
Equatorial Guinea	2021-02-06	4	2022-01-15
Sudan	2021-02-06	124	2022-03-10
Bonaire	2021-02-06	906	2023-01-17
Djibouti	2021-02-12	635	2023-01-23
Sint Maarten	2021-02-12	1004	2023-02-24
Ethiopia	2021-02-17	106	2022-07-06
Antigua and Barbuda	2021-02-17	30	2023-02-02
Algeria	2021-02-17	447	2023-02-19
Suriname	2021-02-18	148	2022-05-04
Costa Rica	2021-02-22	5198	2023-05-25
Republic of the Congo	2021-02-25	178	2022-10-04
Somalia	2021-02-28	6	2021-03-05
Mauritania	2021-02-28	27	2021-06-08
Kyrgyzstan	2021-02-28	40	2022-01-04
Paraguay	2021-02-28	771	2023-01-13
Kazakhstan	2021-03-02	1174	2022-11-30
Mongolia	2021-03-08	802	2022-12-27
Guatemala	2021-03-11	1350	2023-03-29
Madagascar	2021-03-15	84	2022-02-25
Sao Tome and Principe	2021-03-18	5	2021-12-29
Armenia	2021-03-18	21	2022-01-11
Bahamas	2021-03-18	107	2023-01-09
Venezuela	2021-03-18	318	2023-02-10
Mali	2021-03-20	85	2022-10-11
Afghanistan	2021-03-21	50	2022-04-05
Trinidad and Tobago	2021-03-23	1263	2023-02-23
Malta	2021-03-25	243	2022-02-08
Panama	2021-03-25	1098	2023-02-06
Guyana	2021-03-31	28	2022-11-22
Liberia	2021-04-04	10	2021-12-28
Grenada	2021-04-08	2	2021-06-24
Nepal	2021-04-14	28	2022-07-12
Bhutan	2021-04-16	2	2022-10-03
Mozambique	2021-04-21	167	2022-08-18
Honduras	2021-04-23	30	2022-12-06
Papua New Guinea	2021-04-30	108	2022-12-05
Nicaragua	2021-05-01	95	2022-12-08
El Salvador	2021-05-02	194	2022-11-21
Botswana	2021-05-15	105	2023-01-25
Seychelles	2021-05-19	406	2022-09-30
Haiti	2021-05-19	152	2022-12-22
Burundi	2021-05-27	13	2021-12-27
Eswatini	2021-06-02	536	2023-01-11
Andorra	2021-06-07	123	2022-12-27
