	first_seq	num_seqs	last_seq
United Kingdom	2020-04-16	950181	2022-08-26
USA	2020-04-17	1171243	2022-08-25
Canada	2020-04-18	141309	2022-08-23
Germany	2020-04-19	318435	2022-08-28
Djibouti	2020-06-15	436	2022-04-30
Brazil	2020-06-26	45528	2022-08-12
Japan	2020-07-12	189759	2022-08-24
Zambia	2020-08-14	473	2022-07-17
South Africa	2020-08-18	19694	2022-08-18
Mozambique	2020-08-25	522	2022-08-05
United Arab Emirates	2020-08-28	40	2022-07-10
Botswana	2020-09-09	2019	2022-08-06
Angola	2020-09-24	319	2022-01-13
Bangladesh	2020-10-27	1454	2022-07-17
India	2020-11-01	56611	2022-08-19
Denmark	2020-11-02	267452	2022-08-23
Cyprus	2020-11-02	417	2022-04-05
Madagascar	2020-11-03	274	2022-01-31
Sweden	2020-11-08	49650	2022-08-22
Eswatini	2020-11-13	439	2022-07-07
Zimbabwe	2020-11-15	328	2021-12-15
Norway	2020-11-19	25428	2022-08-15
Malawi	2020-11-25	545	2022-02-22
Switzerland	2020-11-30	26021	2022-08-14
Malaysia	2020-12-01	15135	2022-08-16
Mauritius	2020-12-13	1801	2022-07-29
Lesotho	2020-12-16	90	2022-01-10
Israel	2020-12-17	46806	2022-08-21
Finland	2020-12-19	11591	2022-08-09
Belgium	2020-12-20	68607	2022-08-25
France	2020-12-22	212280	2022-08-24
Netherlands	2020-12-22	44402	2022-08-22
Ireland	2020-12-22	33138	2022-08-22
Spain	2020-12-24	36122	2022-08-24
Australia	2020-12-24	73816	2022-08-24
Kenya	2020-12-25	2157	2022-07-27
South Korea	2020-12-26	19791	2022-08-11
Hong Kong	2020-12-27	5996	2022-08-21
New Zealand	2020-12-29	15076	2022-08-18
Qatar	2020-12-29	871	2022-07-27
China	2020-12-31	253	2022-07-10
Portugal	2021-01-02	14826	2022-08-17
Rwanda	2021-01-04	119	2022-01-29
Cameroon	2021-01-05	395	2022-02-12
Union of the Comoros	2021-01-05	1	2021-01-05
Ghana	2021-01-06	304	2022-06-10
Luxembourg	2021-01-09	18532	2022-08-10
Senegal	2021-01-09	443	2022-07-24
Panama	2021-01-11	1312	2022-08-03
Austria	2021-01-12	19866	2022-08-17
Equatorial Guinea	2021-01-12	36	2022-01-15
Greece	2021-01-14	5789	2022-07-29
Russia	2021-01-19	5413	2022-08-22
Turkey	2021-01-21	11420	2022-08-04
Latvia	2021-01-21	4435	2022-06-13
Democratic Republic of the Congo	2021-01-22	150	2022-07-09
Indonesia	2021-01-25	15994	2022-08-18
Oman	2021-01-27	76	2022-06-27
Gabon	2021-01-27	11	2022-06-29
Italy	2021-01-29	39656	2022-08-24
Philippines	2021-01-31	10730	2022-07-28
Guinea-Bissau	2021-02-01	2	2022-01-01
Thailand	2021-02-03	11607	2022-08-09
Togo	2021-02-05	154	2022-02-22
Seychelles	2021-02-05	264	2022-04-29
Singapore	2021-02-07	11182	2022-08-24
Mexico	2021-02-08	22108	2022-08-24
Poland	2021-02-08	32767	2022-08-24
Slovakia	2021-02-08	10706	2022-08-14
Slovenia	2021-02-09	14272	2022-08-08
Croatia	2021-02-09	16569	2022-08-17
Côte d'Ivoire	2021-02-10	66	2021-12-31
Costa Rica	2021-02-10	3860	2022-08-11
Central African Republic	2021-02-11	18	2022-01-03
Uganda	2021-02-13	106	2022-07-11
Czech Republic	2021-02-16	18696	2022-08-15
Estonia	2021-02-17	3611	2022-07-13
Ethiopia	2021-02-22	77	2022-02-04
Monaco	2021-02-22	15	2022-05-22
Guadeloupe	2021-02-23	321	2022-08-08
Aruba	2021-02-25	410	2022-07-31
Somalia	2021-02-28	4	2021-02-28
Iceland	2021-02-28	1123	2022-08-14
Lithuania	2021-03-02	8379	2022-05-01
Sri Lanka	2021-03-02	858	2022-08-08
Sudan	2021-03-07	19	2021-12-26
Egypt	2021-03-07	87	2022-07-17
Jordan	2021-03-07	121	2022-05-23
North Macedonia	2021-03-10	130	2022-07-08
Pakistan	2021-03-15	907	2022-08-16
Namibia	2021-03-17	362	2022-05-13
Suriname	2021-03-19	57	2022-05-09
Benin	2021-03-23	387	2022-01-22
Sint Maarten	2021-03-24	768	2022-08-04
Taiwan	2021-03-24	2079	2022-08-10
Romania	2021-03-24	4840	2022-08-03
South Sudan	2021-03-31	31	2021-12-19
Iran	2021-04-03	1071	2022-07-30
Bahrain	2021-04-04	2698	2022-04-01
Chile	2021-04-06	9818	2022-08-22
Liberia	2021-04-08	10	2021-12-28
Malta	2021-04-09	140	2022-02-08
Saudi Arabia	2021-04-15	38	2021-12-21
Guatemala	2021-04-19	670	2022-07-29
Tunisia	2021-04-20	54	2022-03-17
Antigua and Barbuda	2021-04-20	51	2022-05-10
Argentina	2021-04-24	2393	2022-08-19
Nepal	2021-04-30	435	2022-08-02
Nicaragua	2021-05-02	3	2022-08-03
Niger	2021-05-03	53	2022-04-25
Kyrgyzstan	2021-05-04	19	2022-01-04
Georgia	2021-05-23	377	2022-08-07
Burundi	2021-05-27	5	2021-05-31
Bosnia and Herzegovina	2021-06-07	86	2022-07-04
Bulgaria	2021-06-09	4923	2022-03-24
Morocco	2021-06-17	295	2022-06-23
Mongolia	2021-06-30	239	2022-05-18
Ecuador	2021-06-30	2062	2022-08-20
Colombia	2021-07-01	3005	2022-08-10
Kuwait	2021-07-07	256	2022-07-24
Albania	2021-07-09	2	2022-04-07
Peru	2021-07-22	9861	2022-08-06
Iraq	2021-07-25	233	2022-02-21
Nigeria	2021-07-26	679	2022-08-02
Cambodia	2021-08-01	1180	2022-08-11
Paraguay	2021-08-19	592	2022-06-29
Liechtenstein	2021-09-20	613	2022-08-09
Macao	2021-11-18	1	2021-11-18
Republic of the Congo	2021-11-22	69	2022-06-28
Sierra Leone	2021-11-24	1	2021-11-24
Myanmar	2021-11-30	32	2022-07-29
Dominican Republic	2021-12-02	406	2022-08-11
Bermuda	2021-12-04	19	2021-12-14
Montenegro	2021-12-04	215	2022-08-01
El Salvador	2021-12-05	121	2022-06-02
Maldives	2021-12-09	180	2022-03-27
Lebanon	2021-12-11	179	2022-02-18
Venezuela	2021-12-11	67	2022-06-21
French Polynesia	2021-12-12	13	2021-12-24
Serbia	2021-12-12	918	2022-07-27
Hungary	2021-12-14	28	2022-01-14
Saint Martin	2021-12-14	289	2022-08-16
