	first_seq	num_seqs	last_seq
Iceland	2020-02-27	70	2022-12-20
United Kingdom	2020-02-27	60608	2023-06-23
USA	2020-03-12	38617	2023-07-03
New Zealand	2020-03-16	24	2023-05-14
Spain	2020-03-17	3637	2023-06-20
Canada	2020-03-19	18952	2023-05-21
Australia	2020-03-20	121	2023-07-04
Luxembourg	2020-03-22	2127	2023-04-17
Niger	2020-03-24	48	2021-04-11
Switzerland	2020-03-24	934	2023-01-30
Czech Republic	2020-04-01	199	2022-04-26
Finland	2020-04-04	721	2023-04-30
Qatar	2020-04-05	14	2022-09-11
Ireland	2020-04-06	637	2023-06-09
Italy	2020-04-13	2719	2023-06-08
Cyprus	2020-04-17	101	2021-12-08
Belgium	2020-04-18	3010	2023-01-30
France	2020-04-20	6786	2023-06-20
Netherlands	2020-04-26	1608	2023-05-18
Guinea	2020-04-29	5	2021-07-31
India	2020-05-10	724	2023-04-06
Peru	2020-05-19	2222	2023-04-28
Argentina	2020-05-21	2971	2022-03-01
Singapore	2020-05-23	172	2023-06-23
Sweden	2020-05-24	2732	2023-02-14
Iran	2020-05-27	4	2022-02-04
Japan	2020-05-27	528	2023-04-23
Colombia	2020-05-29	617	2022-01-29
Chile	2020-05-31	4432	2023-03-21
United Arab Emirates	2020-06-02	21	2021-12-13
Mexico	2020-06-02	2908	2023-01-02
Senegal	2020-06-14	405	2021-12-24
Turkey	2020-06-15	418	2022-12-26
Madagascar	2020-06-22	273	2021-07-18
Ecuador	2020-07-01	312	2021-11-17
Bangladesh	2020-07-10	402	2021-12-26
Brazil	2020-07-22	54581	2022-07-27
South Africa	2020-07-25	2633	2023-06-05
Nigeria	2020-07-28	13	2021-12-31
South Korea	2020-08-02	113	2023-06-25
Denmark	2020-08-10	4749	2023-06-06
Russia	2020-08-12	146	2022-11-25
Germany	2020-08-14	7617	2023-06-12
Hong Kong	2020-08-15	124	2023-05-29
Indonesia	2020-08-25	192	2023-05-26
Lebanon	2020-09-01	10	2022-01-26
Lithuania	2020-09-07	3239	2023-02-15
Latvia	2020-09-10	1095	2021-10-28
Greece	2020-09-11	404	2022-03-24
Côte d'Ivoire	2020-09-14	50	2021-12-06
Georgia	2020-09-17	46	2022-01-15
Togo	2020-09-21	24	2022-02-21
Norway	2020-09-30	1550	2023-05-08
Kenya	2020-10-22	203	2022-01-03
Gibraltar	2020-10-27	58	2021-12-18
Estonia	2020-10-28	242	2022-01-17
Slovenia	2020-10-31	171	2023-01-17
Austria	2020-11-02	267	2023-06-27
Portugal	2020-11-07	403	2023-06-13
Uruguay	2020-11-14	136	2021-07-12
Thailand	2020-11-16	86	2023-05-03
Serbia	2020-11-17	5	2022-01-01
Philippines	2020-11-21	118	2022-05-18
Eswatini	2020-11-23	47	2021-10-13
Malawi	2020-11-25	116	2021-09-09
Poland	2020-11-25	273	2022-02-12
Pakistan	2020-11-26	12	2021-10-23
Malaysia	2020-12-01	267	2023-05-17
Taiwan	2020-12-05	10	2021-07-07
Zimbabwe	2020-12-07	40	2021-07-11
Bulgaria	2020-12-11	105	2022-01-15
Mauritius	2020-12-13	12	2022-12-28
Iraq	2020-12-14	3	2021-02-20
Mozambique	2020-12-14	125	2022-05-23
Lesotho	2020-12-16	20	2021-05-08
Djibouti	2020-12-17	102	2021-05-07
Rwanda	2020-12-17	42	2021-07-07
Israel	2020-12-17	283	2023-05-16
Burkina Faso	2020-12-19	29	2021-12-07
Romania	2020-12-21	42	2022-03-01
Slovakia	2020-12-22	69	2022-08-11
Botswana	2020-12-24	39	2021-11-17
Tunisia	2020-12-24	38	2022-03-14
Zambia	2020-12-30	18	2022-06-21
China	2020-12-31	15	2023-05-23
Venezuela	2021-01-01	173	2022-01-17
Union of the Comoros	2021-01-05	1	2021-01-05
Guatemala	2021-01-05	46	2022-01-10
Ghana	2021-01-06	93	2022-01-05
Cabo Verde	2021-01-08	73	2021-08-28
Equatorial Guinea	2021-01-12	28	2021-04-01
North Macedonia	2021-01-12	6	2021-04-11
Croatia	2021-01-16	81	2023-04-09
Guadeloupe	2021-01-19	7	2021-08-19
Belize	2021-01-20	22	2021-08-09
Cameroon	2021-01-21	5	2021-09-08
Tanzania	2021-01-23	9	2021-04-26
Gambia	2021-01-25	20	2021-04-24
Paraguay	2021-01-25	330	2021-12-21
Angola	2021-01-28	33	2021-07-08
Guinea-Bissau	2021-01-29	2	2021-02-05
Benin	2021-01-31	19	2021-07-15
Oman	2021-02-05	6	2021-04-23
Seychelles	2021-02-05	23	2021-12-02
Bolivia	2021-02-07	74	2021-12-06
Honduras	2021-02-10	10	2021-08-30
Uganda	2021-02-10	13	2021-11-29
Costa Rica	2021-02-10	80	2022-03-02
Central African Republic	2021-02-11	2	2021-03-09
Bonaire	2021-02-13	2	2021-07-07
Aruba	2021-02-15	124	2021-12-14
Panama	2021-02-17	212	2021-11-14
Sri Lanka	2021-02-17	7	2021-12-30
Monaco	2021-02-22	2	2021-08-25
