	first_seq	num_seqs	last_seq
USA	2020-03-15	23773	2021-04-07
Mexico	2020-09-17	143	2021-03-18
New Zealand	2020-12-03	2	2020-12-28
Australia	2020-12-08	17	2021-02-25
United Kingdom	2020-12-10	18	2021-04-03
Norway	2020-12-16	2	2021-03-04
South Korea	2020-12-17	47	2021-02-21
Japan	2020-12-19	17	2021-02-21
Canada	2020-12-20	8	2021-01-20
Singapore	2020-12-24	4	2021-03-27
Costa Rica	2020-12-25	2	2020-12-25
Chile	2020-12-27	8	2021-04-04
Israel	2020-12-28	7	2021-02-01
Taiwan	2021-01-01	7	2021-01-26
Denmark	2021-01-04	23	2021-02-15
Italy	2021-01-12	1	2021-01-12
Guam	2021-01-13	7	2021-01-28
Aruba	2021-01-13	35	2021-03-23
Sweden	2021-01-18	2	2021-01-28
Cambodia	2021-01-20	2	2021-01-20
France	2021-01-26	3	2021-02-18
Switzerland	2021-01-26	3	2021-02-05
Guadeloupe	2021-01-27	2	2021-01-30
Spain	2021-01-29	2	2021-02-26
Finland	2021-02-06	1	2021-02-06
Germany	2021-02-10	4	2021-03-01
Turkey	2021-02-11	2	2021-02-11
Sint Maarten	2021-02-15	13	2021-02-19
Argentina	2021-02-18	1	2021-02-18
Netherlands	2021-03-03	4	2021-03-10
Curacao	2021-03-19	1	2021-03-19
