	first_seq	num_seqs	last_seq
Italy	2020-03-19	69572	2023-01-18
Australia	2020-03-27	112620	2023-01-17
Brazil	2020-04-07	125887	2023-01-03
USA	2020-04-21	2092042	2023-01-18
Mexico	2020-05-18	33263	2022-12-26
Spain	2020-05-25	108915	2023-01-16
Canada	2020-06-08	284005	2023-01-10
United Kingdom	2020-06-08	1501959	2023-01-16
Kenya	2020-06-09	4444	2022-12-07
Kyrgyzstan	2020-06-19	54	2022-01-04
Côte d'Ivoire	2020-07-15	375	2022-12-24
Nigeria	2020-07-16	1191	2022-10-24
Egypt	2020-07-28	361	2022-12-01
Indonesia	2020-08-06	29675	2023-01-11
Zambia	2020-08-14	454	2022-08-03
South Africa	2020-08-18	24086	2023-01-12
Peru	2020-08-19	28477	2023-01-05
Gambia	2020-08-21	237	2022-09-08
Russia	2020-08-24	34869	2022-12-28
Mozambique	2020-08-26	521	2022-11-25
United Arab Emirates	2020-08-28	416	2022-07-10
Sudan	2020-09-01	140	2022-01-19
Iran	2020-09-21	1466	2023-01-05
Germany	2020-09-21	543373	2023-01-16
Senegal	2020-09-22	702	2022-09-14
Angola	2020-09-24	442	2022-10-24
Jordan	2020-10-05	253	2022-07-25
Dominican Republic	2020-10-06	1387	2023-01-11
Sweden	2020-10-08	110914	2023-01-15
Pakistan	2020-10-10	2312	2023-01-09
Romania	2020-10-11	9550	2023-01-10
India	2020-10-14	57413	2023-01-12
Denmark	2020-10-26	391053	2023-01-13
France	2020-10-27	293974	2023-01-08
Switzerland	2020-10-27	68385	2023-01-15
Madagascar	2020-11-03	307	2022-02-25
Uganda	2020-11-09	302	2022-12-05
Portugal	2020-11-09	24917	2022-12-27
Taiwan	2020-11-10	2388	2023-01-10
Austria	2020-11-10	40859	2023-01-11
Netherlands	2020-11-12	95611	2023-01-11
Georgia	2020-11-14	1694	2022-12-14
Zimbabwe	2020-11-15	468	2022-06-26
Saudi Arabia	2020-11-15	551	2022-09-17
Iceland	2020-11-21	3514	2023-01-10
Botswana	2020-11-21	2070	2023-01-15
Eswatini	2020-11-23	436	2022-07-07
Malawi	2020-11-25	497	2022-07-30
Niger	2020-11-27	95	2022-04-25
Japan	2020-11-29	392566	2023-01-16
Slovenia	2020-11-30	38330	2022-12-31
Slovakia	2020-11-30	27647	2023-01-09
Belgium	2020-11-30	92067	2023-01-17
Malaysia	2020-12-01	24592	2023-01-16
Algeria	2020-12-02	427	2022-12-08
Thailand	2020-12-05	19158	2023-01-02
Hong Kong	2020-12-06	11145	2023-01-09
Argentina	2020-12-07	7600	2022-12-29
Singapore	2020-12-08	18218	2023-01-15
Cyprus	2020-12-09	1117	2022-04-05
Norway	2020-12-09	46528	2023-01-08
Albania	2020-12-10	29	2022-04-07
Philippines	2020-12-10	16051	2022-12-09
Ghana	2020-12-10	1599	2023-01-02
Greece	2020-12-11	19158	2022-12-23
Bulgaria	2020-12-13	9596	2022-10-21
Serbia	2020-12-13	1324	2022-11-29
Mauritius	2020-12-13	3470	2022-12-19
South Korea	2020-12-14	57578	2023-01-09
Burkina Faso	2020-12-16	24	2021-03-16
Lesotho	2020-12-16	103	2022-10-21
Israel	2020-12-16	88639	2022-12-31
Rwanda	2020-12-17	128	2022-01-29
Saint Lucia	2020-12-17	169	2022-11-19
Ireland	2020-12-17	63104	2023-01-16
Curacao	2020-12-18	1482	2022-12-30
Finland	2020-12-18	26488	2023-01-10
Ethiopia	2020-12-19	94	2022-02-04
New Zealand	2020-12-19	24556	2022-12-20
Togo	2020-12-21	199	2022-05-28
Jamaica	2020-12-21	1923	2022-07-22
Turkey	2020-12-21	22215	2022-12-26
Oman	2020-12-22	146	2022-10-13
Chile	2020-12-22	18985	2023-01-02
Poland	2020-12-22	44538	2023-01-09
Bermuda	2020-12-23	141	2022-11-28
Luxembourg	2020-12-24	33028	2023-01-08
Bosnia and Herzegovina	2020-12-25	199	2022-07-04
Estonia	2020-12-25	9175	2022-10-12
Qatar	2020-12-27	1735	2022-10-23
Iraq	2020-12-27	308	2022-11-27
Gabon	2020-12-28	183	2022-06-29
Lebanon	2020-12-29	932	2022-11-28
Barbados	2020-12-30	129	2022-10-31
Palestine	2020-12-31	34	2022-02-05
Maldives	2020-12-31	157	2022-04-27
Kosovo	2020-12-31	641	2022-09-06
Kuwait	2020-12-31	371	2022-11-06
Bangladesh	2020-12-31	2039	2023-01-10
Venezuela	2021-01-01	420	2022-12-16
Sri Lanka	2021-01-02	1197	2022-11-07
Cabo Verde	2021-01-02	439	2022-11-16
Guinea-Bissau	2021-01-04	30	2022-01-01
Colombia	2021-01-04	11497	2023-01-03
Czech Republic	2021-01-04	25762	2023-01-10
Cameroon	2021-01-05	459	2022-09-29
Ecuador	2021-01-05	4094	2023-01-09
Hungary	2021-01-06	142	2022-11-16
Morocco	2021-01-08	778	2022-12-06
North Macedonia	2021-01-09	459	2022-11-24
Panama	2021-01-11	3435	2022-12-13
Equatorial Guinea	2021-01-12	36	2022-01-15
Latvia	2021-01-12	9063	2022-06-13
Aruba	2021-01-13	1732	2023-01-03
Montenegro	2021-01-17	394	2022-08-12
China	2021-01-17	4225	2023-01-19
Central African Republic	2021-01-20	39	2022-01-03
Croatia	2021-01-20	25751	2022-12-28
Bahrain	2021-01-21	4930	2022-08-23
Liechtenstein	2021-01-21	864	2022-12-30
Democratic Republic of the Congo	2021-01-22	181	2022-10-07
Guadeloupe	2021-01-22	529	2022-12-20
Tanzania	2021-01-23	13	2021-12-18
Guinea	2021-01-26	269	2022-10-13
Tunisia	2021-01-27	349	2022-08-01
Moldova	2021-01-27	464	2023-01-10
Bahamas	2021-01-29	72	2021-12-15
Dominica	2021-01-29	12	2022-05-10
Belize	2021-01-29	328	2022-08-18
Benin	2021-01-30	422	2022-01-22
Vietnam	2021-01-30	1826	2022-12-30
Paraguay	2021-01-31	1680	2022-09-08
Azerbaijan	2021-02-01	11	2022-02-21
Lithuania	2021-02-02	19280	2022-12-23
Cambodia	2021-02-03	2376	2022-12-30
Monaco	2021-02-04	18	2022-05-22
Seychelles	2021-02-05	491	2022-09-30
Bolivia	2021-02-06	130	2022-02-07
Bonaire	2021-02-06	1219	2022-12-24
Costa Rica	2021-02-10	6779	2022-12-28
Djibouti	2021-02-12	665	2022-08-11
Sint Maarten	2021-02-12	1270	2023-01-02
Antigua and Barbuda	2021-02-17	64	2022-05-10
Libya	2021-02-17	29	2022-07-12
Suriname	2021-02-18	567	2022-05-09
Ukraine	2021-02-18	475	2022-12-11
Belarus	2021-02-23	26	2022-02-15
Uruguay	2021-02-23	250	2022-12-13
Republic of the Congo	2021-02-25	162	2022-10-04
Somalia	2021-02-28	10	2021-03-05
Fiji	2021-02-28	2	2021-04-12
Kazakhstan	2021-03-02	684	2022-10-22
Mongolia	2021-03-08	993	2022-11-09
Guatemala	2021-03-11	2261	2022-12-29
Namibia	2021-03-17	462	2022-06-29
Sao Tome and Principe	2021-03-18	5	2021-12-29
Armenia	2021-03-18	16	2022-06-30
Afghanistan	2021-03-21	54	2022-04-05
Trinidad and Tobago	2021-03-23	2191	2023-01-05
Malta	2021-03-25	132	2021-07-12
South Sudan	2021-03-31	32	2021-12-19
Guyana	2021-03-31	50	2022-11-22
Papua New Guinea	2021-03-31	636	2022-12-05
Liberia	2021-04-04	13	2021-12-28
Grenada	2021-04-08	2	2021-06-24
Nepal	2021-04-14	711	2022-11-06
Nicaragua	2021-04-20	106	2022-08-25
Honduras	2021-04-23	47	2022-06-22
El Salvador	2021-04-29	292	2022-07-26
Haiti	2021-05-07	294	2022-08-06
Mauritania	2021-05-16	4	2022-05-12
Burundi	2021-05-27	8	2021-12-27
Myanmar	2021-05-28	41	2022-07-29
Andorra	2021-06-07	215	2022-12-27
Uzbekistan	2021-06-25	34	2022-08-15
Saint Vincent and the Grenadines	2021-07-19	90	2022-12-28
Macao	2021-11-18	1	2021-11-18
Sierra Leone	2021-11-24	1	2021-11-24
Laos	2021-11-24	528	2022-12-03
Chad	2021-12-07	7	2022-01-04
French Polynesia	2021-12-12	13	2021-12-24
Saint Martin	2021-12-14	294	2022-10-24
Saint Kitts and Nevis	2021-12-19	2	2021-12-20
Brunei	2021-12-19	2338	2022-12-28
Mali	2021-12-23	29	2022-09-10
Solomon Islands	2021-12-27	235	2022-11-29
Syria	2022-01-06	45	2022-08-03
Kiribati	2022-01-19	117	2022-08-11
Timor-Leste	2022-01-31	1	2022-01-31
Vanuatu	2022-02-16	100	2022-09-03
Palau	2022-02-20	55	2022-12-14
Puerto Rico	2022-04-06	33	2022-09-09
Marshall Islands	2022-04-11	26	2022-10-27
Micronesia	2022-05-30	51	2022-12-04
Union of the Comoros	2022-07-01	4	2022-07-05
