	first_seq	num_seqs	last_seq
China	2019-10-22	4	2020-07-28
Denmark	2020-03-11	1812	2021-10-29
Germany	2020-03-18	1582	2021-10-28
Australia	2020-03-19	13627	2021-10-25
Spain	2020-03-19	523	2021-10-26
United Kingdom	2020-03-23	2710	2021-11-01
Belgium	2020-03-25	1351	2021-11-01
USA	2020-03-27	4411	2021-10-31
Qatar	2020-03-29	20	2021-09-17
Japan	2020-04-03	100	2021-10-08
Portugal	2020-04-05	63	2021-10-18
Brazil	2020-04-07	240	2021-10-06
Saudi Arabia	2020-04-24	6	2020-06-25
United Arab Emirates	2020-04-24	37	2021-02-06
India	2020-04-30	335	2021-09-28
Canada	2020-05-05	11161	2021-10-11
Austria	2020-05-17	15	2021-09-22
Norway	2020-05-25	130	2021-10-24
Kenya	2020-06-08	95	2021-09-15
Poland	2020-06-09	36	2021-10-22
North Macedonia	2020-06-10	2	2021-06-09
Ghana	2020-06-20	11	2021-09-08
Bangladesh	2020-06-28	8	2021-09-06
Indonesia	2020-06-29	53	2021-09-27
Laos	2020-07-07	2	2020-07-10
Switzerland	2020-07-20	258	2021-10-24
Ireland	2020-07-22	39	2021-10-21
Romania	2020-07-24	20	2021-10-21
South Africa	2020-08-11	18	2021-09-14
Uganda	2020-08-14	240	2021-06-10
Rwanda	2020-08-28	141	2021-08-22
Mexico	2020-09-03	76	2021-10-16
Italy	2020-09-15	532	2021-10-30
Chile	2020-09-21	36	2021-10-21
France	2020-09-25	1377	2021-10-27
Peru	2020-10-05	37	2021-10-11
Slovenia	2020-10-06	177	2021-10-15
Greece	2020-11-16	26	2021-09-18
Russia	2020-11-18	11	2021-09-28
Turkey	2020-11-20	122	2021-10-21
Cambodia	2020-11-28	14	2020-12-05
Timor-Leste	2020-11-29	2	2021-05-04
Netherlands	2020-12-07	521	2021-10-24
Togo	2020-12-11	2	2021-07-29
Iran	2020-12-12	1	2020-12-12
Singapore	2020-12-13	6	2021-08-18
Central African Republic	2020-12-15	1	2020-12-15
Philippines	2020-12-27	46	2021-08-30
Zimbabwe	2020-12-27	2	2020-12-28
Malawi	2020-12-28	1	2020-12-28
South Korea	2020-12-28	54	2021-09-26
Estonia	2020-12-29	43	2021-10-06
Guatemala	2021-01-02	5	2021-07-27
Israel	2021-01-03	57	2021-10-17
Argentina	2021-01-04	6	2021-09-11
South Sudan	2021-01-08	9	2021-01-27
Slovakia	2021-01-09	12	2021-10-05
Sweden	2021-01-12	463	2021-10-27
Mauritius	2021-01-13	1	2021-01-13
Iceland	2021-01-13	5	2021-08-12
Democratic Republic of the Congo	2021-01-16	10	2021-04-30
Botswana	2021-01-21	4	2021-09-03
Zambia	2021-01-24	6	2021-06-30
Lithuania	2021-01-24	32	2021-10-23
Finland	2021-01-28	124	2021-09-30
Latvia	2021-02-02	10	2021-04-27
Benin	2021-02-03	2	2021-07-18
Vietnam	2021-02-07	5	2021-02-10
Aruba	2021-02-08	1	2021-02-08
Cameroon	2021-02-08	1	2021-02-08
New Zealand	2021-02-08	1	2021-02-08
Republic of the Congo	2021-02-09	6	2021-09-29
Croatia	2021-02-15	24	2021-09-10
Nigeria	2021-02-17	3	2021-08-26
Czech Republic	2021-02-22	84	2021-10-23
Panama	2021-03-05	1	2021-03-05
Malaysia	2021-03-06	22	2021-10-11
Colombia	2021-03-08	11	2021-09-23
Dominican Republic	2021-03-15	2	2021-07-26
Bolivia	2021-03-26	1	2021-03-26
Egypt	2021-04-04	1	2021-04-04
Lebanon	2021-04-19	1	2021-04-19
Luxembourg	2021-05-02	110	2021-10-08
Nepal	2021-05-28	6	2021-09-21
Bahrain	2021-05-30	18	2021-10-29
Pakistan	2021-06-01	10	2021-10-21
Ecuador	2021-06-02	2	2021-07-20
Bulgaria	2021-06-02	6	2021-09-02
Morocco	2021-06-20	46	2021-09-09
El Salvador	2021-07-02	1	2021-07-02
Mozambique	2021-07-16	1	2021-07-16
Costa Rica	2021-07-19	4	2021-08-16
Ukraine	2021-07-21	2	2021-07-23
Sri Lanka	2021-07-25	5	2021-09-05
Gambia	2021-07-30	2	2021-08-03
Kuwait	2021-08-16	2	2021-09-18
Seychelles	2021-08-21	1	2021-08-21
Hong Kong	2021-08-26	3	2021-10-13
Jordan	2021-09-11	1	2021-09-11
Kosovo	2021-09-11	2	2021-09-14
Bosnia and Herzegovina	2021-10-06	2	2021-10-07
Georgia	2021-10-14	2	2021-10-15
