	first_seq	num_seqs	last_seq
USA	2020-11-01	8143	2021-04-28
Mexico	2020-11-13	3494	2021-04-22
Switzerland	2020-11-30	106	2021-04-22
Japan	2020-12-06	2	2020-12-28
United Kingdom	2020-12-12	18	2021-04-17
Canada	2020-12-18	32	2021-03-28
Kosovo	2020-12-27	1	2020-12-27
Costa Rica	2021-01-01	4	2021-03-08
Chile	2021-01-03	7	2021-04-08
Denmark	2021-01-04	9	2021-04-26
Luxembourg	2021-01-07	1	2021-01-07
Sweden	2021-01-09	3	2021-02-18
Israel	2021-01-10	6	2021-01-20
Brazil	2021-01-11	2	2021-01-28
Argentina	2021-01-14	1	2021-01-14
France	2021-01-15	37	2021-04-12
Spain	2021-01-15	34	2021-04-05
Germany	2021-01-18	189	2021-04-02
Aruba	2021-01-20	26	2021-04-06
New Zealand	2021-01-28	1	2021-01-28
Curacao	2021-02-08	7	2021-03-01
Netherlands	2021-02-10	39	2021-03-05
Italy	2021-02-11	1	2021-02-11
South Korea	2021-02-13	2	2021-02-16
Poland	2021-02-20	1	2021-02-20
Lithuania	2021-03-18	3	2021-03-21
Colombia	2021-03-29	1	2021-03-29
Australia	2021-04-26	3	2021-04-30
