	first_seq	num_seqs	last_seq
India	2020-06-17	9	2021-01-26
USA	2020-08-17	628	2022-04-20
Senegal	2020-12-10	1	2020-12-10
Japan	2020-12-13	2	2021-04-01
Singapore	2020-12-20	2	2020-12-28
Switzerland	2021-01-13	1	2021-01-13
Israel	2021-01-15	1	2021-01-15
Finland	2021-01-18	1	2021-01-18
Indonesia	2021-01-25	1	2021-01-25
Canada	2021-03-04	2	2022-12-30
Mexico	2021-03-16	1	2021-03-16
Italy	2021-04-06	1	2021-04-06
France	2021-08-17	3	2022-08-16
Russia	2021-09-22	3	2021-10-13
Poland	2021-12-07	3	2021-12-28
Bulgaria	2021-12-13	1	2021-12-13
China	2023-10-16	1	2023-10-16
