	first_seq	num_seqs	last_seq
India	2020-08-13	7	2020-09-28
Netherlands	2020-08-16	3	2021-02-10
USA	2020-08-17	1571	2021-02-17
United Arab Emirates	2020-08-28	2	2020-09-15
United Kingdom	2020-10-26	1	2020-10-26
Egypt	2020-11-01	1	2020-11-01
Canada	2020-11-21	11	2021-01-20
Portugal	2020-12-11	2	2020-12-11
Australia	2020-12-15	2	2020-12-21
Denmark	2021-01-04	1	2021-01-04
Poland	2021-01-05	1	2021-01-05
Switzerland	2021-01-09	1	2021-01-09
Sint Maarten	2021-01-21	2	2021-01-21
Guadeloupe	2021-01-27	10	2021-02-01
