	first_seq	num_seqs	last_seq
Australia	2020-03-19	47302	2022-05-08
Lebanon	2020-03-20	51	2022-02-18
France	2020-03-24	84317	2022-05-03
Colombia	2020-03-25	1898	2022-04-21
Luxembourg	2020-03-26	10096	2022-04-19
USA	2020-03-28	847393	2022-05-09
Canada	2020-03-30	104156	2022-05-05
United Kingdom	2020-04-01	1046510	2022-05-07
Japan	2020-04-04	71934	2022-05-07
Argentina	2020-05-09	1800	2022-04-28
Senegal	2020-05-09	52	2022-03-29
Sweden	2020-05-29	40594	2022-05-02
Denmark	2020-06-01	207650	2022-05-07
Mexico	2020-06-03	8532	2022-05-05
Azerbaijan	2020-06-06	2	2021-01-03
Russia	2020-07-08	2787	2022-06-29
Côte d'Ivoire	2020-07-17	51	2021-12-31
<<<<<<< HEAD
South Africa	2020-07-26	10464	2022-05-04
Belgium	2020-08-01	25365	2022-05-10
India	2020-08-03	27018	2022-05-04
Brazil	2020-08-03	24278	2022-04-28
Germany	2020-08-12	220705	2022-05-10
Indonesia	2020-08-13	9413	2022-04-21
Switzerland	2020-08-14	34763	2022-04-30
Iceland	2020-08-17	46	2022-04-30
Slovenia	2020-08-18	17325	2022-05-02
Austria	2020-08-19	7472	2022-05-05
South Korea	2020-08-23	11456	2022-04-29
Netherlands	2020-08-25	28531	2022-05-08
Hungary	2020-08-27	228	2022-01-14
Cyprus	2020-08-27	2	2020-11-02
Italy	2020-09-01	19804	2022-05-10
Russia	2020-09-02	1449	2022-04-08
Singapore	2020-09-04	5267	2022-05-08
Tunisia	2020-09-07	146	2022-03-17
Spain	2020-09-09	23829	2022-05-08
Slovakia	2020-09-10	14692	2022-05-04
Finland	2020-09-10	6915	2022-04-11
Mozambique	2020-09-10	174	2022-03-30
Bangladesh	2020-09-12	774	2022-03-23
Madagascar	2020-09-13	7	2021-02-01
Greece	2020-09-14	3134	2022-03-19
Norway	2020-09-17	19964	2022-05-05
Estonia	2020-09-17	1716	2022-04-12
Kenya	2020-09-17	1778	2022-04-05
New Zealand	2020-09-27	5331	2022-05-03
Serbia	2020-09-29	100	2022-04-02
Ireland	2020-10-01	17704	2022-05-03
Czech Republic	2020-10-03	9233	2022-05-03
Thailand	2020-10-04	7723	2022-04-30
Hong Kong	2020-10-11	3495	2022-05-07
Mauritius	2020-10-23	668	2022-04-06
Iran	2020-10-24	698	2022-04-12
Bermuda	2020-10-29	28	2021-12-14
Ghana	2020-11-01	587	2022-02-25
=======
South Africa	2020-07-26	13546	2022-06-30
Belgium	2020-08-01	42931	2022-07-08
Brazil	2020-08-03	38398	2022-06-24
India	2020-08-03	34328	2022-07-03
Germany	2020-08-12	285099	2022-07-05
Indonesia	2020-08-13	13025	2022-07-04
Switzerland	2020-08-14	39038	2022-07-03
Iceland	2020-08-17	45	2022-04-30
Slovenia	2020-08-18	20182	2022-06-26
Austria	2020-08-19	11178	2022-06-29
South Korea	2020-08-23	20124	2022-06-27
Netherlands	2020-08-25	36425	2022-07-04
Hungary	2020-08-27	228	2022-01-14
Cyprus	2020-08-27	415	2022-04-05
Italy	2020-09-01	27407	2022-07-06
Singapore	2020-09-04	7985	2022-07-06
Tunisia	2020-09-07	146	2022-03-17
Spain	2020-09-09	34826	2022-07-06
Finland	2020-09-10	9266	2022-06-20
Mozambique	2020-09-10	165	2022-03-30
Slovakia	2020-09-10	16160	2022-06-24
Bangladesh	2020-09-12	941	2022-06-27
Madagascar	2020-09-13	64	2022-02-25
Greece	2020-09-14	3918	2022-06-16
Kenya	2020-09-17	2551	2022-06-23
Norway	2020-09-17	25529	2022-07-03
Estonia	2020-09-17	2973	2022-05-31
New Zealand	2020-09-27	9429	2022-07-07
Serbia	2020-09-29	479	2022-06-04
Ireland	2020-10-01	27508	2022-07-04
Czech Republic	2020-10-03	12236	2022-06-29
Thailand	2020-10-04	10552	2022-06-30
Hong Kong	2020-10-11	4828	2022-07-04
Mauritius	2020-10-23	1511	2022-05-30
Iran	2020-10-24	955	2022-06-22
Bermuda	2020-10-29	31	2021-12-14
Ghana	2020-11-01	656	2022-06-02
>>>>>>> clusters_2week_intervals
Burkina Faso	2020-11-02	2	2021-01-22
Romania	2020-11-03	4357	2022-06-15
Cambodia	2020-11-07	973	2022-07-04
Portugal	2020-11-08	14184	2022-06-28
Croatia	2020-11-12	14345	2022-06-18
Bulgaria	2020-11-16	4968	2022-03-24
United Arab Emirates	2020-11-17	13	2021-02-03
Cameroon	2020-11-17	354	2022-02-12
Central African Republic	2020-11-24	39	2022-01-03
Philippines	2020-11-25	6228	2022-06-27
Cabo Verde	2020-11-25	196	2022-06-07
Algeria	2020-11-27	89	2022-06-26
Poland	2020-12-02	29638	2022-07-05
Niger	2020-12-06	58	2022-04-25
French Polynesia	2020-12-07	24	2021-12-24
<<<<<<< HEAD
Kosovo	2020-12-11	272	2022-04-06
Taiwan	2020-12-12	42	2022-05-09
Suriname	2020-12-13	101	2022-03-01
Peru	2020-12-14	4327	2022-04-26
Morocco	2020-12-15	118	2022-04-08
Israel	2020-12-15	23433	2022-05-02
Botswana	2020-12-18	1166	2022-04-27
Turkey	2020-12-20	7693	2022-04-10
Nigeria	2020-12-20	631	2022-03-06
North Macedonia	2020-12-24	44	2022-02-06
=======
Kosovo	2020-12-11	361	2022-05-20
Taiwan	2020-12-12	90	2022-06-23
Suriname	2020-12-13	158	2022-05-09
Israel	2020-12-15	45869	2022-07-07
Morocco	2020-12-15	289	2022-06-23
Peru	2020-12-16	7918	2022-06-22
Botswana	2020-12-18	1571	2022-06-29
Turkey	2020-12-20	10527	2022-06-30
Nigeria	2020-12-20	800	2022-05-07
North Macedonia	2020-12-24	86	2022-04-13
>>>>>>> clusters_2week_intervals
Egypt	2020-12-25	63	2022-03-17
Barbados	2020-12-30	15	2022-05-14
Ukraine	2020-12-30	74	2022-05-31
Guadeloupe	2021-01-11	271	2022-06-20
Dominican Republic	2021-01-15	68	2022-06-26
Bosnia and Herzegovina	2021-01-15	69	2022-03-16
Montenegro	2021-01-18	129	2022-04-19
Albania	2021-01-21	2	2022-04-07
Angola	2021-01-23	60	2022-01-13
Malawi	2021-01-24	136	2022-02-15
Curacao	2021-01-27	771	2022-06-19
Aruba	2021-01-28	233	2022-06-20
Lithuania	2021-01-29	9063	2022-05-01
Benin	2021-02-01	57	2022-01-22
Pakistan	2021-02-01	474	2022-06-29
Qatar	2021-02-03	176	2022-05-19
Equatorial Guinea	2021-02-06	2	2022-01-03
Monaco	2021-02-22	15	2022-02-18
Mauritania	2021-02-28	6	2021-05-31
Gabon	2021-03-07	7	2021-06-02
Ecuador	2021-03-09	1227	2022-07-01
Latvia	2021-03-16	4396	2022-06-13
Panama	2021-04-04	1345	2022-06-11
Republic of the Congo	2021-05-14	154	2022-06-28
Jordan	2021-05-28	80	2022-05-23
Democratic Republic of the Congo	2021-06-01	96	2022-06-13
Liechtenstein	2021-08-10	488	2022-06-06
Nepal	2021-08-12	384	2022-06-28
Sint Maarten	2021-08-18	651	2022-06-12
Chile	2021-08-19	7625	2022-07-05
Paraguay	2021-08-25	596	2022-06-20
Maldives	2021-08-29	191	2022-04-27
Sri Lanka	2021-09-16	778	2022-07-01
Guatemala	2021-09-27	592	2022-06-14
Belarus	2021-09-28	13	2022-02-15
Malaysia	2021-10-13	11125	2022-06-27
Georgia	2021-10-15	928	2022-06-14
Bolivia	2021-10-28	5	2022-02-07
Lesotho	2021-11-12	46	2022-01-14
Uganda	2021-11-15	76	2022-07-01
Trinidad and Tobago	2021-11-17	664	2022-06-28
Eswatini	2021-11-23	296	2022-05-09
Costa Rica	2021-11-24	2646	2022-06-17
Sierra Leone	2021-11-24	1	2021-11-24
Zimbabwe	2021-11-26	187	2021-12-15
Iraq	2021-11-27	178	2022-02-21
Seychelles	2021-11-29	381	2022-04-29
Zambia	2021-11-30	158	2022-05-26
Myanmar	2021-11-30	28	2022-03-14
Oman	2021-12-01	47	2022-01-25
Mongolia	2021-12-02	133	2022-02-28
Namibia	2021-12-03	227	2022-02-09
El Salvador	2021-12-05	144	2022-01-23
Jamaica	2021-12-09	789	2022-04-22
Rwanda	2021-12-09	70	2022-01-29
China	2021-12-09	136	2022-05-09
Venezuela	2021-12-11	37	2022-02-07
Togo	2021-12-12	150	2022-02-22
Saudi Arabia	2021-12-13	16	2021-12-21
South Sudan	2021-12-13	28	2021-12-19
Liberia	2021-12-14	7	2021-12-28
Saint Martin	2021-12-14	272	2022-06-19
Bahamas	2021-12-15	1	2021-12-15
Djibouti	2021-12-16	335	2022-04-30
Andorra	2021-12-17	116	2022-06-10
Saint Vincent and the Grenadines	2021-12-18	25	2022-01-03
Moldova	2021-12-18	327	2022-05-10
Tanzania	2021-12-18	2	2021-12-18
Brunei	2021-12-19	1774	2022-06-18
Saint Kitts and Nevis	2021-12-19	2	2021-12-20
Bonaire	2021-12-19	569	2022-06-19
Belize	2021-12-20	103	2022-03-30
Gambia	2021-12-20	40	2022-01-05
Guinea	2021-12-21	106	2022-03-08
Vietnam	2021-12-21	864	2022-05-19
Honduras	2021-12-22	40	2022-01-04
Antigua and Barbuda	2021-12-26	27	2022-04-26
Papua New Guinea	2021-12-26	308	2022-03-07
Sudan	2021-12-26	1	2021-12-26
Burundi	2021-12-27	1	2021-12-27
Solomon Islands	2021-12-27	126	2022-05-14
Haiti	2021-12-27	22	2022-01-14
Uruguay	2021-12-27	23	2022-03-30
Ethiopia	2021-12-27	63	2022-02-04
Chad	2021-12-30	6	2022-01-04
Guyana	2022-01-02	44	2022-02-05
Kyrgyzstan	2022-01-03	3	2022-01-04
Kazakhstan	2022-01-05	275	2022-05-28
Syria	2022-01-06	46	2022-02-22
Malta	2022-01-08	3	2022-01-08
Armenia	2022-01-11	4	2022-01-11
Kiribati	2022-01-15	18	2022-01-24
Palestine	2022-01-19	6	2022-02-05
Kuwait	2022-01-22	190	2022-06-21
Dominica	2022-02-10	9	2022-05-10
Palau	2022-02-20	23	2022-04-29
Laos	2022-03-01	297	2022-06-15
Libya	2022-03-23	4	2022-04-22
Saint Lucia	2022-03-26	37	2022-06-19
Marshall Islands	2022-04-11	3	2022-04-15
