	first_seq	num_seqs	last_seq
Netherlands	2020-02-09	2501	2021-04-01
Belgium	2020-02-14	1488	2021-05-14
United Kingdom	2020-08-03	790	2021-03-12
Spain	2020-08-06	250	2021-03-31
Germany	2020-08-10	2247	2021-05-01
Denmark	2020-08-10	2944	2021-03-22
Austria	2020-08-11	15	2021-01-07
Switzerland	2020-08-16	1004	2021-05-09
France	2020-08-18	144	2021-04-20
Italy	2020-08-26	53	2021-02-20
Croatia	2020-09-08	17	2021-03-06
Ireland	2020-09-09	3	2021-02-15
Slovenia	2020-09-12	21	2021-03-04
Serbia	2020-09-14	2	2021-02-21
Iceland	2020-09-17	27	2021-01-05
South Korea	2020-09-17	14	2020-11-28
Sweden	2020-09-17	1130	2021-04-07
Finland	2020-09-17	15	2021-03-04
Canada	2020-09-19	4	2020-12-03
Australia	2020-09-19	7	2020-12-05
Norway	2020-09-28	124	2021-03-18
Luxembourg	2020-10-02	763	2021-03-12
Czech Republic	2020-10-03	52	2021-04-13
New Zealand	2020-10-22	4	2020-10-30
USA	2020-10-22	18	2021-04-15
Bulgaria	2020-10-28	10	2021-02-24
Curacao	2020-10-31	4	2021-01-13
Greece	2020-11-05	36	2021-03-29
Portugal	2020-11-09	38	2021-03-12
Poland	2020-11-16	344	2021-04-21
Slovakia	2020-11-28	4	2021-01-04
Japan	2020-12-08	1	2020-12-08
Kosovo	2020-12-09	1	2020-12-09
Republic of the Congo	2020-12-10	2	2020-12-12
Estonia	2020-12-21	79	2021-04-05
Israel	2020-12-27	8	2021-01-28
Lithuania	2021-01-03	19	2021-04-06
North Macedonia	2021-01-11	2	2021-01-15
Brazil	2021-01-15	1	2021-01-15
Latvia	2021-01-21	2	2021-02-12
Aruba	2021-02-10	2	2021-02-25
Turkey	2021-02-11	11	2021-03-11
Costa Rica	2021-03-10	1	2021-03-10
