	first_seq	num_seqs	last_seq
Iran	2020-03-10	4	2020-03-10
France	2020-03-11	625	2023-06-12
Netherlands	2020-03-16	318	2023-05-07
USA	2020-03-16	9337	2023-06-18
New Zealand	2020-03-23	16	2023-02-05
Canada	2020-03-24	412	2023-06-21
Malaysia	2020-03-25	61	2023-04-16
United Kingdom	2020-03-27	3611	2023-06-12
Spain	2020-03-28	943	2023-06-01
Luxembourg	2020-03-30	136	2023-02-24
Indonesia	2020-04-01	52	2023-05-14
Norway	2020-04-06	261	2023-05-02
Brazil	2020-04-07	511	2023-04-27
Panama	2020-04-15	27	2022-06-02
Japan	2020-04-21	463	2023-05-05
United Arab Emirates	2020-04-27	29	2021-12-09
India	2020-04-29	313	2023-04-10
Chile	2020-05-11	41	2022-12-15
Russia	2020-05-13	49	2023-04-13
Maldives	2020-05-19	580	2022-01-24
Mexico	2020-05-21	91	2023-04-08
Côte d'Ivoire	2020-05-30	3	2021-03-24
Germany	2020-06-16	2046	2023-04-27
Australia	2020-06-21	191	2023-06-07
Switzerland	2020-07-08	253	2023-05-26
South Africa	2020-07-15	1706	2023-01-17
Hong Kong	2020-07-19	3	2022-03-01
Argentina	2020-07-28	44	2022-09-19
Denmark	2020-10-19	1140	2023-05-24
Italy	2020-10-26	421	2023-05-24
Jordan	2020-11-02	1	2020-11-02
Tunisia	2020-11-02	6	2023-03-02
Slovenia	2020-11-02	279	2023-05-16
Kenya	2020-11-09	11	2023-04-26
Lithuania	2020-12-02	58	2022-01-07
Lebanon	2020-12-10	11	2022-08-01
Romania	2020-12-10	19	2023-01-12
Singapore	2020-12-20	28	2023-05-08
Turkey	2020-12-21	104	2022-12-26
Austria	2020-12-30	161	2023-06-19
Bhutan	2021-01-06	12	2023-01-17
Philippines	2021-01-09	28	2023-04-14
Angola	2021-01-12	3	2021-04-03
Finland	2021-01-12	54	2023-05-17
Sweden	2021-01-12	2887	2023-06-04
Israel	2021-01-13	153	2023-06-07
Portugal	2021-01-14	52	2023-05-11
Poland	2021-01-15	175	2023-04-21
Belgium	2021-01-19	378	2023-03-14
Burkina Faso	2021-01-21	1	2021-01-21
Malawi	2021-01-25	3	2021-09-09
Nigeria	2021-01-27	8	2021-12-23
Ireland	2021-01-27	108	2023-05-02
Peru	2021-01-27	109	2023-05-18
Ghana	2021-01-29	4	2022-05-30
Latvia	2021-01-29	13	2022-10-24
Czech Republic	2021-02-03	80	2022-12-14
Qatar	2021-02-11	24	2021-12-15
Paraguay	2021-02-15	1	2021-02-15
Cyprus	2021-02-22	3	2021-09-27
Slovakia	2021-02-23	41	2023-03-08
Gabon	2021-03-03	2	2021-04-19
Greece	2021-03-03	30	2023-03-01
Croatia	2021-03-03	206	2023-05-05
Sri Lanka	2021-03-11	584	2022-01-25
Bulgaria	2021-03-14	149	2023-05-23
Central African Republic	2021-03-16	1	2021-03-16
Estonia	2021-03-16	6	2022-09-23
Pakistan	2021-03-23	2	2021-08-10
Colombia	2021-04-02	52	2022-04-11
Kazakhstan	2021-04-15	5	2021-12-23
Costa Rica	2021-05-05	3	2022-01-04
Kosovo	2021-05-07	1	2021-05-07
Venezuela	2021-05-08	5	2021-12-15
Mauritania	2021-05-14	1	2021-05-14
Oman	2021-05-18	2	2023-03-31
Democratic Republic of the Congo	2021-05-20	2	2021-05-23
Monaco	2021-05-21	22	2021-06-28
Thailand	2021-06-02	44	2023-04-21
Ecuador	2021-06-03	201	2022-08-17
Bosnia and Herzegovina	2021-06-04	11	2021-12-27
Taiwan	2021-06-07	2	2023-06-06
Senegal	2021-06-19	2	2021-06-25
Bangladesh	2021-06-19	13	2021-09-20
Mauritius	2021-06-24	9	2021-07-01
Uganda	2021-06-24	2	2021-08-27
Eswatini	2021-06-27	11	2021-08-19
Mozambique	2021-07-01	1	2021-07-01
Bahrain	2021-07-01	115	2022-03-21
Rwanda	2021-07-07	2	2021-07-21
Egypt	2021-07-15	13	2021-12-30
Aruba	2021-07-18	7	2022-09-30
Ethiopia	2021-07-29	26	2021-12-27
Mongolia	2021-08-05	2	2021-08-06
Georgia	2021-08-09	3	2021-12-21
Nepal	2021-08-25	4	2021-09-05
Suriname	2021-08-27	1	2021-08-27
South Korea	2021-09-11	61	2023-05-25
Bonaire	2021-10-03	1	2021-10-03
Malta	2021-11-17	14	2022-01-08
Saint Martin	2021-11-25	2	2021-11-29
Trinidad and Tobago	2021-12-09	1	2021-12-09
British Virgin Islands	2021-12-17	4	2021-12-20
Iceland	2021-12-25	5	2023-03-10
Guadeloupe	2022-01-10	1	2022-01-10
Curacao	2022-02-23	8	2022-09-30
China	2022-05-16	69	2023-06-09
Belize	2022-05-21	1	2022-05-21
Vietnam	2022-07-13	2	2022-12-30
Dominican Republic	2022-08-03	14	2022-12-13
Hungary	2022-09-13	1	2022-09-13
Brunei	2023-01-03	3	2023-06-06
Palestine	2023-01-16	1	2023-01-16
Ukraine	2023-01-20	2	2023-03-01
