	first_seq	num_seqs	last_seq
India	2020-01-27	13091	2023-05-28
China	2020-02-18	7602	2023-05-29
Japan	2020-02-25	143276	2023-05-27
United Kingdom	2020-03-01	928893	2023-05-24
Netherlands	2020-03-05	53704	2023-06-03
Slovenia	2020-03-06	22519	2023-05-13
Switzerland	2020-03-09	42734	2023-05-30
Jordan	2020-03-16	181	2023-02-04
Saudi Arabia	2020-03-18	262	2023-01-04
Italy	2020-03-19	50086	2023-06-03
Spain	2020-03-19	60890	2023-06-04
USA	2020-03-21	1192390	2023-06-06
Iceland	2020-03-25	1478	2023-05-23
Canada	2020-03-26	147088	2023-05-31
Portugal	2020-03-27	11513	2023-05-17
Germany	2020-03-28	251785	2023-05-22
France	2020-03-28	133376	2023-06-04
Ireland	2020-04-01	26997	2023-06-01
Australia	2020-04-02	35672	2023-06-03
Senegal	2020-04-03	1109	2022-10-02
Turkey	2020-04-06	8364	2023-04-03
Bahrain	2020-04-07	1642	2023-04-09
Brazil	2020-04-08	52318	2023-05-26
Chile	2020-04-09	8647	2023-05-08
Panama	2020-04-12	1069	2023-05-15
Denmark	2020-04-13	110770	2023-05-30
Hungary	2020-04-20	130	2023-02-14
Iran	2020-04-23	459	2023-02-14
Democratic Republic of the Congo	2020-04-25	66	2023-01-14
Egypt	2020-04-26	476	2023-03-12
Kenya	2020-04-26	3867	2023-05-27
United Arab Emirates	2020-04-29	1039	2022-06-01
Colombia	2020-04-30	4661	2023-05-21
Nigeria	2020-05-04	1800	2023-05-09
Mexico	2020-05-12	19101	2023-05-10
Haiti	2020-05-15	81	2022-12-19
Belgium	2020-05-19	46922	2023-06-05
Bangladesh	2020-05-23	766	2023-05-17
Russia	2020-05-29	9132	2023-05-04
Singapore	2020-06-04	10464	2023-05-24
Gabon	2020-06-11	322	2021-09-30
Equatorial Guinea	2020-06-13	4	2022-01-15
Sweden	2020-06-14	95408	2023-06-01
Côte d'Ivoire	2020-06-23	356	2023-02-28
Niger	2020-07-06	52	2022-02-10
Madagascar	2020-07-20	86	2022-02-25
Zambia	2020-07-31	258	2023-01-30
Morocco	2020-08-01	282	2023-05-16
Philippines	2020-08-09	4786	2023-03-30
Paraguay	2020-08-12	542	2023-05-10
South Africa	2020-08-12	9829	2023-05-12
Qatar	2020-08-14	375	2023-03-08
Gambia	2020-08-21	98	2022-08-09
Venezuela	2020-09-16	161	2023-03-27
Bulgaria	2020-09-21	7233	2023-03-23
Sudan	2020-10-06	140	2023-03-04
Romania	2020-10-11	4430	2023-05-02
