


## 20I (Alpha, V1)
	first_seq	num_seqs	last_seq
United Kingdom	2020-09-20	265803	2022-02-07
Senegal	2020-09-22	202	2021-07-01
Serbia	2020-09-28	121	2021-08-06
United Arab Emirates	2020-10-01	377	2021-02-13
Sweden	2020-10-08	68614	2021-10-12
Kenya	2020-10-09	1022	2021-11-26
Italy	2020-10-09	27398	2021-12-23
Romania	2020-10-11	1768	2021-09-23
France	2020-10-18	32707	2022-01-11
USA	2020-10-21	245668	2022-02-08
Slovenia	2020-10-22	8732	2021-12-16
India	2020-10-27	4812	2021-11-26
Ireland	2020-10-28	16487	2021-12-11
Canada	2020-11-06	35193	2021-11-24
Spain	2020-11-08	24770	2021-12-20
Portugal	2020-11-09	5027	2021-08-08
Switzerland	2020-11-09	21898	2021-11-22
Denmark	2020-11-09	63798	2021-09-13
Netherlands	2020-11-12	29706	2022-01-31
Georgia	2020-11-14	114	2021-11-16
Israel	2020-11-15	8388	2021-11-29
Ghana	2020-11-20	484	2021-06-16
Austria	2020-11-23	3565	2021-08-01
Malawi	2020-11-25	6	2021-05-28
Slovakia	2020-11-30	4594	2021-08-20
Australia	2020-11-30	617	2021-08-23
Germany	2020-11-30	104148	2021-12-16
Belgium	2020-11-30	21391	2021-12-27
Japan	2020-12-01	51092	2021-10-01
Zambia	2020-12-01	8	2021-09-02
Iceland	2020-12-02	623	2021-07-29
Hong Kong	2020-12-06	69	2021-08-02
Côte d'Ivoire	2020-12-07	113	2021-08-25
Singapore	2020-12-08	190	2021-07-10
Norway	2020-12-09	14203	2021-10-08
Albania	2020-12-10	29	2021-07-13
Philippines	2020-12-10	2772	2021-11-23
Greece	2020-12-11	5669	2021-09-03
Barbados	2020-12-12	50	2021-07-25
Bulgaria	2020-12-13	3070	2021-09-30
South Korea	2020-12-14	817	2021-09-21
Nigeria	2020-12-14	268	2021-07-26
Dominica	2020-12-16	5	2021-04-01
New Zealand	2020-12-16	144	2021-07-03
Saint Lucia	2020-12-17	63	2021-07-26
Finland	2020-12-18	6792	2021-09-10
Jordan	2020-12-20	143	2021-11-01
Argentina	2020-12-21	368	2021-12-07
Jamaica	2020-12-21	221	2021-11-30
Thailand	2020-12-21	2093	2021-12-07
Brazil	2020-12-21	1215	2021-08-30
Poland	2020-12-22	15812	2022-01-08
Oman	2020-12-22	139	2021-07-06
Chile	2020-12-22	276	2021-08-30
Qatar	2020-12-22	279	2021-10-23
Cyprus	2020-12-22	20	2021-01-28
Bermuda	2020-12-23	2	2021-01-05
Estonia	2020-12-23	3218	2021-07-28
Maldives	2020-12-23	17	2021-04-25
Turkey	2020-12-24	2077	2021-10-11
Luxembourg	2020-12-24	4905	2021-07-28
Pakistan	2020-12-25	473	2021-08-25
Russia	2020-12-25	424	2021-07-30
Bosnia and Herzegovina	2020-12-25	78	2021-06-28
Taiwan	2020-12-26	54	2021-07-28
Iraq	2020-12-27	106	2022-01-02
Dominican Republic	2020-12-27	20	2021-05-21
Malaysia	2020-12-28	33	2021-06-26
Rwanda	2020-12-28	13	2021-08-01
Gabon	2020-12-28	122	2021-09-30
Fiji	2020-12-28	6	2021-05-04
Lebanon	2020-12-29	804	2021-07-14
Kuwait	2020-12-31	30	2021-07-01
Peru	2020-12-31	24	2021-05-12
Palestine	2020-12-31	28	2021-04-09
Mexico	2020-12-31	1817	2021-10-13
Bangladesh	2020-12-31	98	2021-07-03
Sri Lanka	2021-01-02	458	2021-10-14
Guinea-Bissau	2021-01-04	33	2021-02-05
Czech Republic	2021-01-04	4661	2022-01-06
North Macedonia	2021-01-04	310	2021-07-13
Ecuador	2021-01-05	261	2021-09-12
Indonesia	2021-01-05	83	2021-11-07
Kosovo	2021-01-05	26	2021-07-29
South Africa	2021-01-05	251	2021-08-27
Hungary	2021-01-06	29	2021-02-26
Gambia	2021-01-06	66	2021-08-29
Morocco	2021-01-08	96	2021-10-24
Vietnam	2021-01-08	11	2021-05-22
Iran	2021-01-08	134	2021-08-08
Niger	2021-01-09	2	2021-01-09
Mauritius	2021-01-10	1	2021-01-10
Latvia	2021-01-12	4387	2021-09-21
Belize	2021-01-12	29	2021-08-08
Togo	2021-01-12	33	2021-04-26
Trinidad and Tobago	2021-01-12	9	2021-05-04
Angola	2021-01-15	156	2021-07-19
Burkina Faso	2021-01-16	5	2021-04-17
Montenegro	2021-01-17	55	2021-08-05
China	2021-01-17	24	2021-06-10
Cabo Verde	2021-01-18	16	2021-07-17
Aruba	2021-01-20	551	2021-07-16
Croatia	2021-01-20	4197	2021-08-27
Central African Republic	2021-01-20	10	2021-03-17
Liechtenstein	2021-01-21	21	2021-06-10
Guadeloupe	2021-01-22	117	2021-08-30
Curacao	2021-01-23	309	2021-07-14
Ethiopia	2021-01-23	33	2021-06-10
Guinea	2021-01-26	38	2021-06-08
Cameroon	2021-01-26	22	2021-04-17
Moldova	2021-01-27	37	2021-06-24
Democratic Republic of the Congo	2021-01-28	8	2021-05-25
Benin	2021-01-30	71	2021-06-03
Azerbaijan	2021-02-01	3	2021-02-07
Lithuania	2021-02-02	10225	2021-08-04
Cambodia	2021-02-03	811	2021-11-30
Monaco	2021-02-04	3	2021-04-17
Equatorial Guinea	2021-02-06	2	2021-02-09
Bonaire	2021-02-06	162	2021-07-16
Sint Maarten	2021-02-12	436	2021-09-13
Djibouti	2021-02-12	80	2021-05-03
Antigua and Barbuda	2021-02-14	20	2021-07-25
Bahrain	2021-02-14	61	2021-07-31
Colombia	2021-02-15	144	2021-10-03
Libya	2021-02-17	3	2021-06-05
Suriname	2021-02-18	48	2021-08-09
Ukraine	2021-02-18	116	2021-07-23
Tunisia	2021-02-20	91	2021-07-05
Costa Rica	2021-02-22	172	2021-08-11
Belarus	2021-02-23	24	2021-05-24
Republic of the Congo	2021-02-25	40	2021-07-01
Somalia	2021-02-28	7	2021-03-05
Paraguay	2021-02-28	7	2021-07-20
Egypt	2021-03-01	31	2021-12-13
Kazakhstan	2021-03-02	182	2021-08-17
Sudan	2021-03-04	2	2021-03-28
Mongolia	2021-03-08	388	2021-10-02
Guatemala	2021-03-11	18	2021-07-15
Grenada	2021-03-12	3	2021-06-24
Madagascar	2021-03-15	27	2021-05-06
Bahamas	2021-03-18	59	2021-08-07
Armenia	2021-03-18	17	2021-07-06
Sao Tome and Principe	2021-03-18	4	2021-04-30
Venezuela	2021-03-18	11	2021-07-03
Afghanistan	2021-03-21	53	2021-05-29
Uganda	2021-03-25	17	2021-06-15
Panama	2021-03-25	27	2021-04-30
Malta	2021-03-25	116	2021-07-12
Guyana	2021-03-31	1	2021-03-31
South Sudan	2021-04-03	1	2021-04-03
Kyrgyzstan	2021-04-03	7	2021-07-08
Liberia	2021-04-04	4	2021-05-20
Saudi Arabia	2021-04-06	15	2021-05-24
Algeria	2021-04-12	11	2021-07-28
Nepal	2021-04-14	2	2021-06-02
Mozambique	2021-04-21	2	2021-05-07
Honduras	2021-04-23	1	2021-04-23
El Salvador	2021-04-29	7	2021-08-02
Nicaragua	2021-05-01	3	2021-08-21
Seychelles	2021-05-15	6	2021-06-08
Haiti	2021-05-19	1	2021-05-19
Burundi	2021-05-27	1	2021-05-27
Myanmar	2021-05-28	2	2021-05-28
Eswatini	2021-06-02	6	2021-06-16
Andorra	2021-06-07	7	2021-07-02
Uzbekistan	2021-06-25	4	2021-06-25
Mali	2021-07-31	1	2021-07-31


## 20H (Beta, V2)
	first_seq	num_seqs	last_seq
Zambia	2020-08-14	246	2021-06-04
South Africa	2020-08-17	7568	2021-12-05
Mozambique	2020-08-22	387	2021-07-15
Angola	2020-08-25	451	2021-07-29
United Arab Emirates	2020-08-28	46	2021-05-02
Zimbabwe	2020-09-01	355	2021-06-25
Botswana	2020-09-09	397	2021-10-26
Bangladesh	2020-11-01	422	2021-07-13
Madagascar	2020-11-03	274	2021-07-18
Sweden	2020-11-08	2641	2021-08-05
Switzerland	2020-11-12	331	2021-08-02
Eswatini	2020-11-13	100	2021-10-13
Malawi	2020-11-25	431	2021-06-21
Malaysia	2020-12-01	273	2021-11-05
Mauritius	2020-12-06	7	2021-06-17
Australia	2020-12-10	97	2021-06-30
United Kingdom	2020-12-10	940	2021-11-26
Kenya	2020-12-15	225	2021-07-30
Lesotho	2020-12-16	15	2021-01-18
Israel	2020-12-17	260	2021-07-15
Canada	2020-12-19	836	2021-11-24
Japan	2020-12-19	101	2021-07-30
Finland	2020-12-19	1211	2021-07-12
Belgium	2020-12-20	1124	2021-07-31
Germany	2020-12-21	2307	2021-11-26
Ireland	2020-12-22	80	2021-07-13
Netherlands	2020-12-22	690	2021-10-11
France	2020-12-22	6570	2021-12-30
Austria	2020-12-23	268	2021-09-01
Spain	2020-12-24	1580	2021-08-28
