	first_seq	num_seqs	last_seq
USA	2020-07-08	5135	2022-10-28
Honduras	2021-01-26	58	2021-07-12
United Kingdom	2021-01-30	3680	2022-11-01
Mexico	2021-03-19	628	2022-09-29
Spain	2021-03-25	294	2022-10-19
Guatemala	2021-04-15	81	2022-07-16
El Salvador	2021-04-29	22	2022-04-24
Chile	2021-04-29	111	2022-09-14
Argentina	2021-05-07	37	2022-07-19
Hong Kong	2021-05-21	28	2022-10-20
Australia	2021-05-24	104	2022-10-26
France	2021-06-01	962	2022-10-24
Germany	2021-06-01	1808	2022-10-27
Portugal	2021-06-27	71	2022-09-26
Switzerland	2021-07-12	153	2022-10-15
Belize	2021-07-19	14	2022-07-07
Ecuador	2021-08-01	5	2022-08-19
Belgium	2021-08-04	222	2022-10-23
Peru	2021-08-10	37	2022-08-02
Japan	2021-08-12	321	2022-10-26
Nicaragua	2021-08-13	1	2021-08-13
Canada	2021-08-25	647	2022-10-25
South Africa	2021-12-08	97	2022-10-27
Denmark	2021-12-30	1065	2022-11-04
India	2022-01-03	96	2022-10-11
Italy	2022-01-10	171	2022-11-02
Finland	2022-01-19	225	2022-09-16
Bangladesh	2022-01-20	5	2022-09-12
Sweden	2022-01-21	168	2022-10-25
Sri Lanka	2022-01-24	1	2022-01-24
Norway	2022-01-29	81	2022-10-07
Romania	2022-01-29	24	2022-10-19
Slovakia	2022-01-30	114	2022-09-28
Netherlands	2022-01-31	151	2022-10-16
Algeria	2022-02-06	2	2022-04-20
Israel	2022-02-06	299	2022-10-26
Poland	2022-02-07	46	2022-10-06
Ireland	2022-02-07	81	2022-10-08
Czech Republic	2022-02-07	133	2022-10-14
Austria	2022-02-08	86	2022-11-01
Kosovo	2022-02-11	2	2022-07-01
Georgia	2022-02-12	6	2022-06-02
Montenegro	2022-02-14	1	2022-02-14
Croatia	2022-02-15	138	2022-10-13
Brazil	2022-02-16	347	2022-07-27
Luxembourg	2022-02-16	123	2022-10-12
Thailand	2022-02-21	10	2022-08-18
Indonesia	2022-02-21	34	2022-10-03
Costa Rica	2022-02-22	164	2022-09-12
Slovenia	2022-02-22	163	2022-09-20
Turkey	2022-02-23	29	2022-09-26
Pakistan	2022-02-26	7	2022-09-05
South Korea	2022-03-02	71	2022-10-14
Seychelles	2022-03-03	7	2022-04-03
New Zealand	2022-03-04	26	2022-09-19
Iran	2022-03-06	1	2022-03-06
Russia	2022-03-07	100	2022-09-29
Malaysia	2022-03-15	24	2022-10-26
Estonia	2022-03-17	26	2022-08-09
Panama	2022-03-19	391	2022-08-04
Moldova	2022-03-21	2	2022-04-02
Latvia	2022-03-21	3	2022-05-24
Mauritius	2022-03-21	2	2022-08-20
North Macedonia	2022-03-24	1	2022-03-24
Colombia	2022-03-24	60	2022-07-27
Senegal	2022-03-25	1	2022-03-25
Singapore	2022-03-25	16	2022-10-14
Greece	2022-04-01	44	2022-09-05
Serbia	2022-04-01	6	2022-09-26
Suriname	2022-04-15	4	2022-05-05
Kenya	2022-04-18	5	2022-07-05
Lithuania	2022-04-19	8	2022-04-29
Bulgaria	2022-04-21	5	2022-09-12
Trinidad and Tobago	2022-05-03	6	2022-07-06
Barbados	2022-05-08	4	2022-07-21
Sint Maarten	2022-05-17	1	2022-05-17
Andorra	2022-05-29	1	2022-05-29
Morocco	2022-05-31	1	2022-05-31
Bahrain	2022-06-06	1	2022-06-06
Paraguay	2022-06-08	1	2022-06-08
Venezuela	2022-06-10	1	2022-06-10
Kuwait	2022-06-19	1	2022-06-19
Dominican Republic	2022-06-21	1	2022-06-21
Liechtenstein	2022-06-30	5	2022-09-22
Cambodia	2022-07-08	2	2022-08-20
Vietnam	2022-07-19	2	2022-08-23
Ukraine	2022-08-12	2	2022-08-12
Philippines	2022-08-22	24	2022-09-22
Brunei	2022-09-17	15	2022-10-26
Iceland	2022-10-26	1	2022-10-26
