#produced by split_UK.py
#
#
time	cases
2020-01-30	2
2020-01-31	2
2020-02-01	2
2020-02-02	2
2020-02-03	2
2020-02-04	2
2020-02-05	3
2020-02-06	3
2020-02-07	3
2020-02-08	7
2020-02-09	8
2020-02-10	8
2020-02-11	9
2020-02-12	9
2020-02-13	9
2020-02-14	9
2020-02-15	9
2020-02-16	9
2020-02-17	9
2020-02-18	9
2020-02-19	9
2020-02-20	9
2020-02-21	10
2020-02-22	11
2020-02-23	12
2020-02-24	14
2020-02-25	19
2020-02-26	23
2020-02-27	30
2020-02-28	41
2020-02-29	46
2020-03-01	66
2020-03-02	105
2020-03-03	157
2020-03-04	206
2020-03-05	253
2020-03-06	326
2020-03-07	381
2020-03-08	431
2020-03-09	555
2020-03-10	782
2020-03-11	1135
2020-03-12	1549
2020-03-13	1942
2020-03-14	2257
2020-03-15	2655
2020-03-16	3202
2020-03-17	3885
2020-03-18	4793
2020-03-19	5718
2020-03-20	6803
2020-03-21	7835
2020-03-22	9045
2020-03-23	11057
2020-03-24	13081
2020-03-25	15338
2020-03-26	17948
2020-03-27	20603
2020-03-28	22974
2020-03-29	25413
2020-03-30	28934
2020-03-31	32716
2020-04-01	36808
2020-04-02	40878
2020-04-03	44983
2020-04-04	48359
2020-04-05	51439
2020-04-06	55815
2020-04-07	60387
2020-04-08	64679
2020-04-09	68739
2020-04-10	72318
2020-04-11	75387
2020-04-12	78331
2020-04-13	81764
2020-04-14	85309
2020-04-15	89534
2020-04-16	93887
2020-04-17	97955
2020-04-18	102066
2020-04-19	105532
2020-04-20	109210
2020-04-21	113179
2020-04-22	117975
2020-04-23	122525
2020-04-24	126880
2020-04-25	130251
2020-04-26	133385
2020-04-27	137410
2020-04-28	141523
2020-04-29	146259
2020-04-30	150566
2020-05-01	154658
2020-05-02	157401
2020-05-03	160030
2020-05-04	162872
2020-05-05	166010
2020-05-06	169277
2020-05-07	172478
2020-05-08	175095
2020-05-09	176888
2020-05-10	178893
2020-05-11	181951
2020-05-12	184876
2020-05-13	187758
2020-05-14	189964
2020-05-15	192098
2020-05-16	193869
2020-05-17	195455
2020-05-18	197663
2020-05-19	200248
2020-05-20	202592
2020-05-21	204861
2020-05-22	206658
2020-05-23	207959
2020-05-24	209158
2020-05-25	210534
2020-05-26	211988
2020-05-27	213600
2020-05-28	215173
2020-05-29	216543
2020-05-30	217539
2020-05-31	218524
2020-06-01	219839
2020-06-02	221190
2020-06-03	222433
2020-06-04	223582
2020-06-05	224605
2020-06-06	225332
