#produced by split_UK.py
#
#
time	cases
2020-01-11	1
2020-01-12	1
2020-01-13	1
2020-01-14	1
2020-01-15	1
2020-01-16	1
2020-01-17	1
2020-01-18	1
2020-01-19	1
2020-01-20	1
2020-01-21	1
2020-01-22	1
2020-01-23	1
2020-01-24	1
2020-01-25	1
2020-01-26	1
2020-01-27	1
2020-01-28	1
2020-01-29	1
2020-01-30	1
2020-01-31	1
2020-02-01	1
2020-02-02	1
2020-02-03	1
2020-02-04	1
2020-02-05	1
2020-02-06	1
2020-02-07	1
2020-02-08	1
2020-02-09	1
2020-02-10	1
2020-02-11	1
2020-02-12	1
2020-02-13	1
2020-02-14	1
2020-02-15	1
2020-02-16	1
2020-02-17	1
2020-02-18	1
2020-02-19	1
2020-02-20	1
2020-02-21	1
2020-02-22	1
2020-02-23	1
2020-02-24	1
2020-02-25	1
2020-02-26	1
2020-02-27	1
2020-02-28	1
2020-02-29	1
2020-03-01	1
2020-03-02	1
2020-03-03	1
2020-03-04	1
2020-03-05	3
2020-03-06	5
2020-03-07	10
2020-03-08	13
2020-03-09	16
2020-03-10	21
2020-03-11	32
2020-03-12	36
2020-03-13	47
2020-03-14	57
2020-03-15	59
2020-03-16	67
2020-03-17	76
2020-03-18	89
2020-03-19	103
2020-03-20	120
2020-03-21	141
2020-03-22	159
2020-03-23	200
2020-03-24	241
2020-03-25	297
2020-03-26	373
2020-03-27	441
2020-03-28	517
2020-03-29	579
2020-03-30	663
2020-03-31	775
2020-04-01	878
2020-04-02	983
2020-04-03	1086
2020-04-04	1173
2020-04-05	1233
2020-04-06	1338
2020-04-07	1467
2020-04-08	1569
2020-04-09	1669
2020-04-10	1763
2020-04-11	1830
2020-04-12	1903
2020-04-13	2010
2020-04-14	2105
2020-04-15	2238
2020-04-16	2376
2020-04-17	2531
2020-04-18	2616
2020-04-19	2657
2020-04-20	2769
2020-04-21	2900
2020-04-22	2996
2020-04-23	3068
2020-04-24	3151
2020-04-25	3205
2020-04-26	3250
2020-04-27	3321
2020-04-28	3395
2020-04-29	3486
2020-04-30	3602
2020-05-01	3699
2020-05-02	3789
2020-05-03	3843
2020-05-04	3918
2020-05-05	3992
2020-05-06	4072
2020-05-07	4169
2020-05-08	4241
2020-05-09	4295
2020-05-10	4357
2020-05-11	4432
2020-05-12	4525
2020-05-13	4600
2020-05-14	4674
2020-05-15	4740
2020-05-16	4780
2020-05-17	4817
2020-05-18	4879
2020-05-19	4952
2020-05-20	5026
2020-05-21	5082
2020-05-22	5115
2020-05-23	5169
2020-05-24	5199
2020-05-25	5239
2020-05-26	5267
2020-05-27	5300
2020-05-28	5328
2020-05-29	5348
2020-05-30	5361
2020-05-31	5387
2020-06-01	5411
2020-06-02	5432
2020-06-03	5443
2020-06-04	5454
2020-06-05	5478
2020-06-06	5486
2020-06-07	5491
2020-06-08	5505
2020-06-09	5516
2020-06-10	5532
2020-06-11	5542
2020-06-12	5552
2020-06-13	5562
2020-06-14	5570
